assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
574648000;0;14000;15597000;31565000;10472;518914000;40000;0;24800000;24651000;642000;488666000;574648000;9435000;19233000;559051000;24169000;4575000;2016-09-30;2813000;10472
517475000;0;157000;8254000;13078000;10472;491822000;39000;0;24245000;214000;0;456185000;517475000;4603000;2222000;509221000;12575000;140000;2016-12-31;1236000;10472
510730000;0;22000;950000;9246000;10472;491651000;39000;0;23759000;183000;0;459001000;510730000;0;0;509780000;9833000;229000;2017-03-31;1227000;10472
497835000;0;4501000;5071000;12656000;10472;474912000;38000;0;23312000;156000;0;444932000;497835000;0;0;492764000;10267000;41000;2017-06-30;977000;10472
463091000;0;31000;626000;10209000;10472;442222000;36000;0;22891000;130000;0;414772000;463091000;0;0;462465000;10660000;45000;2017-09-30;866000;10472
462217000;0;11000;21747000;17541000;10472;422022000;36000;0;1150000;104000;0;414091000;462217000;0;0;440470000;22654000;51000;2017-12-31;996000;10472
466365000;0;2000;22214000;20777000;10472;423201000;36000;0;853000;78000;0;416932000;466365000;0;0;444151000;22387000;49000;2018-03-31;1971000;10472
440087000;0;9968000;32079000;35051000;10472;385290000;33000;0;571000;52000;0;381411000;440087000;0;0;408008000;19746000;44000;2018-06-30;1361000;10472
367958000;0;224000;22558000;28224000;10472;319685000;28000;0;436000;26000;0;317974000;367958000;0;0;345400000;20049000;48000;2018-09-30;2636000;10472
164650000;0;760000;23043000;23913000;10472;120906000;12000;0;360000;0;0;120966000;164650000;0;0;141607000;19831000;52000;2018-12-31;1719000;10472
102988000;0;693000;23129000;26076000;10472;57081000;7000;0;313000;0;0;59464000;102988000;0;0;79859000;19831000;258000;2019-03-31;2132000;10472
42316000;0;23000;22198000;26830000;10472;-14598000;1000;0;271000;0;0;23000;42316000;0;0;20118000;30084000;50000;2019-06-30;1730000;10472
41908000;0;177000;22317000;9984000;10472;18580000;0;0;231000;0;0;23000;41908000;0;0;19591000;13344000;51000;2019-09-30;338000;10472
44688000;0;2603000;25253000;11316000;10472;-172677000;-12000;0;213000;0;0;23000;44688000;0;0;19435000;206049000;55000;2019-12-31;629000;10472
54554000;0;535000;21646000;2681000;10472;-203296000;-16000;0;197000;0;0;23000;54554000;0;0;32908000;255169000;226000;2020-03-31;364000;10472
58427000;0;165000;2408000;9346000;10472;-321432000;-26000;0;182000;0;0;23000;58427000;0;0;56019000;370513000;323000;2020-06-30;933000;10472
83615000;0;143000;2101000;9708000;10472;-345644000;-30000;0;168000;0;0;23000;83615000;0;0;81514000;419551000;549000;2020-09-30;378000;10472
104075000;0;121000;23685000;29519000;10472;-545074000;-45000;0;153000;0;0;23000;104075000;0;0;80390000;619630000;534000;2020-12-31;1254000;10472
101375000;0;15321000;38417000;28696000;10472;-563695000;-47000;0;139000;0;0;23000;101375000;0;0;62958000;636374000;89000;2021-03-31;218000;10472
100035000;0;6932000;29967000;28762000;10472;-577082000;-48000;0;126000;0;0;23000;100035000;0;0;70068000;648355000;107000;2021-06-30;565000;10472
77356000;0;1600000;3185000;3055000;10472;-553939000;-46000;0;112000;0;0;23000;77356000;0;0;74171000;628240000;111000;2021-09-30;563000;10472
76356000;0;7550000;8914000;2657000;10472;-498877000;-43000;0;100000;0;0;23000;76356000;0;0;67442000;572576000;96000;2021-12-31;1145000;10472
76434000;0;23936000;25576000;2854000;10472;-505770000;-44000;0;89000;0;0;23000;76434000;0;0;50858000;579350000;153000;2022-03-31;1547000;10472
75984000;0;20745000;21967000;3197000;10472;-485619000;-42000;0;78000;0;0;23000;75984000;0;0;54017000;558406000;172000;2022-06-30;666000;10472
73896000;0;2000;1461000;25263000;10472;-365842000;-33000;0;68000;0;0;23000;73896000;0;0;72435000;414475000;232000;2022-09-30;23408000;10472
