assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
4091842000;"";"";3010106000;2777038000;1120;317531000;"";"";"";"";"";"";4091842000;"";"";"";"";"";2016-09-30;"";1120
4206552000;"";"";3114199000;2825459000;1120;334466000;"";"";"";"";"";"";4206552000;"";"";"";"";"";2016-12-31;"";1120
4696142000;"";"";3575008000;3054630000;1120;343751000;"";"";"";"";"";"";4696142000;"";"";"";"";"";2017-03-31;"";1120
4625777000;"";"";3506877000;2950529000;1120;333968000;"";"";"";"";"";"";4625777000;"";"";"";"";"";2017-06-30;"";1120
4724704000;"";"";3589110000;3082942000;1120;346875000;"";"";"";"";"";"";4724704000;"";"";"";"";"";2017-09-30;"";1120
4868785000;"";"";3745014000;3236135000;1120;369075000;"";"";"";"";"";"";4868785000;"";"";"";"";"";2017-12-31;"";1120
5047192000;"";"";3931595000;3398719000;1120;381146000;"";"";"";"";"";"";5047192000;"";"";"";"";"";2018-03-31;"";1120
5215459000;"";"";3596643000;3601307000;1120;388279000;"";"";"";"";"";"";5215459000;"";"";"";"";"";2018-06-30;"";1120
5196847000;"";"";3523516000;3613143000;1120;400665000;"";"";"";"";"";"";5196847000;"";"";"";"";"";2018-09-30;"";1120
5246847000;"";"";3487781000;3708063000;1120;405940000;"";"";"";"";"";"";5246847000;"";"";"";"";"";2018-12-31;"";1120
5482217000;"";"";3672836000;3809258000;1120;424975000;"";"";"";"";"";"";5482217000;"";"";"";"";"";2019-03-31;"";1120
5494550000;"";"";3576996000;3681162000;1120;364551000;"";"";"";"";"";"";5494550000;"";"";"";"";"";2019-06-30;"";1120
5531142000;"";"";3543745000;3811259000;1120;380893000;"";"";"";"";"";"";5531142000;"";"";"";"";"";2019-09-30;"";1120
5534273000;"";"";3478142000;3819219000;1120;433857000;"";"";"";"";"";"";5534273000;"";"";"";"";"";2019-12-31;"";1120
5848287000;"";"";3717917000;3772896000;1120;450512000;"";"";"";"";"";"";5848287000;"";"";"";"";"";2020-03-31;"";1120
6162811000;"";"";4002915000;4036577000;1120;491540000;"";"";"";"";"";"";6162811000;"";"";"";"";"";2020-06-30;"";1120
6638081000;"";"";3867110000;4292186000;1120;497842000;"";"";"";"";"";"";6638081000;"";"";"";"";"";2020-09-30;"";1120
6825236000;"";"";3514992000;4601458000;1120;485128000;"";"";"";"";"";"";6827916000;"";"";"";"";"";2020-12-31;"";1120
7061078000;"";"";3609703000;4695651000;1120;509054000;"";"";"";"";"";"";7061078000;"";"";"";"";"";2021-03-31;"";1120
7250813000;"";"";3650363000;4828089000;1120;535142000;"";"";"";"";"";"";7250813000;"";"";"";"";"";2021-06-30;"";1120
7364852000;"";"";"";"";1120;556943000;"";"";"";"";"";"";7364852000;"";"";"";"";"";2021-09-30;"";1120
7319532000;"";"";3826479000;4919782000;1120;561322000;"";"";"";"";"";"";7319532000;"";"";"";"";"";2021-12-31;"";1120
7935208000;"";"";4359130000;4982081000;1120;573281000;"";"";"";"";"";"";7935208000;"";"";"";"";"";2022-03-31;"";1120
8171893000;"";"";4540523000;5097715000;1120;579288000;"";"";"";"";"";"";8171893000;"";"";"";"";"";2022-06-30;"";1120
8055549000;"";"";4389913000;5117111000;1120;582335000;"";"";"";"";"";"";8055549000;"";"";"";"";"";2022-09-30;"";1120
