assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
2756740000;0;75204000;230121000;104234000;11258;-450158000;0;1729000;2192081000;19273000;0;74207000;2756740000;3526000;244815000;2526619000;3102664000;19927000;2016-09-30;42056000;11258
3059928000;0;282735000;413355000;97490000;11258;-500103000;0;1631000;2275655000;18661000;0;77145000;3059928000;3563000;245951000;2646573000;3462541000;21720000;2016-12-31;40119000;11258
3129521000;0;254070000;390559000;154585000;11258;-563010000;0;1683000;2363243000;19952000;0;75762000;3129521000;38836000;211646000;2738962000;3537946000;22994000;2017-03-31;46724000;11258
3299712000;0;309589000;479839000;147546000;11258;-583751000;"";1709000;2443183000;19134000;0;73880000;3299712000;38916000;212114000;2819873000;3735917000;45397000;2017-06-30;43097000;11258
3329458000;0;219685000;401617000;170690000;11258;690608000;"";2026000;2543482000;19948000;0;73028000;3329458000;38981000;212471000;2927841000;2468160000;46409000;2017-09-30;62466000;11258
3425226000;0;198922000;365926000;230354000;11258;589821000;"";2015000;2683307000;19371000;0;69193000;3425226000;39003000;212475000;3059300000;2605051000;32965000;2017-12-31;122641000;11258
3465260000;0;117424000;314340000;232313000;11258;527121000;"";2180000;2732050000;18808000;0;67922000;3465260000;30150000;221328000;3150920000;2705826000;50494000;2018-03-31;125162000;11258
3513199000;0;84298000;281699000;228433000;11258;471169000;"";2060000;2805631000;18513000;0;72907000;3513199000;24174000;227922000;3231500000;2813597000;62735000;2018-06-30;130288000;11258
3479585000;0;41085000;231170000;256793000;11258;368556000;"";1797000;2816234000;18273000;0;76967000;3479585000;34796000;219213000;3248415000;2854236000;62540000;2018-09-30;104513000;11258
3585269000;0;156119000;347786000;191679000;11258;370434000;"";1985000;2806288000;20203000;0;74086000;3585269000;0;255937000;3237483000;3023156000;57314000;2018-12-31;84280000;11258
3667342000;0;244823000;427831000;191463000;11258;252900000;"";2083000;2806440000;19849000;0;74358000;3667342000;6022000;267374000;3239511000;3222979000;72051000;2019-03-31;78094000;11258
3566976000;0;152314000;336248000;189921000;11258;138178000;"";1998000;2791011000;19543000;0;79359000;3566976000;6077000;268069000;3230728000;3238877000;83748000;2019-06-30;72067000;11258
3486473000;0;71750000;340422000;210375000;11258;34044000;"";2103000;2771630000;19187000;0;82564000;3486473000;24275000;250743000;3146051000;3242054000;114823000;2019-09-30;72368000;11258
4297986000;0;852137000;1179149000;233786000;11258;1646733000;"";0;2737349000;20172000;0;80841000;4297986000;34452000;240011000;3118837000;2417467000;122452000;2019-12-31;47214000;11258
4308761000;0;55757000;1224171000;267362000;11258;1631737000;"";822352000;2694804000;19732000;0;93489000;4308761000;45414000;227721000;3084590000;2409662000;121799000;2020-03-31;70797000;11258
4272808000;0;45302000;1233224000;252561000;11258;1606033000;"";822352000;2662802000;19299000;0;106308000;4272808000;51484000;236588000;3039584000;2414214000;117252000;2020-06-30;77091000;11258
4230853000;0;60006000;1255130000;236782000;11258;1591547000;"";822352000;2617823000;18866000;0;107544000;4230853000;55446000;219044000;2975723000;2402524000;118827000;2020-09-30;58074000;11258
4244013000;0;143883000;1316529000;300964000;11258;1553239000;"";822352000;2591282000;27882000;0;90084000;4244013000;56204000;214282000;2927484000;2389810000;94672000;2020-12-31;81905000;11258
4173997000;0;113329000;1306598000;295658000;11258;1501069000;"";822352000;2546385000;26952000;0;94370000;4173997000;54595000;199321000;2867399000;2377270000;115638000;2021-03-31;74340000;11258
4063471000;0;117734000;1293735000;221494000;11258;1490293000;"";822352000;2485901000;19144000;0;84875000;4063471000;54703000;186805000;2769736000;2351684000;109114000;2021-06-30;35557000;11258
4020150000;0;123128000;1316270000;221894000;11258;1445523000;"";822352000;2421912000;33308000;0;88324000;4020150000;55003000;174419000;2703880000;2352733000;113252000;2021-09-30;51845000;11258
4099054000;0;272839000;1457061000;323710000;11258;1430758000;"";822352000;2368459000;31610000;0;88152000;4099054000;53179000;155875000;2641993000;2344586000;86437000;2021-12-31;58790000;11258
4048671000;0;276462000;1481623000;334620000;11258;1345540000;"";822352000;2308198000;29950000;0;76734000;4048671000;51252000;145325000;2567048000;2368511000;133552000;2022-03-31;68114000;11258
4019285000;0;263708000;1499287000;312982000;11258;1316254000;"";822352000;2265482000;25869000;0;77981000;4019285000;51563000;134438000;2519998000;2390049000;151307000;2022-06-30;56204000;11258
4010208000;0;312347000;1510956000;303396000;11258;1657472000;"";822352000;2243238000;26940000;0;77815000;4010208000;51778000;122978000;2499252000;2049340000;118884000;2022-09-30;88135000;11258
