assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
23676800000;"";"";14716005000;18815052000;1155;1232831000;"";"";"";"";"";"";23676800000;"";"";"";"";"";2016-09-30;"";1155
25437947000;"";212826000;16272782000;20219207000;1155;1262321000;"";"";"";"";"";"";25437947000;"";"";"";"";"";2016-12-31;"";1155
20881965000;"";"";11839739000;14982900000;1155;1287117000;"";"";"";"";"";"";20881965000;"";"";"";"";"";2017-03-31;"";1155
20717703000;"";"";11411323000;13956973000;1155;1351527000;"";"";"";"";"";"";20717703000;"";"";"";"";"";2017-06-30;"";1155
22092488000;"";"";13676828000;14948209000;1155;1385245000;"";"";"";"";"";"";22092488000;"";"";"";"";"";2017-09-30;"";1155
22590799000;"";150179000;13904807000;15645354000;1155;1393438000;"";"";"";"";"";"";22590799000;"";"";"";"";"";2017-12-31;"";1155
19403467000;"";"";12517230000;12362702000;1155;1393742000;"";"";"";"";"";"";19403467000;"";"";"";"";"";2018-03-31;"";1155
23343197000;"";"";15795413000;16005332000;1155;1412515000;"";"";"";"";"";"";23343197000;"";"";"";"";"";2018-06-30;"";1155
28645309000;"";"";18949103000;21261110000;1155;1440684000;"";"";"";"";"";"";28645309000;"";"";"";"";"";2018-09-30;"";1155
27752360000;"";182215000;17949787000;20686443000;1155;1492013000;"";"";"";"";"";"";27752360000;"";"";"";"";"";2018-12-31;"";1155
25417652000;"";"";14310567000;18035655000;1155;1523492000;"";"";"";"";"";"";25417652000;"";"";"";"";"";2019-03-31;"";1155
27799284000;"";"";16038524000;19575230000;1155;1530907000;"";"";"";"";"";"";27799284000;"";"";"";"";"";2019-06-30;"";1155
24096936000;"";"";13535096000;16782810000;1155;1568221000;"";"";"";"";"";"";24096936000;"";"";"";"";"";2019-09-30;"";1155
23560619000;"";253417000;12321976000;16425781000;1155;1608362000;0;"";"";"";"";"";23560619000;"";"";"";"";"";2019-12-31;"";1155
27052027000;"";"";15339791000;19190777000;1155;1555661000;"";"";"";"";"";"";27052027000;"";"";"";"";"";2020-03-31;"";1155
27112422000;"";"";13921343000;18747927000;1155;1583940000;"";"";"";"";"";"";27112422000;"";"";"";"";"";2020-06-30;"";1155
35476161000;"";"";21506255000;25859319000;1155;1638970000;"";"";"";"";"";"";35476161000;"";"";"";"";"";2020-09-30;"";1155
30408284000;"";"";"";"";1155;1713900000;0;"";"";"";"";"";30408284000;"";"";"";"";"";2020-12-31;"";1155
32091193000;"";"";"";"";1155;1764024000;"";"";"";"";"";"";32091193000;"";"";"";"";"";2021-03-31;"";1155
32321293000;"";"";"";"";1155;1784822000;"";"";"";"";"";"";32321293000;"";"";"";"";"";2021-06-30;"";1155
33781506000;"";"";"";"";1155;1837763000;"";"";"";"";"";"";33781506000;"";"";"";"";"";2021-09-30;"";1155
33947402000;"";"";"";"";1155;1889666000;0;"";"";"";"";"";33947402000;"";"";"";"";"";2021-12-31;"";1155
36373616000;"";"";"";"";1155;1957957000;0;"";"";"";"";"";36373616000;"";"";"";"";"";2022-03-31;"";1155
37096752000;"";"";"";"";1155;1941388000;0;"";"";"";"";"";37096752000;"";"";"";"";"";2022-06-30;"";1155
38869646000;"";"";"";"";1155;2009403000;0;"";"";"";"";"";38869646000;"";"";"";"";"";2022-09-30;"";1155
