assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
82181000;0;9000;2938000;9526000;11975;23374000;19000;1000;12673000;0;0;46306000;82181000;1000000;0;79243000;49281000;1401000;2016-09-30;825000;11975
67637000;0;9000;2904000;12524000;11975;5867000;13000;0;12635000;0;0;31612000;67637000;1000000;0;64733000;49246000;1336000;2016-12-31;939000;11975
59090000;0;192000;3194000;15307000;11975;-5501000;5000;0;12547000;0;0;21976000;59090000;1000000;0;55896000;49284000;1386000;2017-03-31;731000;11975
51078000;0;24000;4534000;18238000;11975;-18053000;0;0;12483000;0;35000;11906000;51078000;407000;727000;46544000;50893000;2832000;2017-06-30;1021000;11975
46195000;0;4000;6337000;17501000;11975;-33253000;-2000;0;12417000;0;163000;11906000;46195000;0;0;39858000;61947000;4891000;2017-09-30;4588000;11975
55437000;0;164000;10619000;30578000;11975;-78339000;-25000;0;12335000;0;1142000;11966000;55437000;0;0;44818000;103198000;8033000;2017-12-31;8486000;11975
58003000;0;0;13265000;34602000;11975;-90352000;-31000;0;12246000;0;737000;11975000;58003000;0;0;44738000;113753000;11247000;2018-03-31;9872000;11975
53107000;0;2000;8674000;34679000;11975;-101340000;-35000;0;12157000;0;69000;11759000;53107000;0;0;44433000;119768000;7324000;2018-06-30;8560000;11975
35306000;0;0;1149000;28657000;11975;-193163000;-67000;0;12067000;0;66000;11616000;35306000;0;0;34157000;199812000;60000;2018-09-30;6000000;11975
34119000;0;0;467000;32359000;11975;-211781000;-2000;0;11978000;0;66000;11806000;34119000;0;0;33652000;213541000;119000;2018-12-31;7101000;11975
34449000;0;0;361000;35121000;11975;-220476000;0;0;11890000;0;66000;12030000;34449000;0;0;34088000;219804000;22000;2019-03-31;7526000;11975
36119000;0;0;183000;36168000;11975;-225537000;0;0;11800000;0;63000;12030000;36119000;0;0;35936000;225488000;21000;2019-06-30;7569000;11975
35565000;0;0;153000;37519000;11975;-232246000;0;0;11711000;0;46000;12115000;35565000;0;0;35412000;230292000;8000;2019-09-30;7536000;11975
41304000;0;0;172000;40327000;11975;-246371000;0;0;11622000;0;44000;21892000;41304000;0;0;41132000;247348000;32000;2019-12-31;7443000;11975
41983000;0;0;377000;38438000;11975;-248956000;0;0;11532000;0;43000;21923000;41983000;0;0;41606000;252501000;32000;2020-03-31;7703000;11975
76751000;0;4426000;5178000;31299000;11975;-240014000;0;0;11173000;0;29000;19196000;76751000;0;0;71573000;285466000;11000;2020-06-30;5140000;11975
43502000;0;160000;1411000;41704000;11975;-263291000;0;0;11281000;0;43000;22080000;43502000;0;0;42091000;265089000;818000;2020-09-30;7776000;11975
76751000;0;4426000;5178000;31299000;11975;-240014000;0;0;11173000;0;29000;19196000;76751000;0;0;71573000;285466000;11000;2020-12-31;5140000;11975
39149000;0;278000;1054000;23221000;11975;-64924000;0;0;11083000;0;29000;19312000;39149000;0;0;38095000;80852000;32000;2021-03-31;5243000;11975
38755000;0;1405000;2619000;22905000;11975;-75136000;0;0;10999000;0;29000;19679000;38755000;0;0;36136000;90986000;11000;2021-06-30;5584000;11975
165824000;0;55205000;56683000;16321000;11975;44584000;0;0;60000;0;28000;67699000;165824000;0;0;109141000;104919000;15000;2021-09-30;5050000;11975
333177000;0;1141000;3699000;23732000;11975;106971000;0;0;7401000;81697000;908000;239137000;333177000;0;0;329478000;202474000;25000;2021-12-31;12927000;11975
344613000;0;896000;3222000;45800000;11975;118646000;0;0;7454000;78243000;902000;253279000;344613000;20000000;0;341391000;180167000;45000;2022-03-31;13683000;11975
335325000;0;1151000;3345000;46974000;11975;101086000;0;0;7224000;74489000;904000;249051000;335325000;20000000;0;331980000;187265000;45000;2022-06-30;13619000;11975
318680000;0;380000;1554000;49543000;11975;124647000;0;0;6068000;63731000;1000;222165000;318680000;21745000;7211000;317126000;144490000;46000;2022-09-30;5396000;11975
