assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
188053000;0;4449000;38005000;135270000;11991;-143673000;-1266000;0;55594000;1164000;13344000;54633000;188053000;47769000;24019000;150048000;196456000;16753000;2016-09-30;25428000;11991
195293000;0;8154000;32921000;138912000;11991;-143493000;-1282000;0;61845000;1042000;12234000;63614000;195293000;52863000;21534000;162372000;199874000;10523000;2016-12-31;24693000;11991
193110000;0;6414000;36427000;149106000;11991;-153568000;-1293000;0;60566000;950000;12270000;63612000;193110000;55039000;18950000;156683000;197572000;15982000;2017-03-31;26419000;11991
189643000;0;4757000;33741000;152054000;11991;-158221000;-1385000;0;59439000;841000;13006000;63611000;189643000;55065000;15762000;155902000;195810000;14273000;2017-06-30;27257000;11991
181167000;0;3779000;35280000;132861000;11991;-149480000;-1391000;0;55147000;731000;13022000;63607000;181167000;53153000;15902000;145887000;197786000;16784000;2017-09-30;22108000;11991
179250000;0;6136000;33877000;116928000;11991;-136980000;-1397000;0;55443000;625000;14249000;64456000;179250000;55401000;14200000;145373000;199302000;12097000;2017-12-31;26317000;11991
180895000;0;2102000;36270000;110910000;11991;-141578000;-1400000;0;54814000;542000;13957000;64454000;180895000;56367000;12596000;144625000;211563000;18829000;2018-03-31;26573000;11991
184702000;0;2416000;42095000;123196000;11991;-148516000;-1433000;0;55104000;475000;18527000;64468000;184702000;58140000;12660000;142607000;210022000;19547000;2018-06-30;30333000;11991
187287000;0;2479000;41611000;128439000;11991;-150880000;-1539000;0;54694000;385000;19605000;64472000;187287000;59300000;11508000;145676000;209728000;17803000;2018-09-30;28240000;11991
179680000;0;6072000;41851000;133744000;11991;-169250000;-1551000;0;56171000;308000;19794000;59712000;179680000;63361000;11787000;137829000;215186000;14456000;2018-12-31;27027000;11991
182404000;0;2357000;45422000;141678000;11991;-176391000;-1554000;353000;55239000;246000;18494000;59710000;182404000;61337000;13733000;136982000;217117000;22803000;2019-03-31;30396000;11991
180771000;0;2615000;44728000;149342000;11991;-188778000;-1558000;299000;54332000;192000;20943000;59709000;180771000;62360000;12770000;136043000;220207000;19369000;2019-06-30;30852000;11991
179668000;0;1486000;43251000;156714000;11991;-198459000;-1561000;0;54751000;150000;17137000;59717000;179668000;64485000;10939000;136417000;221413000;22821000;2019-09-30;28924000;11991
174498000;0;3894000;39384000;158660000;11991;-208359000;-1563000;0;54533000;139000;17726000;59799000;174498000;66094000;10239000;135114000;224197000;15751000;2019-12-31;25485000;11991
175815000;0;3535000;41154000;165779000;11991;-215261000;-1565000;0;53777000;132000;19564000;59828000;175815000;65013000;9203000;134661000;225297000;16088000;2020-03-31;28292000;11991
170857000;0;791000;36505000;166198000;11991;-220444000;-1566000;0;52879000;123000;18486000;59835000;170857000;63974000;8835000;134352000;225103000;15618000;2020-06-30;25814000;11991
183219000;0;3564000;48510000;176798000;11991;-224643000;-1567000;0;52933000;116000;17137000;59839000;183219000;60666000;14682000;134709000;231064000;25844000;2020-09-30;31503000;11991
184896000;0;1330000;44056000;118679000;11991;-183457000;-1571000;0;52730000;108000;20286000;68037000;184896000;16186000;28327000;140840000;249674000;20833000;2020-12-31;13860000;11991
191140000;0;1263000;51113000;127096000;11991;-179639000;-1560000;0;53144000;119000;23304000;68050000;191140000;16459000;27475000;140027000;243683000;25315000;2021-03-31;19786000;11991
224641000;0;962000;92773000;109611000;11991;-50153000;-1561000;0;53676000;173000;27763000;68032000;224641000;22114000;25846000;131868000;165183000;29968000;2021-06-30;26518000;11991
231346000;0;186000;96519000;92274000;11991;-48018000;-1562000;0;56712000;159000;32761000;68043000;231346000;26881000;25945000;134827000;187090000;32451000;2021-09-30;26649000;11991
224928000;0;693000;82684000;88893000;11991;-48110000;-1565000;0;59506000;148000;29550000;72574000;224928000;30174000;24079000;142244000;184145000;23489000;2021-12-31;22264000;11991
241514000;0;444000;99026000;109862000;11991;-49070000;-1569000;0;60065000;147000;35013000;71950000;241514000;35672000;23053000;142488000;180722000;35192000;2022-03-31;34506000;11991
239816000;0;360000;96824000;116815000;11991;-52711000;-1571000;0;60740000;165000;32227000;71962000;239816000;43720000;21443000;142992000;175712000;36631000;2022-06-30;29787000;11991
266371000;0;128000;123476000;119367000;11991;-22427000;-1575000;0;62549000;150000;33874000;71967000;266371000;45113000;22261000;142895000;169431000;38504000;2022-09-30;28765000;11991
