assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
66856614000;"";"";30185451000;26196377000;1210;6469209000;"";"";"";"";"";"";66856614000;"";"";"";"";"";2016-09-30;"";1210
68246945000;"";"";31760901000;26959106000;1210;6440523000;"";"";"";"";"";"";68246945000;"";"";"";"";"";2016-12-31;"";1210
68434242000;"";"";36325649000;27287308000;1210;6481909000;"";"";"";"";"";"";68434242000;"";"";"";"";"";2017-03-31;"";1210
69994280000;"";"";37082183000;27725134000;1210;6599874000;"";"";"";"";"";"";69994280000;"";"";"";"";"";2017-06-30;"";1210
70840613000;"";"";44127160000;27579769000;1210;6727778000;"";"";"";"";"";"";70840613000;"";"";"";"";"";2017-09-30;"";1210
72561362000;"";"";44182326000;28261744000;1210;7031749000;"";"";"";"";"";"";72561362000;"";"";"";"";"";2017-12-31;"";1210
71161795000;"";"";43559430000;26439385000;1210;7194798000;"";"";"";"";"";"";71161795000;"";"";"";"";"";2018-03-31;"";1210
74736810000;"";"";43423092000;29518282000;1210;7031331000;"";"";"";"";"";"";74736810000;"";"";"";"";"";2018-06-30;"";1210
75298162000;"";"";40985345000;28989432000;1210;7248057000;"";"";"";"";"";"";75298162000;"";"";"";"";"";2018-09-30;"";1210
77030843000;"";"";40686100000;30090736000;1210;7275071000;"";"";"";"";"";"";77030843000;"";"";"";"";"";2018-12-31;"";1210
77378969000;"";"";38120593000;30504574000;1210;7364946000;"";"";"";"";"";"";77378969000;"";"";"";"";"";2019-03-31;"";1210
78631090000;"";"";37965611000;31578378000;1210;7518309000;"";"";"";"";"";"";78631090000;"";"";"";"";"";2019-06-30;"";1210
79992906000;"";"";37424250000;32243859000;1210;7732903000;"";"";"";"";"";"";79992906000;"";"";"";"";"";2019-09-30;"";1210
80994796000;"";"";36245021000;32528691000;1210;7792367000;1995000;"";"";"";"";"";80994796000;"";"";"";"";"";2019-12-31;"";1210
82939748000;"";"";80026907000;74872740000;1210;8067008000;"";"";"";"";"";"";82939748000;"";"";"";"";"";2020-03-31;"";1210
86600414000;"";"";83628140000;78383353000;1210;8217061000;"";"";"";"";"";"";86600414000;"";"";"";"";"";2020-06-30;"";1210
90033716000;"";"";"";"";1210;8352801000;"";"";"";"";"";"";90033716000;"";"";"";"";"";2020-09-30;"";1210
91675242000;"";"";"";"";1210;8344062000;2153000;"";"";"";"";"";91675242000;"";"";"";"";"";2020-12-31;"";1210
95410646000;"";"";"";"";1210;8579014000;"";"";"";"";"";"";95410646000;"";"";"";"";"";2021-03-31;"";1210
97850636000;"";"";"";"";1210;8652151000;"";"";"";"";"";"";97850636000;"";"";"";"";"";2021-06-30;"";1210
101328127000;"";"";"";"";1210;8747134000;"";"";"";"";"";"";101328127000;"";"";"";"";"";2021-09-30;"";1210
104136138000;"";"";"";"";1210;9046217000;2366000;"";"";"";"";"";104136138000;"";"";"";"";"";2021-12-31;"";1210
103748814000;"";"";"";"";1210;8991124000;5823000;"";"";"";"";"";103748814000;"";"";"";"";"";2022-03-31;"";1210
109120693000;"";"";"";"";1210;8965823000;4567000;"";"";"";"";"";109120693000;"";"";"";"";"";2022-06-30;"";1210
112857119000;"";"";"";"";1210;9004729000;4946000;"";"";"";"";"";112857119000;"";"";"";"";"";2022-09-30;"";1210
