assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
1152042000;0;10623000;244200000;548407000;12190;-329103000;0;0;140686000;8515000;82171000;659143000;1152042000;109345000;23133000;907842000;932738000;138072000;2016-09-30;148960000;12190
1226867000;0;8463000;248633000;578629000;12190;-273409000;0;1627000;139604000;12957000;52063000;650808000;1226867000;130282000;19514000;992584000;921690000;159239000;2016-12-31;101113000;12190
1104916000;0;8880000;194833000;402116000;12190;-238704000;0;0;135740000;7021000;54558000;681173000;1104916000;89349000;19144000;910083000;941504000;111654000;2017-03-31;117919000;12190
1144183000;0;10461000;220279000;423584000;12190;-216557000;0;0;132065000;12532000;70809000;674617000;1144183000;126166000;16035000;923904000;937156000;131323000;2017-06-30;126908000;12190
1210394000;0;11473000;282977000;465310000;12190;-177243000;0;0;129264000;12689000;63143000;675444000;1210394000;199169000;25270000;927417000;922327000;190985000;2017-09-30;108670000;12190
687880000;0;8663000;304485000;482268000;12190;-146628000;0;2414000;130437000;12666000;57857000;156009000;687880000;220646000;21620000;383395000;352240000;208094000;2017-12-31;122085000;12190
634397000;0;16604000;249705000;450059000;12190;-162380000;0;8210000;127955000;14188000;74115000;155576000;634397000;213856000;19020000;384692000;346718000;130585000;2018-03-31;110538000;12190
654621000;0;9070000;269365000;474340000;12190;-168617000;0;19133000;125068000;13977000;60743000;156036000;654621000;229433000;26530000;385256000;348898000;164857000;2018-06-30;110860000;12190
654597000;0;6452000;268936000;460954000;12190;-195332000;0;21576000;122645000;13558000;75077000;155720000;654597000;219908000;30201000;385661000;388975000;151228000;2018-09-30;123719000;12190
649613000;0;12166000;273835000;514613000;12190;-241389000;0;5310000;112940000;12561000;78092000;155292000;649613000;269498000;24014000;375778000;376389000;168610000;2018-12-31;124910000;12190
628859000;0;10564000;242862000;484909000;12190;-246898000;0;2474000;109208000;11853000;72307000;155093000;628859000;260635000;21488000;385997000;390848000;148774000;2019-03-31;109010000;12190
639965000;0;10850000;247627000;499208000;12190;-265638000;0;3722000;107278000;12061000;76331000;154401000;639965000;266246000;18376000;392338000;406395000;149080000;2019-06-30;126510000;12190
629747000;0;8121000;238694000;455254000;12190;-279734000;0;4389000;104936000;11425000;75284000;155110000;629747000;241340000;60957000;391053000;454227000;143783000;2019-09-30;105832000;12190
646822000;0;11545000;265906000;469028000;12190;-285117000;0;5093000;107755000;5670000;54484000;154421000;646822000;257164000;62986000;380916000;462911000;188402000;2019-12-31;110380000;12190
671879000;0;15011000;289233000;474341000;12190;-258521000;0;3461000;107866000;4827000;65581000;154562000;671879000;221861000;51791000;382646000;456059000;167172000;2020-03-31;141683000;12190
689745000;0;20074000;301748000;489643000;12190;-254612000;0;5649000;110214000;5327000;87747000;154317000;689745000;213721000;50384000;387997000;454714000;154622000;2020-06-30;159636000;12190
660246000;0;10511000;264256000;454944000;12190;-241275000;0;5937000;109337000;8280000;85896000;153808000;660246000;181384000;46876000;395990000;446577000;141666000;2020-09-30;150645000;12190
668173000;0;13623000;279027000;487350000;12190;-245161000;0;7021000;112556000;8040000;91112000;153036000;668173000;219908000;48438000;389146000;425984000;159302000;2020-12-31;170637000;12190
641554000;0;2771000;249679000;476898000;12190;-271457000;0;7583000;113089000;7889000;91346000;152492000;641554000;232433000;61198000;391875000;436113000;137725000;2021-03-31;143064000;12190
843270000;0;9615000;309825000;548013000;12190;-114922000;0;8361000;113748000;7697000;86500000;151890000;843270000;266432000;47218000;533445000;410179000;164343000;2021-06-30;181644000;12190
875994000;0;14324000;346057000;600553000;12190;-114831000;0;14828000;111619000;8094000;97257000;151546000;875994000;279448000;36583000;529937000;390272000;165371000;2021-09-30;212294000;12190
843185000;0;20359000;367659000;653188000;12190;-178255000;0;17501000;113864000;8516000;89770000;152376000;843185000;281600000;44438000;475526000;368252000;183977000;2021-12-31;233976000;12190
831692000;0;20566000;371965000;621471000;12190;-202950000;0;17918000;111182000;7915000;91458000;152050000;831692000;238552000;93191000;459727000;413171000;181278000;2022-03-31;246772000;12190
857363000;0;6795000;400777000;645173000;12190;-195004000;0;16509000;110614000;7784000;108596000;151940000;978212000;261776000;94135000;456586000;407194000;201576000;2022-06-30;250764000;12190
897220000;0;37612000;419729000;678763000;12190;-179288000;0;19765000;110978000;8588000;112047000;151715000;897220000;261948000;105920000;477491000;397745000;193871000;2022-09-30;246589000;12190
