assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
19154466000;"";"";11095395000;8110117000;1228;2072725000;"";"";"";"";"";"";19154466000;"";"";"";"";"";2009-12-31;"";1228
23783716000;"";"";10838392000;8474793000;1228;2177338000;"";"";"";"";"";"";23783716000;"";"";"";"";"";2010-12-31;"";1228
24708141000;"";"";10279535000;9821635000;1228;2268750000;"";"";"";"";"";"";24708141000;"";"";"";"";"";2011-03-31;"";1228
24803163000;"";"";10503059000;9831201000;1228;2305693000;"";"";"";"";"";"";24803163000;"";"";"";"";"";2011-06-30;"";1228
25641894000;"";"";10564366000;10320681000;1228;2410777000;"";"";"";"";"";"";25641894000;"";"";"";"";"";2011-09-30;"";1228
26435588000;"";"";10584659000;9748154000;1228;2329499000;"";"";"";"";"";"";26435588000;"";"";"";"";"";2011-12-31;"";1228
27490934000;"";"";11776776000;11813423000;1228;2388595000;"";"";"";"";"";"";27490934000;"";"";"";"";"";2012-03-31;"";1228
29652698000;"";"";12832360000;12130526000;1228;2570425000;"";"";"";"";"";"";29652698000;"";"";"";"";"";2012-06-30;"";1228
31105962000;"";"";14426714000;11167285000;1228;2482951000;"";"";"";"";"";"";31105962000;"";"";"";"";"";2012-09-30;"";1228
31888888000;"";"";14312230000;10594408000;1228;2683751000;"";"";"";"";"";"";31888888000;"";"";"";"";"";2012-12-31;"";1228
32388390000;"";"";15040590000;11234275000;1228;2487741000;"";"";"";"";"";"";32388390000;"";"";"";"";"";2013-03-31;"";1228
33794233000;"";"";15646771000;12440090000;1228;2518314000;"";"";"";"";"";"";33794233000;"";"";"";"";"";2013-06-30;"";1228
33863244000;"";"";15832719000;11365326000;1228;2512911000;"";"";"";"";"";"";33863244000;"";"";"";"";"";2013-09-30;"";1228
33817503000;"";"";15349319000;13285888000;1228;3039830000;"";"";"";"";"";"";33817503000;"";"";"";"";"";2013-12-31;"";1228
34952721000;"";"";16333120000;13013292000;1228;3033885000;"";"";"";"";"";"";34952721000;"";"";"";"";"";2014-03-31;"";1228
36407176000;"";"";17593139000;12251080000;1228;3214222000;"";"";"";"";"";"";36407176000;"";"";"";"";"";2014-06-30;"";1228
38060615000;"";"";22545048000;14685060000;1228;3400014000;"";"";"";"";"";"";38060615000;"";"";"";"";"";2014-09-30;"";1228
38204992000;"";"";22630574000;16431052000;1228;3367809000;"";"";"";"";"";"";38204992000;"";"";"";"";"";2014-12-31;"";1228
39409982000;"";"";23104000000;16134715000;1228;3037410000;"";"";"";"";"";"";39409982000;"";"";"";"";"";2015-03-31;"";1228
40573015000;"";"";23973935000;14757019000;1228;2866708000;"";"";"";"";"";"";40573015000;"";"";"";"";"";2015-06-30;"";1228
41524455000;"";"";21990065000;15793718000;1228;2742527000;"";"";"";"";"";"";41524455000;"";"";"";"";"";2015-09-30;"";1228
41421935000;"";"";21939440000;15931326000;1228;2843186000;"";"";"";"";"";"";41421935000;"";"";"";"";"";2015-12-31;"";1228
41994900000;"";"";19926804000;17790551000;1228;2969770000;"";"";"";"";"";"";41994900000;"";"";"";"";"";2016-03-31;"";1228
42680676000;"";"";19129631000;14272806000;1228;3035195000;"";"";"";"";"";"";42680676000;"";"";"";"";"";2016-06-30;"";1228
