assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
133857000;0;0;38020000;21532000;12319;35376000;0;0;2103000;0;0;14544000;133857000;12488000;0;95837000;76949000;38020000;2016-06-30;0;12319
92256000;0;0;5000;16422000;12319;-1943000;0;0;4901000;0;0;14542000;92256000;5030000;0;92251000;77777000;5000;2016-09-30;0;12319
90619000;0;0;6000;16678000;12319;-8290000;0;0;0;0;0;17339000;90619000;5286000;0;90613000;82231000;6000;2016-12-31;720000;12319
90615000;0;0;5000;16736000;12319;-8352000;0;0;0;0;0;19440000;90615000;5286000;0;90610000;82231000;0;2017-03-31;720000;12319
90615000;0;0;5000;17790000;12319;-9406000;0;0;0;0;0;19439000;90615000;5286000;0;90610000;82231000;5000;2017-06-30;1724000;12319
97074000;0;0;6000;16765000;12319;-1922000;0;0;2103000;0;0;23793000;97074000;5286000;0;97068000;82231000;6000;2017-09-30;720000;12319
97070000;0;0;5000;16972000;12319;-2133000;0;0;0;0;0;25894000;97070000;5286000;0;97065000;82231000;5000;2017-12-31;720000;12319
142704000;0;0;5000;29086000;12319;31387000;0;0;0;0;0;25888000;142704000;5286000;0;142699000;82231000;5000;2018-03-31;714000;12319
139674000;0;0;6000;31672000;12319;25771000;0;0;0;0;0;22857000;139674000;5286000;0;139668000;82231000;6000;2018-06-30;715000;12319
139674000;0;0;6000;31904000;12319;25539000;0;0;2103000;0;0;20754000;139674000;5286000;0;139668000;82231000;6000;2018-09-30;715000;12319
139671000;0;0;6000;33136000;12319;14496000;0;0;2103000;0;0;20751000;139671000;5286000;0;139665000;92039000;6000;2018-12-31;1717000;12319
194372000;0;0;6000;34410000;12319;68536000;0;0;2103000;0;0;78243000;194372000;4614000;0;194366000;91426000;6000;2019-03-31;4840000;12319
191072000;0;0;6000;31324000;12319;68322000;0;0;2103000;0;0;78243000;191072000;4614000;0;191066000;91426000;6000;2019-06-30;1594000;12319
190954000;0;0;6000;31490000;12319;68038000;0;0;2103000;0;0;78238000;190954000;4614000;0;190948000;91426000;6000;2019-09-30;1595000;12319
190874000;0;0;16000;31795000;12319;67653000;0;0;0;0;0;80337000;190874000;4614000;0;190858000;91426000;16000;2019-12-31;0;12319
190800000;0;0;16000;31934000;12319;67440000;0;0;0;0;0;80336000;190800000;4614000;0;190784000;91426000;16000;2020-03-31;1599000;12319
190752000;0;0;16000;31977000;12319;67349000;0;0;0;0;0;80326000;190752000;4614000;0;190736000;91426000;16000;2020-06-30;1640000;12319
190428000;0;0;16000;32830000;12319;63719000;0;0;0;0;0;80323000;190428000;5719000;0;190412000;93879000;16000;2020-09-30;1387000;12319
190358000;0;0;17000;33335000;12319;61173000;0;0;0;0;0;80319000;190358000;5890000;0;190341000;95850000;17000;2020-12-31;1079000;12319
190323000;0;0;33000;23488000;12319;59747000;0;0;0;0;0;80312000;190323000;6223000;0;190290000;107088000;33000;2021-03-31;1311000;12319
189803000;0;0;66000;23812000;12319;58673000;0;0;0;0;0;80304000;189803000;6552000;0;189737000;107318000;66000;2021-06-30;1270000;12319
189526000;0;0;66000;24079000;12319;57197000;0;0;0;0;0;80299000;189526000;6748000;0;189460000;108250000;66000;2021-09-30;1292000;12319
189656000;0;0;66000;34501000;12319;56569000;0;0;0;0;0;80294000;189656000;6748000;0;189590000;98586000;66000;2021-12-31;2029000;12319
