assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
10698816000;0;1697278000;3311920000;1430907000;12653;4662159000;56665000;209874000;3905330000;6365000;403090000;1790180000;10698816000;683473000;3914754000;7386896000;4605750000;664493000;2009-12-31;185420000;12653
11433668000;0;2268816000;3944351000;1617882000;12653;4994085000;160417000;198222000;3932348000;7655000;427231000;1805500000;11433668000;805215000;4014976000;7489317000;4821701000;879397000;2010-12-31;265137000;12653
11420103000;0;2210530000;3878708000;1667159000;12653;5132943000;180977000;203465000;3951845000;7668000;443900000;1851913000;11420103000;842681000;3793117000;7541395000;4620001000;902795000;2011-03-31;269676000;12653
11557621000;0;2324891000;3927743000;1841107000;12653;5142031000;187142000;209180000;3943792000;7199000;440021000;1885470000;11557621000;861011000;3717987000;7629878000;4574483000;809833000;2011-06-30;240170000;12653
11924821000;0;2640254000;4365794000;1981021000;12653;4836228000;193845000;215486000;3949037000;7362000;454096000;1849308000;11924821000;929709000;4413882000;7559027000;5107572000;895284000;2011-09-30;229036000;12653
12003002000;0;2146456000;3950110000;1962795000;12653;4958302000;0;221260000;4003878000;7100000;465026000;2287890000;12003002000;910497000;4386839000;8052892000;5081905000;931904000;2011-12-31;326926000;12653
12709878000;0;2497335000;4298974000;1935081000;12653;5407086000;0;226864000;4022327000;8281000;479757000;2451752000;12709878000;1013784000;4592672000;8410904000;5367711000;960948000;2012-03-31;197220000;12653
13162276000;0;2722692000;4710876000;1864135000;12653;5025972000;0;231658000;4072675000;8178000;448631000;2455781000;13162276000;1187796000;5137966000;8451400000;6272169000;1058716000;2012-06-30;256755000;12653
13436785000;0;2452681000;4595931000;1881699000;12653;5359482000;0;236025000;4246287000;8006000;441307000;2567161000;13436785000;1226327000;5014144000;8840854000;6195604000;1251556000;2012-09-30;333440000;12653
13809990000;0;2157148000;4207169000;1754482000;12653;5420921000;0;240077000;5003707000;8486000;438091000;1278797000;13809990000;1120770000;4914334000;9602821000;6634587000;1158615000;2012-12-31;313559000;12653
13825475000;0;2079601000;4227345000;1652284000;12653;5617611000;0;234532000;5038235000;8805000;437002000;1275011000;13825475000;1083470000;4802576000;9598130000;6555580000;1268345000;2013-03-31;286205000;12653
14034597000;0;2058556000;4107093000;2005249000;12653;5411757000;0;238766000;5401831000;8831000;449508000;1237935000;14034597000;1126382000;4972076000;9927504000;6617591000;1225754000;2013-06-30;607721000;12653
13832612000;0;1896127000;3911921000;1860002000;12653;5466325000;0;243870000;5349271000;8456000;453431000;1335773000;13832612000;1128506000;4888701000;9920691000;6506285000;1182901000;2013-09-30;381655000;12653
14642043000;0;2401822000;4614938000;1799847000;12653;5392667000;0;249511000;5670990000;9133000;457636000;1145636000;14642043000;1126153000;5842135000;10027105000;7449529000;1307523000;2013-12-31;342126000;12653
17507435000;0;4084221000;6670676000;1892563000;12653;7165502000;0;459759000;6083342000;10785000;470015000;1203685000;17507435000;1181274000;6404526000;10836759000;8449370000;1347873000;2014-03-31;311898000;12653
19416252000;0;4636497000;7143818000;2771237000;12653;7434756000;0;471337000;7514114000;11378000;486824000;1215450000;19416252000;1201194000;7149657000;12272434000;9210259000;1267513000;2014-06-30;1222324000;12653
19101081000;0;4146063000;6796997000;2157937000;12653;7290925000;0;484218000;7209673000;11509000;470250000;1266884000;19101081000;1502143000;7586805000;12304084000;9652219000;1381676000;2014-09-30;329704000;12653
19982605000;0;4030951000;6850704000;2468430000;12653;7058324000;0;497604000;8111467000;11169000;496736000;1255201000;19982605000;1727441000;8436379000;13131901000;10455851000;1392048000;2014-12-31;429003000;12653
21257249000;0;3963768000;7068097000;3001947000;12653;6232945000;0;505934000;8952058000;11933000;527539000;1322367000;21257249000;1997862000;10375891000;14189152000;12022357000;1535852000;2015-03-31;617571000;12653
22293607000;0;3770369000;7056133000;3168808000;12653;6510960000;0;521209000;9851851000;11316000;547594000;1315537000;22293607000;2183013000;10724061000;15237474000;12613839000;1509001000;2015-06-30;655034000;12653
24393719000;0;4345075000;8048813000;3147147000;12653;4991741000;0;539065000;10794575000;12568000;577149000;1371120000;24393719000;2025438000;15114489000;16344906000;16254831000;1821180000;2015-09-30;707022000;12653
25451252000;0;4031184000;7954865000;3108846000;12653;5352340000;0;557143000;11758931000;12746000;613811000;1410728000;25451252000;2030304000;15591555000;17496387000;16990066000;1904977000;2015-12-31;696277000;12653
26645989000;0;4488892000;8286393000;3382165000;12653;6281508000;0;575070000;12414012000;12790000;739651000;1615597000;26645989000;2368084000;15479916000;18359596000;16982316000;1911009000;2016-03-31;644832000;12653
27809257000;0;4583907000;8668362000;3523097000;12653;7421199000;0;594285000;12691499000;24347000;843541000;1822322000;27809257000;2411085000;14730741000;19140895000;16864961000;1832040000;2016-06-30;695498000;12653
