assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
306554000;0;643000;149528000;110027000;12696;-705623000;9032000;0;110016000;658000;73544000;42058000;306554000;25859000;3276000;157026000;902150000;52285000;2016-09-30;20717000;12696
302298000;0;2359000;146148000;114532000;12696;-740582000;6383000;0;108147000;651000;74546000;43281000;302298000;25759000;3077000;156150000;928348000;48557000;2016-12-31;19484000;12696
290408000;0;612000;139118000;118312000;12696;-781383000;3970000;0;106082000;635000;69180000;40590000;290408000;25159000;2163000;151290000;953479000;53680000;2017-03-31;19809000;12696
287038000;0;2027000;140912000;137720000;12696;-822695000;821000;0;104457000;624000;68437000;37059000;287038000;29398000;1240000;146126000;972013000;57362000;2017-06-30;25850000;12696
284790000;0;815000;140094000;144334000;12696;-857547000;-1138000;0;102704000;610000;68601000;36157000;284790000;33207000;1009000;144696000;998003000;57773000;2017-09-30;24178000;12696
281965000;0;2952000;139164000;151202000;12696;-894470000;-3361000;0;101024000;597000;69253000;36115000;281965000;33863000;735000;142801000;1025233000;54008000;2017-12-31;26021000;12696
275818000;0;254000;135036000;155358000;12696;-930818000;-5989000;0;99254000;584000;66398000;36157000;275818000;34355000;452000;140782000;1051278000;55154000;2018-03-31;25048000;12696
271672000;0;709000;131422000;186303000;12696;-971658000;-4481000;0;100397000;572000;68848000;36115000;271672000;35727000;160000;140250000;1057027000;47341000;2018-06-30;42515000;12696
278490000;0;896000;139681000;214860000;12696;-1008685000;-4958000;0;99119000;565000;68488000;36114000;278490000;41292000;0;138809000;1072315000;55295000;2018-09-30;50647000;12696
273752000;0;4119000;135049000;215804000;12696;-1045255000;-8478000;0;97381000;559000;72413000;36114000;273752000;41277000;0;138703000;1103203000;44049000;2018-12-31;47072000;12696
289011000;0;1069000;129795000;239706000;12696;-1091218000;-10789000;0;116411000;554000;60723000;36114000;289011000;41695000;0;159216000;1140523000;52626000;2019-03-31;42672000;12696
282112000;0;2876000;125211000;248559000;12696;-1133083000;-12149000;0;114413000;548000;57236000;36114000;282112000;42041000;0;156901000;1166636000;49407000;2019-06-30;47392000;12696
271769000;0;930000;130710000;249177000;12696;-1188189000;-13029000;0;113436000;542000;55659000;21605000;271769000;44467000;0;141059000;1210781000;58708000;2019-09-30;39750000;12696
272421000;0;8031000;133033000;262803000;12696;-1224913000;-13775000;0;112088000;536000;58548000;21292000;272421000;48104000;0;139388000;1234531000;51024000;2019-12-31;42257000;12696
261655000;0;3648000;125664000;265531000;12696;-1269814000;-16407000;0;109985000;530000;54978000;20014000;261655000;39980000;0;135991000;1265938000;51349000;2020-03-31;40081000;12696
238840000;0;398000;108027000;261957000;12696;-1302485000;-18049000;0;107970000;529000;49955000;16930000;238840000;29679000;0;130813000;1279368000;42149000;2020-06-30;39917000;12696
264036000;0;1515000;133437000;281003000;12696;-1331343000;-14313000;0;105958000;529000;51653000;18929000;264036000;43082000;0;130599000;1314376000;63661000;2020-09-30;40580000;12696
283582000;0;5588000;142865000;275862000;12696;-1364699000;-14556000;0;105177000;528000;60783000;20052000;283582000;41058000;14759000;140717000;1372419000;69032000;2020-12-31;44368000;12696
289204000;0;2263000;149575000;286547000;12696;-1392668000;-15465000;0;104018000;528000;66594000;19801000;289204000;47603000;14481000;139629000;1395325000;73402000;2021-03-31;45179000;12696
282638000;0;4019000;144078000;206051000;12696;-1413972000;-15485000;0;102925000;538000;66867000;19776000;282638000;40055000;14667000;138560000;1490559000;65238000;2021-06-30;46659000;12696
324838000;0;344000;174145000;240636000;12696;-1437030000;-15576000;0;103343000;537000;77651000;19937000;324838000;52718000;14354000;150693000;1521232000;87834000;2021-09-30;55205000;12696
319907000;0;6081000;170085000;240786000;12696;-1477478000;-16275000;0;103453000;537000;85754000;18934000;319907000;57510000;3542000;149822000;1556599000;70128000;2021-12-31;60289000;12696
319358000;0;1180000;171213000;243656000;12696;-1523972000;-16284000;0;102615000;536000;84332000;18203000;319358000;66126000;3229000;148145000;1599674000;79389000;2022-03-31;57159000;12696
304407000;0;1756000;157635000;226614000;12696;-1564936000;-16385000;0;101541000;535000;76930000;17584000;304407000;61989000;2917000;146772000;1642729000;72152000;2022-06-30;49087000;12696
312996000;0;553000;164596000;219761000;12696;-1607735000;-16286000;0;102245000;535000;81203000;17888000;312996000;60913000;7640000;148400000;1700970000;75919000;2022-09-30;44804000;12696
