assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
144900000;0;249000;65859000;53216000;12823;89800000;60000;23139000;22661000;2128000;2544000;35373000;144900000;45698000;1884000;79041000;1884000;2469000;2009-12-31;1277000;12823
195062000;0;141000;69871000;54734000;12823;138538000;66000;27818000;70200000;1799000;3696000;33791000;195062000;46379000;1790000;125191000;1790000;2424000;2010-12-31;762000;12823
196992000;0;134000;72569000;55954000;12823;139271000;66000;29231000;70270000;1718000;3345000;33034000;196992000;46474000;1767000;124423000;1767000;3407000;2011-03-31;1313000;12823
200138000;0;105000;75000000;56613000;12823;141780000;64000;30223000;70647000;1638000;4466000;33452000;200138000;46596000;1745000;125138000;1745000;3096000;2011-06-30;2128000;12823
379261000;0;152000;73478000;53029000;12823;324509000;113000;29758000;70643000;1549000;4292000;213668000;379261000;46774000;1723000;305783000;1723000;2875000;2011-09-30;907000;12823
381490000;0;102000;75227000;57158000;12823;322638000;112000;32066000;70585000;1468000;3688000;214256000;381490000;46857000;1694000;306263000;1694000;3199000;2011-12-31;413000;12823
385620000;0;151000;79872000;59182000;12823;324779000;110000;36134000;70320000;1402000;3588000;214051000;385620000;46937000;1659000;305748000;1659000;3003000;2012-03-31;1344000;12823
390295000;0;83000;80322000;59524000;12823;329154000;109000;34428000;70053000;1323000;2765000;218621000;390295000;46959000;1617000;309973000;1617000;2982000;2012-06-30;374000;12823
387600000;0;140000;78449000;55259000;12823;330772000;109000;24386000;69802000;1243000;2557000;218123000;387600000;46973000;1569000;309151000;1569000;3205000;2012-09-30;854000;12823
323387000;0;199000;79578000;55943000;12823;246740000;93000;26174000;67703000;1169000;2245000;154884000;323387000;40750000;1512000;243809000;20704000;3280000;2012-12-31;779000;12823
327883000;0;122000;82247000;56011000;12823;251226000;96000;29876000;68024000;1093000;2567000;156458000;327883000;40745000;1454000;245636000;20646000;2976000;2013-03-31;1166000;12823
329097000;0;256000;80854000;54481000;12823;254029000;95000;30657000;69313000;1015000;2886000;157838000;329097000;40746000;1395000;248243000;20587000;3190000;2013-06-30;1224000;12823
324861000;0;407000;74314000;51939000;12823;252394000;98000;24430000;72169000;932000;3349000;157369000;324861000;41102000;1336000;250547000;20528000;3311000;2013-09-30;1277000;12823
342837000;0;299000;70002000;56092000;12823;266277000;100000;17263000;74076000;854000;3249000;176014000;342837000;41115000;1276000;272835000;20468000;3918000;2013-12-31;938000;12823
345823000;0;345000;72863000;57364000;12823;268199000;98000;18240000;74147000;775000;3278000;176130000;345823000;41146000;1201000;272960000;20260000;3648000;2014-03-31;1155000;12823
344479000;0;385000;68743000;55650000;12823;268658000;106000;7654000;76098000;697000;3323000;177009000;344479000;41164000;1138000;275736000;20171000;2897000;2014-06-30;761000;12823
341225000;0;250000;65273000;50356000;12823;270790000;109000;4817000;76151000;620000;3351000;177194000;341225000;41222000;1073000;275952000;20079000;3705000;2014-09-30;1083000;12823
343980000;0;271000;17787000;53152000;12823;268659000;111000;3905000;76356000;543000;2906000;180053000;343980000;41279000;1004000;326193000;22169000;4833000;2014-12-31;1000000;12823
345663000;0;204000;18971000;13449000;12823;268858000;117000;4418000;76603000;465000;2974000;179175000;345663000;43000;42218000;326692000;63356000;4089000;2015-03-31;1248000;12823
346268000;0;231000;18606000;11827000;12823;271020000;118000;4041000;76311000;388000;3898000;180240000;346268000;2000;41452000;327662000;63421000;3374000;2015-06-30;1263000;12823
339844000;0;128000;18393000;5355000;12823;270922000;120000;3960000;76127000;310000;3854000;180645000;339844000;0;42481000;321451000;63567000;3637000;2015-09-30;1083000;12823
347648000;0;161000;19662000;6024000;12823;277948000;96000;4400000;76058000;234000;3140000;189881000;347648000;0;42617000;327986000;63676000;4887000;2015-12-31;697000;12823
346924000;0;51000;19978000;11031000;12823;272151000;68000;3820000;75954000;157000;2801000;190322000;346924000;0;42710000;326946000;63742000;3068000;2016-03-31;649000;12823
339003000;0;22000;11192000;10661000;12823;264521000;81000;266000;75757000;157000;454000;200765000;339003000;0;42815000;327811000;63821000;1002000;2016-06-30;328000;12823
