assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
10719727000;"";"";6402102000;3135209000;1325;712192000;"";"";"";"";"";"";10719727000;"";"";"";"";"";2016-09-30;"";1325
10000782000;"";"";5819598000;2748476000;1325;700340000;"";"";"";"";"";"";10000782000;"";"";"";"";"";2016-12-31;"";1325
9779504000;"";"";5656593000;2670815000;1325;700063000;"";"";"";"";"";"";9779504000;"";"";"";"";"";2017-03-31;"";1325
9762872000;"";"";5570410000;2868720000;1325;705851000;"";"";"";"";"";"";9762872000;"";"";"";"";"";2017-06-30;"";1325
9888625000;"";"";5831982000;2829488000;1325;762516000;"";"";"";"";"";"";9888625000;"";"";"";"";"";2017-09-30;"";1325
9488588000;"";"";5283070000;2459127000;1325;766290000;"";"";"";"";"";"";9488588000;"";"";"";"";"";2017-12-31;"";1325
9216815000;"";"";5273173000;2253142000;1325;785915000;"";"";"";"";"";"";9216815000;"";"";"";"";"";2018-03-31;"";1325
8841794000;"";"";4990166000;2135434000;1325;793257000;"";"";"";"";"";"";8841794000;"";"";"";"";"";2018-06-30;"";1325
9403642000;"";"";5222270000;2213672000;1325;805100000;"";"";"";"";"";"";9403642000;"";"";"";"";"";2018-09-30;"";1325
9358796000;"";"";5046547000;2371541000;1325;800102000;"";"";"";"";"";"";9358796000;"";"";"";"";"";2018-12-31;"";1325
9099234000;"";"";5085439000;2295403000;1325;820955000;"";"";"";"";"";"";9099234000;"";"";"";"";"";2019-03-31;"";1325
9437302000;"";"";5549175000;2589639000;1325;850253000;"";"";"";"";"";"";9437302000;"";"";"";"";"";2019-06-30;"";1325
9704873000;"";"";5844564000;3296924000;1325;878333000;"";"";"";"";"";"";9704873000;"";"";"";"";"";2019-09-30;"";1325
9853648000;"";"";5741526000;3373400000;1325;887499000;"";"";"";"";"";"";9853648000;"";"";"";"";"";2019-12-31;"";1325
9972115000;"";"";5611594000;3555737000;1325;934279000;"";"";"";"";"";"";9972115000;"";"";"";"";"";2020-03-31;"";1325
10618343000;"";"";6067868000;3628071000;1325;955021000;"";"";"";"";"";"";10618343000;"";"";"";"";"";2020-06-30;"";1325
10109405000;"";"";5395770000;2624668000;1325;980278000;"";"";"";"";"";"";10109405000;"";"";"";"";"";2020-09-30;"";1325
10702874000;"";"";5163206000;3018238000;1325;987968000;"";"";"";"";"";"";10702874000;"";"";"";"";"";2020-12-31;"";1325
10720114000;"";"";5128608000;2969929000;1325;1038946000;"";"";"";"";"";"";10720114000;"";"";"";"";"";2021-03-31;"";1325
11523824000;"";"";5413547000;3575908000;1325;1067478000;"";"";"";"";"";"";11523824000;"";"";"";"";"";2021-06-30;"";1325
11975530000;"";"";5423211000;4253090000;1325;1112836000;"";"";"";"";"";"";11975530000;"";"";"";"";"";2021-09-30;"";1325
12455378000;"";"";5419363000;4499202000;1325;1124491000;47419000;"";"";"";"";"";12455378000;"";"";"";"";"";2021-12-31;"";1325
13064906000;"";"";5581151000;4579444000;1325;1175545000;"";"";"";"";"";"";13064906000;"";"";"";"";"";2022-03-31;"";1325
14362667000;"";"";"";"";1325;1202699000;47629000;"";"";"";"";"";14362667000;"";"";"";"";"";2022-06-30;"";1325
14400075000;"";"";"";"";1325;1227452000;47584000;"";"";"";"";"";14400075000;"";"";"";"";"";2022-09-30;"";1325
