assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
29329175;0;916585;21283368;28288639;13366;-111396103;"";8674435;7476503;0;4662998;467417;29329175;25084986;44929000;8045807;112436639;6397960;2009-12-31;902767;13366
35273547;0;793615;26451292;30459038;13366;-107878525;0;12487750;8099838;0;5435817;467417;35273547;26821793;43583000;8822255;112693034;6973237;2010-12-31;1093871;13366
38618055;0;333586;29339477;32569393;13366;-107205719;"";15004197;8481161;0;5069583;467417;38618055;27544526;43583000;9278578;113254381;8078466;2011-03-31;1154682;13366
40395648;0;683946;30967747;33158126;13366;-106617713;"";14157713;8550634;0;5304833;467417;40395648;28299737;43583000;9427901;113855235;10018039;2011-06-30;1208101;13366
40881538;0;458868;30844931;31739391;13366;-105273223;"";16256480;9079254;0;4569003;467417;40881538;27850597;43583000;10036607;114415370;8459587;2011-09-30;1056938;13366
35512444;0;387098;23647756;32073877;13366;-101567947;0;12024415;9772546;0;4539940;1521882;35512444;28789091;31786819;11864688;105006514;6146208;2011-12-31;767390;13366
37578462;0;380174;24923954;32701310;13366;-100677507;0;12862807;10114317;0;4676302;1888256;37578462;29188148;31778013;12654508;105554659;6415299;2012-03-31;902065;13366
38807210;0;433071;25629752;32998178;13366;-100395815;0;12494099;10354914;0;4657129;2518975;38807210;29598109;31767838;13177458;106204847;7488598;2012-06-30;981274;13366
40680714;0;713582;26436931;33177584;13366;-99396463;0;13101662;10838688;0;5487945;3149742;40680714;30023237;31757485;14243783;106899593;6567530;2012-09-30;979679;13366
39364051;0;933928;24220697;21983321;13366;-92298672;0;13269341;10917737;0;4340915;3888479;39364051;19072105;31681207;15143354;109679402;5144286;2012-12-31;619675;13366
39752862;0;883222;24105946;23107174;13366;-93178821;0;14065696;11365832;0;2727500;4191084;39752862;19510304;31667522;15646916;109824509;5911664;2013-03-31;746973;13366
42934449;0;838414;25793415;23828369;13366;-88957103;0;12566503;11608014;0;3807351;5053020;42934449;19944478;31651457;17141034;108063183;5769493;2013-06-30;1268331;13366
42102709;0;50860;24299663;23522512;13366;-90174895;0;13226427;11547995;0;4370604;5785051;42102709;20307288;31634916;17803046;108755092;6417310;2013-09-30;949895;13366
44044094;0;9316;24871199;23829421;13366;-89318320;0;14710196;11561152;0;5005263;7171743;44044094;20797880;31518059;19172895;109532993;4702918;2013-12-31;582425;13366
45157761;0;7978;26990885;24896708;13366;-87610467;0;15254874;11697068;0;5178909;6029808;45157761;21176936;31493307;18166876;107871520;6067904;2014-03-31;1137553;13366
45854236;0;13238;25892769;24236960;13366;-87010009;0;15214738;11619511;0;5135604;7802356;45854236;21135414;31471530;19961467;108627285;5054314;2014-06-30;857644;13366
47316778;0;62592;25297842;25023624;13366;-85221284;0;13847506;11441157;0;5542121;10038179;47316778;21105403;31457012;22018936;107514438;5316544;2014-09-30;1076882;13366
48001608;0;56183;24157250;24160022;13366;-84337534;0;14176989;11082437;0;4911349;12213921;48001608;21193284;31257094;23844358;108179120;4538208;2014-12-31;530342;13366
48389300;0;59071;34403036;24310963;13366;-83673010;0;15740931;10829351;0;5114104;2608913;48389300;21148210;31219609;13986264;107751347;13048968;2015-03-31;866349;13366
49257478;0;73931;33607593;24060617;13366;-82874126;0;17105467;10443185;0;5754758;4676700;49257478;21104507;31182124;15649885;108070987;10241099;2015-06-30;668017;13366
51035639;0;127245;33999366;24470978;13366;-81869853;0;19811175;10430694;0;4933298;6045579;51035639;21070488;31144640;17036273;108434514;8726731;2015-09-30;881928;13366
51525723;0;108923;36620447;24049001;13366;-84842745;0;21313707;10327348;0;4377842;3987928;51525723;21206333;30957216;14905276;112319467;10505808;2015-12-31;902352;13366
53587017;0;95871;37688076;24742967;13366;-84014458;0;24021633;9953882;0;4506428;5315059;53587017;21296410;30919731;15898941;112858508;8687666;2016-03-31;1350840;13366
54508826;0;87421;40698004;24599378;13366;-83381201;0;25330752;9684190;0;3987393;3344321;54508826;21379818;30882247;13810822;113290649;10588541;2016-06-30;847490;13366
