assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
187025000;0;1037000;37523000;62721000;13439;32350000;"";0;122770000;314000;12153000;12186000;187025000;35087000;53726000;149502000;91954000;18437000;2009-12-31;10837000;13439
197842000;0;251000;50020000;82702000;13439;24924000;"";0;121868000;264000;19801000;12208000;197842000;42566000;53691000;147822000;87649000;17537000;2010-12-31;12740000;13439
201997000;0;1559000;54469000;88038000;13439;25150000;"";0;121754000;262000;20463000;12208000;201997000;48955000;48445000;147528000;88809000;25787000;2011-03-31;14273000;13439
205550000;0;1136000;58060000;96231000;13439;25441000;"";0;121905000;254000;22383000;12208000;205550000;49821000;45299000;147490000;83878000;27617000;2011-06-30;17337000;13439
206081000;0;2428000;59291000;97732000;13439;26636000;"";0;121416000;248000;21925000;12208000;206081000;47987000;42099000;146790000;81713000;27728000;2011-09-30;17742000;13439
194917000;0;448000;58174000;117351000;13439;22006000;"";5660000;119747000;354000;21542000;13817000;194917000;61725000;29908000;136743000;55560000;23811000;2011-12-31;16500000;13439
191793000;0;54000;56488000;119620000;13439;19128000;"";5832000;118991000;345000;23032000;13817000;191793000;60725000;27962000;135305000;53045000;22168000;2012-03-31;16041000;13439
192197000;0;118000;55587000;127876000;13439;15068000;"";2863000;119524000;335000;24076000;13817000;192197000;57600000;26004000;136610000;49253000;23603000;2012-06-30;17250000;13439
189374000;0;35000;53439000;116180000;13439;12350000;"";69000;119713000;326000;23273000;13817000;189374000;35522000;40341000;135935000;60844000;24699000;2012-09-30;18895000;13439
182120000;0;82000;46562000;120755000;13439;6457000;"";41000;118783000;317000;21375000;13817000;182120000;34882000;37575000;135558000;54908000;19500000;2012-12-31;17416000;13439
186227000;0;132000;50840000;133968000;13439;3201000;"";87000;118888000;325000;21726000;13817000;186227000;34750000;33978000;135387000;49058000;23697000;2013-03-31;20500000;13439
192433000;0;159000;54770000;144763000;13439;1446000;"";35000;119414000;489000;21792000;13817000;192433000;36767000;31044000;137663000;46224000;28592000;2013-06-30;20028000;13439
192804000;0;278000;58078000;147827000;13439;1266000;"";1065000;117414000;496000;22439000;13817000;192804000;36835000;27972000;134726000;43711000;28371000;2013-09-30;15788000;13439
185356000;0;45000;49776000;143770000;13439;448000;"";206000;117428000;493000;23847000;13817000;185356000;34567000;27847000;135580000;41138000;20290000;2013-12-31;10909000;13439
190770000;0;13000;54863000;152285000;13439;507000;"";21000;117243000;510000;23335000;13905000;190770000;34424000;25743000;135907000;37978000;26868000;2014-03-31;11699000;13439
192629000;0;9000;57426000;149512000;13439;1127000;"";10000;117150000;500000;28278000;13905000;192629000;33972000;22366000;135203000;41990000;24234000;2014-06-30;12630000;13439
193640000;0;81000;60074000;93273000;13439;12079000;"";11000;117422000;499000;26181000;13905000;193640000;38620000;22407000;133566000;88288000;29106000;2014-09-30;11102000;13439
185541000;0;38000;50116000;96210000;13439;7499000;"";10000;117356000;496000;24586000;15932000;185541000;43711000;18984000;135425000;81832000;21827000;2014-12-31;11024000;13439
192952000;0;25000;57855000;111736000;13439;3801000;"";260000;116845000;614000;22823000;15932000;192952000;45881000;17570000;135097000;77415000;31270000;2015-03-31;15336000;13439
183963000;0;48000;50487000;114843000;13439;-4109000;"";260000;115291000;590000;21830000;15932000;183963000;41402000;14631000;133476000;73229000;25648000;2015-06-30;13981000;13439
177236000;0;44000;44356000;139774000;13439;-24593000;"";260000;113724000;605000;15300000;15932000;177236000;39722000;12584000;132880000;62055000;25760000;2015-09-30;12467000;13439
175352000;0;60000;36025000;141164000;13439;-52793000;"";273000;112040000;576000;15817000;24973000;175352000;33698000;11302000;139327000;86981000;17851000;2015-12-31;13141000;13439
172198000;0;36000;34070000;146916000;13439;-60091000;"";158000;110580000;801000;13107000;24973000;172198000;32060000;10232000;138128000;85373000;18755000;2016-03-31;11133000;13439
172929000;0;4000;34481000;152068000;13439;-63597000;"";153000;109299000;756000;11934000;26516000;172929000;27471000;8258000;138448000;84458000;20710000;2016-06-30;11538000;13439
