assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
14386000;0;1211000;1265000;41000;13447;12044000;"";0;0;0;0;0;14386000;0;0;13121000;2301000;0;2016-09-30;0;13447
19989000;0;2239000;2239000;661000;13447;15725000;"";0;0;0;0;0;19989000;0;0;17750000;3603000;0;2016-12-31;0;13447
18550000;0;1984000;1984000;398000;13447;14907000;"";0;0;0;0;0;18550000;0;0;16566000;3245000;0;2017-03-31;0;13447
19789000;0;1943000;1997000;6000;13447;16157000;"";0;0;0;0;0;19789000;0;0;17792000;3626000;0;2017-06-30;0;13447
24728000;0;1955000;2009000;8000;13447;19558000;"";0;0;0;0;0;24728000;0;0;22719000;5162000;0;2017-09-30;0;13447
25322000;0;2129000;2195000;134000;13447;19870000;"";0;0;0;0;0;25322000;0;0;23127000;5318000;0;2017-12-31;0;13447
43102000;0;2104000;2178000;178000;13447;31629000;"";0;0;0;0;0;43102000;0;0;40924000;11295000;0;2018-03-31;0;13447
57263000;0;2175000;2256000;10000;13447;41164000;"";0;0;0;0;0;57263000;0;0;55007000;16089000;0;2018-06-30;0;13447
61129000;0;90000;2345000;15000;13447;43736000;"";2097000;0;0;0;0;61129000;0;0;58784000;17378000;0;2018-09-30;0;13447
49031000;0;83000;2370000;96000;13447;35679000;"";2194000;0;0;0;0;49031000;0;0;46661000;13256000;0;2018-12-31;0;13447
59288000;0;31000;2350000;144000;13447;42419000;"";2221000;0;0;0;0;59288000;0;0;56938000;16725000;0;2019-03-31;0;13447
43004000;0;0;2677000;3000;13447;31922000;"";2575000;0;0;0;0;43004000;0;0;40327000;11079000;0;2019-06-30;0;13447
44005000;0;1000;2704000;1000;13447;32584000;"";2593000;0;0;0;0;44005000;0;0;41301000;11420000;0;2019-09-30;0;13447
51337000;0;1000;2719000;109000;13447;37315000;"";2605000;0;0;0;0;51337000;0;0;48618000;13913000;0;2019-12-31;0;13447
46544000;0;1000;2641000;148000;13447;34125000;"";2526000;0;0;0;0;46544000;0;0;43903000;12271000;0;2020-03-31;0;13447
47590000;0;12000;2471000;12000;13447;34909000;"";2349000;0;0;0;0;47590000;0;0;45119000;12669000;0;2020-06-30;0;13447
58233000;0;2000;2489000;10000;13447;41934000;"";2375000;0;0;0;0;58233000;0;0;55744000;16289000;0;2020-09-30;0;13447
74007000;0;23000;2507000;0;13447;52352000;"";2370000;0;0;0;0;74007000;0;0;71500000;21655000;0;2020-12-31;0;13447
85985000;0;1000;2467000;39000;13447;60232000;"";2350000;0;0;0;0;85985000;0;0;83518000;25714000;0;2021-03-31;0;13447
75465000;0;5000;2421000;18000;13447;53302000;"";2296000;0;0;0;0;75465000;0;0;73044000;22145000;0;2021-06-30;0;13447
69071000;0;1000;2440000;1000;13447;49093000;"";2313000;0;0;0;0;69071000;0;0;66631000;19977000;0;2021-09-30;0;13447
75889000;0;0;2474000;1000;13447;53593000;"";2341000;0;0;0;0;75889000;0;0;73415000;22295000;0;2021-12-31;0;13447
70722000;0;289000;3313000;22000;13447;50449000;"";2891000;0;0;0;0;70722000;0;0;67409000;20251000;0;2022-03-31;0;13447
64864000;0;10000;4070000;16000;13447;46841000;"";3893000;0;0;0;0;64864000;0;0;60794000;18007000;0;2022-06-30;0;13447
58701000;0;3000;4190000;38000;13447;42782000;"";3992000;0;0;0;0;58701000;0;0;54511000;15881000;0;2022-09-30;0;13447
