assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
63000;0;8000;56000;115937000;13471;-123191000;-128000;0;7000;0;0;0;63000;0;0;7000;7317000;0;2016-09-30;0;13471
32000;0;8000;25000;177555000;13471;-185104000;-195000;0;7000;0;0;0;32000;0;0;7000;7581000;0;2016-12-31;0;13471
49000;0;26000;42000;222998000;13471;-230821000;-246000;0;7000;0;0;0;49000;0;0;7000;7872000;0;2017-03-31;0;13471
60000;0;37000;53000;260161000;13471;-268265000;-286000;0;7000;0;0;0;60000;0;0;7000;8164000;0;2017-06-30;0;13471
23000;0;1000;16000;294978000;13471;-303372000;-325000;0;7000;0;0;0;23000;0;0;7000;8417000;0;2017-09-30;0;13471
34000;0;11000;27000;248382000;13471;-257051000;-273000;0;7000;0;0;0;34000;0;0;7000;8703000;0;2017-12-31;0;13471
25000;0;2000;18000;287517000;13471;-296482000;-317000;0;7000;0;0;0;25000;0;0;7000;8990000;0;2018-03-31;0;13471
23000;0;0;16000;323454000;13471;-332727000;-356000;0;7000;0;0;0;23000;0;0;7000;9296000;0;2018-06-30;0;13471
23000;0;1000;16000;388914000;13471;-398508000;-428000;0;7000;0;0;0;23000;0;0;7000;9617000;0;2018-09-30;0;13471
23000;0;0;16000;504405000;13471;-514305000;-556000;0;7000;0;0;0;23000;0;0;7000;9923000;0;2018-12-31;0;13471
51000;0;28000;44000;19000;13471;-123048000;0;0;7000;0;0;0;51000;0;0;7000;123080000;0;2019-03-31;0;13471
68000;0;44000;61000;28000;13471;-167991000;0;0;7000;0;0;0;68000;0;0;7000;168031000;0;2019-06-30;0;13471
72000;0;48000;65000;35000;13471;-192059000;0;0;7000;0;0;0;72000;0;0;7000;192096000;0;2019-09-30;0;13471
53000;0;29000;46000;35000;13471;-72203000;0;0;7000;0;0;0;53000;0;0;7000;72221000;0;2019-12-31;0;13471
26422000;0;26398000;26415000;30000;13471;-98887000;0;0;7000;0;0;0;26422000;0;0;7000;125279000;0;2020-03-31;0;13471
16707000;0;16683000;16700000;14000;13471;-136260000;0;0;7000;0;0;0;16707000;0;0;7000;152953000;0;2020-06-30;0;13471
17471000;0;17447000;17464000;23000;13471;-172283000;0;0;7000;0;0;0;17471000;0;0;7000;189731000;0;2020-09-30;0;13471
31468000;0;31444000;31461000;32000;13471;-189216000;0;0;7000;0;0;0;31468000;0;0;7000;220652000;0;2020-12-31;0;13471
32923000;0;32899000;32916000;32000;13471;-203424000;0;0;7000;0;0;0;32923000;0;0;7000;236315000;0;2021-03-31;0;13471
16926000;0;16902000;16919000;32000;13471;-225729000;0;0;7000;0;0;0;16926000;0;0;7000;242623000;0;2021-06-30;0;13471
11277000;0;11253000;11270000;32000;13471;-286400000;0;0;7000;0;0;0;11277000;0;0;7000;297645000;0;2021-09-30;0;13471
7408000;0;7384000;7401000;27000;13471;-311446000;0;0;7000;0;0;0;7408000;0;0;7000;318827000;0;2021-12-31;0;13471
4775000;0;4751000;4768000;85000;13471;-331557000;0;0;7000;0;0;0;4775000;0;0;7000;336247000;0;2022-03-31;0;13471
5374000;0;5350000;5367000;141000;13471;-348293000;0;0;7000;0;0;0;5374000;0;0;7000;353526000;0;2022-06-30;0;13471
8387000;0;8333000;8380000;183000;13471;-371809000;0;0;7000;0;0;0;8387000;0;0;7000;380013000;0;2022-09-30;0;13471
