assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
2224949000;0;92345000;244727000;78263000;13781;1333952000;2984000;121481000;513000;719000;0;1888563000;2224949000;60412000;797925000;1980222000;812734000;30901000;2016-09-30;0;13781
2220859000;0;50885000;262827000;96403000;13781;1323260000;3163000;181507000;480000;727000;0;1827472000;2220859000;62129000;786408000;1958032000;801196000;30435000;2016-12-31;0;13781
2204826000;0;52039000;238397000;88696000;13781;1329094000;3146000;154643000;587000;703000;0;1822867000;2204826000;63696000;772119000;1966429000;787036000;31715000;2017-03-31;0;13781
2188026000;0;53225000;203656000;73138000;13781;1343741000;3213000;119311000;590000;703000;0;1870423000;2188026000;65131000;756122000;1984370000;771147000;31120000;2017-06-30;0;13781
2178228000;0;54401000;179405000;78515000;13781;1345200000;3323000;93733000;577000;703000;0;1870316000;2178228000;66632000;739393000;1998823000;754513000;31271000;2017-09-30;0;13781
2294663000;0;56483000;387981000;103608000;13781;1402661000;3427000;234259000;554000;721000;0;1777077000;2294663000;66114000;773201000;1906682000;788394000;97239000;2017-12-31;0;13781
2279948000;0;56784000;446129000;90544000;13781;1418359000;3573000;341209000;570000;728000;0;1689007000;2279948000;68791000;755786000;1833819000;771045000;48136000;2018-03-31;0;13781
2202475000;0;58142000;308335000;66972000;13781;1414288000;3480000;222425000;583000;767000;0;1677425000;2202475000;59845000;705892000;1894140000;721215000;27768000;2018-06-30;0;13781
2191587000;0;58132000;285502000;72043000;13781;1407578000;3678000;198080000;546000;832000;0;1669731000;2191587000;62786000;696786000;1906085000;711966000;29290000;2018-09-30;0;13781
2184240000;0;4001000;277426000;75612000;13781;1400282000;3425000;244237000;580000;857000;0;1743997000;2184240000;58057000;693172000;1906814000;708346000;29188000;2018-12-31;0;13781
2174723000;0;694000;256487000;74241000;13781;1410776000;3392000;225749000;559000;868000;0;1715666000;2174723000;65574000;674536000;1918236000;689706000;30044000;2019-03-31;0;13781
2335020000;0;588000;282843000;68132000;13781;1468877000;8672000;251890000;518000;916000;0;1828756000;2335020000;60275000;785942000;2052177000;798011000;30365000;2019-06-30;0;13781
2443669000;0;706000;234143000;54241000;13781;1475842000;8804000;202754000;510000;942000;0;1916295000;2443669000;44652000;903722000;2209526000;913586000;30683000;2019-09-30;0;13781
2805638000;0;50897000;289833000;58715000;13781;1471033000;8906000;207946000;546000;1017000;0;2367321000;2805638000;36705000;1269060000;2515805000;1275890000;30990000;2019-12-31;0;13781
2912589000;0;283981000;341886000;158584000;13781;1488558000;8923000;26600000;589000;1013000;0;2413614000;2912589000;147993000;1258618000;2570703000;1265447000;31305000;2020-03-31;0;13781
3011643000;0;395725000;453449000;251907000;13781;1499309000;9157000;26574000;546000;1017000;0;2398867000;3011643000;243509000;1254214000;2558194000;1260427000;31150000;2020-06-30;0;13781
3063253000;0;517814000;586421000;255875000;13781;1550418000;8978000;26729000;640000;1029000;0;2363412000;3063253000;245520000;1250747000;2476832000;1256960000;41878000;2020-09-30;0;13781
2961277000;0;389022000;472199000;177468000;13781;1547000000;9035000;26764000;593000;1022000;0;2448092000;2961277000;146643000;1230596000;2489078000;1236809000;56413000;2020-12-31;0;13781
2863915000;0;188894000;302519000;109989000;13781;1558917000;9292000;68319000;719000;1002000;0;2481630000;2863915000;76464000;1188851000;2561396000;1195009000;45306000;2021-03-31;0;13781
2858407000;0;96146000;312024000;118416000;13781;1564766000;9738000;185204000;697000;1039000;0;2471533000;2858407000;105513000;1169066000;2546383000;1175225000;30674000;2021-06-30;0;13781
2864702000;0;99765000;323859000;152142000;13781;1569429000;15463000;195784000;671000;1092000;0;2475575000;2864702000;139753000;1138957000;2540843000;1143131000;28310000;2021-09-30;0;13781
2907774000;0;14994000;138516000;179859000;13781;1562354000;14389000;88490000;619000;1188000;0;2715275000;2907774000;149531000;1163843000;2769258000;1165561000;35032000;2021-12-31;0;13781
2909267000;0;524000;87415000;188466000;13781;1551381000;14150000;53255000;10010000;1228000;0;2744696000;2909267000;172721000;1167702000;2821852000;1169420000;33636000;2022-03-31;0;13781
2921270000;0;600000;113461000;187077000;13781;1524463000;12770000;83668000;9846000;1286000;0;2719800000;2921270000;176605000;1208012000;2807809000;1209730000;29193000;2022-06-30;0;13781
3169781000;0;50103000;324501000;186705000;13781;1503847000;11259000;243892000;9656000;1366000;0;2715629000;3169781000;171120000;1477511000;2845280000;1479229000;30506000;2022-09-30;0;13781
