assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
29424911000;0;1381598000;8084744000;2911889000;13986;11007165000;0;2055544000;15653738000;100767000;1084173000;299761000;29424911000;1578075000;6938973000;21340167000;15505857000;2630339000;2016-09-30;509239000;13986
28943932000;0;841056000;7716607000;3500671000;13986;10143494000;0;2021298000;15864199000;118505000;968234000;233083000;28943932000;1393446000;6756670000;21227325000;15299767000;3078423000;2016-12-31;549513000;13986
29139331000;0;479998000;7806511000;3034139000;13986;10601369000;0;3003657000;15794253000;113306000;929557000;341265000;29139331000;1180378000;6173230000;21332820000;15503823000;2621916000;2017-03-31;488471000;13986
28781415000;0;255855000;7140337000;3403252000;13986;10827492000;0;2570670000;15813099000;110449000;987852000;575709000;28781415000;1647176000;5176173000;21641078000;14550671000;2694961000;2017-06-30;552881000;13986
29179841000;0;1055455000;7399260000;3193706000;13986;11606074000;0;2355573000;15865745000;112074000;1078196000;624569000;29179841000;1310132000;4446212000;21780581000;14380061000;2199100000;2017-09-30;603484000;13986
28289835000;0;490701000;6069763000;3495535000;13986;11621554000;0;1579981000;15881105000;113334000;926358000;768003000;28289835000;1329753000;4111295000;22220072000;13172746000;2579919000;2017-12-31;581810000;13986
29669735000;0;723789000;6958568000;2846443000;13986;12457541000;8772000;1339977000;15807512000;107468000;986436000;1292192000;29669735000;1364441000;3995180000;22711167000;14365751000;3381506000;2018-03-31;565864000;13986
35126980000;0;2353258000;11729343000;3817423000;13986;10702919000;8534000;4343915000;16042910000;101715000;1116006000;1423284000;35126980000;1529247000;7912055000;23397637000;20606638000;3136952000;2018-06-30;607341000;13986
41227653000;0;382156000;17250233000;5424968000;13986;10632103000;15137000;11202730000;16467019000;104472000;1198812000;1444128000;41227653000;1679905000;9431576000;23977420000;25170582000;3490549000;2018-09-30;597010000;13986
53759134000;0;3253666000;29842197000;5760957000;13986;12012007000;13928000;20996555000;16458656000;105906000;1260459000;1445321000;53759134000;3152351000;9253742000;23916937000;35986170000;3470873000;2018-12-31;594168000;13986
67960063000;0;352340000;6783670000;8284382000;13986;20231137000;122215000;806981000;16480056000;109877000;1417072000;37653845000;67960063000;5366310000;10521786000;61176393000;39444544000;3308783000;2019-03-31;595259000;13986
104027355000;0;847648000;18530867000;12284393000;13986;20313134000;116346000;3510639000;38746529000;9905375000;2802692000;18865531000;104027355000;4190094000;18879784000;85496488000;71429828000;7686411000;2019-06-30;1571348000;13986
105353853000;0;1154065000;17692902000;13024109000;13986;16919691000;116568000;4705055000;38543628000;9663512000;2813825000;19125589000;105353853000;4752098000;18633628000;87660951000;75410053000;7004846000;2019-09-30;1412429000;13986
101964405000;0;824538000;16385321000;12226136000;13986;17972630000;115339000;5941348000;41164337000;17311934000;2224450000;11606627000;101964405000;4652321000;14666687000;85579084000;71765639000;5923811000;2019-12-31;1120964000;13986
111131393000;0;359944000;16266515000;17291376000;13986;4547766000;117111000;4775875000;40898123000;17074631000;2420254000;13547656000;111131393000;4943613000;14578709000;94864878000;89292251000;7536270000;2020-03-31;1374622000;13986
111206663000;0;495856000;16049612000;16559136000;13986;2491438000;119997000;1832272000;41218591000;16839414000;2497688000;12461118000;111206663000;3432840000;14813785000;95157051000;92156089000;8523866000;2020-06-30;1466705000;13986
110134156000;0;1429511000;13990972000;15233370000;13986;1334700000;121090000;2154476000;40779262000;16632521000;2620715000;13147000000;110134156000;2654103000;14653867000;96143184000;93566086000;6514681000;2020-09-30;1597864000;13986
106997504000;0;417001000;14370768000;14061447000;13986;7231822000;105556000;2066831000;40727789000;16484674000;2674031000;12440408000;106997504000;735537000;14149761000;92626736000;85704235000;7319975000;2020-12-31;1839187000;13986
111893478000;0;228593000;14825923000;15771580000;13986;4458143000;106198000;3926177000;40408438000;16246927000;2666973000;14896780000;111893478000;1154779000;12223231000;97067555000;91663755000;6524256000;2021-03-31;1789166000;13986
108878914000;0;340060000;14674214000;13838582000;13986;14488392000;99100000;2349267000;40062499000;16027649000;2923133000;16498083000;108878914000;1112019000;12211710000;94204700000;80551940000;6824929000;2021-06-30;2012822000;13986
122410281000;0;3717692000;21792645000;15370705000;13986;13518491000;100355000;3352703000;39954359000;15795865000;3127777000;20841584000;122410281000;1877956000;11476556000;100617636000;93521085000;10035110000;2021-09-30;2319688000;13986
122925562000;0;180729000;18117578000;12827003000;13986;15075467000;99663000;5039018000;40298692000;15575183000;3331770000;23986013000;122925562000;1874195000;11716596000;104807984000;95023092000;7884683000;2021-12-31;2628050000;13986
116348505000;0;183754000;15948466000;8897615000;13986;25282246000;99860000;4503217000;41400393000;15338185000;3452338000;23251076000;116348505000;1188609000;11977799000;100400039000;82168644000;4698904000;2022-03-31;2835032000;13986
125102194000;0;323464000;15960254000;13237142000;13986;24062007000;104681000;4286940000;42523290000;15103191000;3547577000;28641211000;125102194000;1750679000;11401572000;109141940000;87803045000;4389622000;2022-06-30;3177028000;13986
130803822000;0;1062112000;17784636000;20269530000;13986;27951653000;106548000;3431616000;49853039000;14866677000;3813258000;24419812000;130803822000;1608030000;10929374000;113019186000;82582639000;5922198000;2022-09-30;4567584000;13986
