assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
13640935000;"";"";5966309000;6948144000;14206;1204870000;"";"";"";"";"";"";13640935000;"";"";"";"";"";2016-09-30;"";14206
13356144000;"";"";5872356000;7407222000;14206;1174156000;"";"";"";"";"";"";13356144000;"";"";"";"";"";2016-12-31;"";14206
13575618000;"";"";6075997000;7417804000;14206;1190691000;"";"";"";"";"";"";13575618000;"";"";"";"";"";2017-03-31;"";14206
13421475000;"";"";5933854000;7163001000;14206;1208885000;"";"";"";"";"";"";13421475000;"";"";"";"";"";2017-06-30;"";14206
13780638000;"";"";6395445000;7248918000;14206;1256381000;"";"";"";"";"";"";13780638000;"";"";"";"";"";2017-09-30;"";14206
13853374000;"";"";6350649000;7058121000;14206;1270882000;"";"";"";"";"";"";13853374000;"";"";"";"";"";2017-12-31;"";14206
14330695000;"";"";5943104000;7315457000;14206;1346033000;"";"";"";"";"";"";14330695000;"";"";"";"";"";2018-03-31;"";14206
14603993000;"";"";6066193000;7309240000;14206;1385853000;"";"";"";"";"";"";14603993000;"";"";"";"";"";2018-06-30;"";14206
14891826000;"";"";6428268000;7603530000;14206;1439394000;"";"";"";"";"";"";14891826000;"";"";"";"";"";2018-09-30;"";14206
14977521000;"";"";5587631000;7780429000;14206;1365094000;"";"";"";"";"";"";14977521000;"";"";"";"";"";2018-12-31;"";14206
15211164000;"";"";5597814000;8023501000;14206;1430620000;"";"";"";"";"";"";15211164000;"";"";"";"";"";2019-03-31;"";14206
15894064000;"";"";5937303000;8460343000;14206;1499912000;"";"";"";"";"";"";15894064000;"";"";"";"";"";2019-06-30;"";14206
16011400000;"";"";5520661000;8399987000;14206;1544671000;"";"";"";"";"";"";16011400000;"";"";"";"";"";2019-09-30;"";14206
16589813000;"";"";5239596000;8365560000;14206;1737325000;172465000;"";"";"";"";"";16589813000;"";"";"";"";"";2019-12-31;"";14206
17554464000;"";"";5158229000;9464881000;14206;1759805000;"";"";"";"";"";"";17554464000;"";"";"";"";"";2020-03-31;"";14206
19243843000;"";"";5739385000;10301914000;14206;1860252000;"";"";"";"";"";"";19243843000;"";"";"";"";"";2020-06-30;"";14206
21415135000;"";"";"";"";14206;1950985000;"";"";"";"";"";"";21415135000;"";"";"";"";"";2020-09-30;"";14206
24786053000;"";"";"";"";14206;1977936000;173304000;"";"";"";"";"";24786053000;"";"";"";"";"";2020-12-31;"";14206
27723672000;"";"";"";"";14206;2066938000;"";"";"";"";"";"";27723672000;"";"";"";"";"";2021-03-31;"";14206
27043588000;"";"";"";"";14206;2149185000;"";"";"";"";"";"";27043588000;"";"";"";"";"";2021-06-30;"";14206
27977883000;"";"";"";"";14206;2283754000;"";"";"";"";"";"";27977883000;"";"";"";"";"";2021-09-30;"";14206
30464637000;"";"";"";"";14206;2601551000;0;"";"";"";"";"";30478659000;"";"";"";"";"";2021-12-31;"";14206
37424710000;"";"";"";"";14206;2403029000;"";"";"";"";"";"";37424710000;"";"";"";"";"";2022-03-31;"";14206
37444935000;"";"";"";"";14206;2434963000;"";"";"";"";"";"";37444935000;"";"";"";"";"";2022-06-30;"";14206
