assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
17458240000;0;10077000;518809000;825237000;14311;15284598000;324600000;310000;577000;3165000;0;14922537000;17458240000;812629000;1224636000;16939431000;1348405000;451483000;2016-09-30;2226000;14311
17174496000;0;46096000;698488000;1069839000;14311;14718098000;260044000;277000;630000;3168000;0;13965892000;17174496000;804436000;1228023000;16476008000;1386559000;610019000;2016-12-31;2225000;14311
17585294000;0;16820000;734883000;1068157000;14311;15134514000;255919000;220000;775000;3332000;0;14375275000;17585294000;805454000;1220711000;16850411000;1382623000;657982000;2017-03-31;98000;14311
17723659000;0;472480000;805423000;1097367000;14311;15048731000;266860000;219000;792000;3609000;0;14509869000;17723659000;787002000;1410033000;16918236000;1577561000;271569000;2017-06-30;3675000;14311
18107038000;0;404791000;844284000;976816000;14311;15459378000;258507000;221000;794000;3587000;0;14883806000;18107038000;664068000;1524212000;17262754000;1670844000;379232000;2017-09-30;4619000;14311
17955966000;0;56833000;998294000;1057679000;14311;15207842000;302661000;219000;830000;1603000;0;14987607000;17955966000;661433000;1540160000;16957672000;1690445000;926911000;2017-12-31;2096000;14311
18780569000;0;464512000;1515002000;1096928000;14311;15523944000;309963000;220000;880000;1687000;0;15399330000;18780569000;698707000;2031254000;17265567000;2159697000;1018240000;2018-03-31;2703000;14311
18832633000;0;134309000;1205013000;1439173000;14311;15871151000;309699000;221000;867000;1717000;0;15745038000;18832633000;1039733000;1367552000;17627620000;1522309000;1026153000;2018-06-30;2827000;14311
18971057000;0;36652000;906846000;1190146000;14311;16225940000;307066000;222000;899000;1621000;0;16169160000;18971057000;1053435000;1373131000;18064211000;1554971000;823138000;2018-09-30;2408000;14311
19142806000;0;315003000;1170320000;1435888000;14311;16032925000;303289000;123689000;996000;1593000;0;16070567000;19142806000;1071078000;1370387000;17972486000;1673993000;725137000;2018-12-31;2731000;14311
19530403000;0;262289000;1075152000;1816986000;14311;16530916000;307925000;81194000;983000;1285000;0;16578074000;19530403000;1453645000;876907000;18455251000;1182501000;726636000;2019-03-31;1665000;14311
19152460000;0;26276000;549277000;590810000;14311;16880244000;301447000;91000;1011000;1229000;0;16743438000;19152460000;528087000;1370616000;18603183000;1681406000;520527000;2019-06-30;2222000;14311
19685730000;0;61362000;523406000;699284000;14311;17451907000;341727000;90000;1159000;1163000;0;17337746000;19685730000;685355000;1221645000;19162324000;1534539000;460059000;2019-09-30;2332000;14311
20073123000;0;25304000;1018427000;958871000;14311;17252414000;345798000;90000;1143000;1321000;0;17286220000;20073123000;354636000;1543788000;19054696000;1861838000;987062000;2019-12-31;3956000;14311
20282926000;0;38921000;714437000;1047652000;14311;17764684000;344444000;90000;1100000;1236000;0;17802567000;20282926000;436527000;1148059000;19568489000;1470590000;667390000;2020-03-31;8461000;14311
21890437000;0;49799000;1070279000;1166196000;14311;19372774000;276985000;90000;1149000;1208000;0;19078319000;21890437000;559810000;1027237000;20820158000;1351467000;1010504000;2020-06-30;10628000;14311
22345561000;0;28861000;1516045000;1007884000;14311;20057389000;272037000;90000;1581000;1400000;0;19032220000;22345561000;688777000;905493000;20829516000;1280288000;757450000;2020-09-30;4228000;14311
23134792000;0;42700000;2433079000;2063949000;14311;19959111000;291407000;90000;2725000;2041000;0;18807102000;23134792000;814058000;765999000;20701713000;1111732000;1619226000;2020-12-31;3184000;14311
23615888000;0;128678000;2338843000;2753092000;14311;19237507000;300736000;90000;2787000;2237000;0;19442439000;23615888000;3770000;1292356000;21277045000;1625289000;1337889000;2021-03-31;5134000;14311
23077948000;0;14740000;1964861000;1734493000;14311;20171674000;329486000;90000;2879000;2620000;0;19339465000;23077948000;499773000;772538000;21113087000;1171781000;1056409000;2021-06-30;8363000;14311
25091529000;0;2603041000;3427993000;2661059000;14311;21564137000;352983000;91000;2906000;2885000;0;21141320000;25091529000;828465000;463831000;21663536000;866333000;719998000;2021-09-30;3236000;14311
23894503000;0;626052000;2195398000;1163814000;14311;21837024000;338211000;91000;4112000;3473000;0;21144478000;23894503000;822873000;468970000;21699105000;893665000;1564736000;2021-12-31;3353000;14311
24405176000;0;441957000;2127308000;1454304000;14311;22501365000;339772000;91000;4766000;3897000;0;21855587000;24405176000;1155211000;0;22277868000;449507000;1666783000;2022-03-31;5059000;14311
21715106000;0;488574000;1130404000;675660000;14311;20596167000;349562000;91000;4929000;4044000;0;20185876000;21715106000;640294000;0;20584702000;443279000;615691000;2022-06-30;9246000;14311
21442819000;0;122769000;549774000;36097000;14311;20969719000;360557000;91000;4725000;4702000;0;20484889000;21442819000;0;0;20893045000;437003000;414574000;2022-09-30;7523000;14311
