assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
25005327000;0;2165137000;7300322000;2547905000;14320;15645652000;355406000;0;10921012000;1579375000;3052250000;4110182000;25005327000;653988000;4961039000;17705005000;6811770000;1491475000;2009-12-31;724198000;14320
29345091000;0;1774220000;8151738000;3040109000;14320;17432599000;1596838000;0;12615069000;145854000;4165982000;7098606000;29345091000;875519000;6995538000;21193353000;8872383000;1332014000;2010-12-31;1143813000;14320
29587544000;0;1259989000;7986118000;3582293000;14320;17521187000;1637534000;234101000;12798977000;142041000;4065367000;7336228000;29587544000;1251551000;6645010000;21601426000;8484064000;1446790000;2011-03-31;1310919000;14320
29601309000;0;877185000;7772801000;3431656000;14320;17431173000;1677210000;202166000;13004018000;146267000;4422957000;7367575000;29601309000;1058823000;6955320000;21828508000;8738480000;1270251000;2011-06-30;1495248000;14320
30187986000;0;290156000;7096253000;3692396000;14320;17356088000;1728278000;235071000;13378829000;145657000;4671510000;7883522000;30187986000;1237819000;7449155000;23091733000;9139502000;910429000;2011-09-30;1604038000;14320
30238550000;0;363586000;6415996000;3405007000;14320;17283793000;1730412000;124396000;13786171000;142735000;4263673000;8100465000;30238550000;1104034000;7832780000;23822554000;9549750000;783520000;2011-12-31;1270212000;14320
30308696000;0;561943000;6201325000;4744926000;14320;17238362000;1764447000;0;14102028000;139563000;4040212000;8138017000;30308696000;1754038000;6713723000;24107371000;8325408000;860944000;2012-03-31;1558236000;14320
30768312000;0;646892000;6211362000;5135501000;14320;17008553000;1779661000;0;14099503000;143542000;3653497000;8279068000;30768312000;1783073000;7013167000;24556950000;8624258000;1188123000;2012-06-30;1802763000;14320
30380945000;0;466500000;5582382000;5154269000;14320;16842847000;1798061000;17466000;14044629000;149464000;3407475000;8452378000;30380945000;1975397000;6766402000;24798563000;8383829000;1106024000;2012-09-30;1816423000;14320
29667154000;0;1251103000;5829216000;4690077000;14320;16608429000;1904644000;9137000;13974626000;147663000;2985220000;7780318000;29667154000;1551357000;6563581000;23837938000;8368648000;949368000;2012-12-31;1833050000;14320
28993571000;0;854109000;5332657000;3521409000;14320;16546606000;1934451000;14158000;13793456000;145816000;2987846000;7870127000;28993571000;683794000;7118006000;23660914000;8925556000;919705000;2013-03-31;1728280000;14320
29294219000;0;1245047000;5675342000;4504226000;14320;16453057000;1960616000;17462000;13606707000;147631000;3001077000;7951981000;29294219000;1425616000;6557030000;23618877000;8336936000;895250000;2013-06-30;1810744000;14320
29075603000;0;459011000;5383677000;4400037000;14320;16600528000;2110030000;1126000;13351880000;147987000;3201057000;8289622000;29075603000;1200699000;6314735000;23691926000;8075038000;1200334000;2013-09-30;1883724000;14320
29327299000;0;713242000;5405502000;4471355000;14320;16711908000;2122037000;1536000;13372382000;161178000;3189142000;8225579000;29327299000;1273290000;6392718000;23921797000;8144036000;1142722000;2013-12-31;1831566000;14320
29074635000;0;200524000;5188887000;4385196000;14320;16867273000;2159226000;6568000;13345040000;161869000;3387040000;8250086000;29074635000;1333473000;6088797000;23885748000;7822166000;1230371000;2014-03-31;1722663000;14320
29158688000;0;430393000;5515477000;4479364000;14320;16966894000;2094603000;4313000;13349517000;161024000;3386309000;8018465000;29158688000;1509968000;5975796000;23643211000;7712430000;1254921000;2014-06-30;1769269000;14320
28965830000;0;445949000;4985820000;4389101000;14320;16938218000;2096268000;285000;13371990000;165004000;2982550000;8267374000;28965830000;1629972000;5926041000;23980010000;7638511000;1111997000;2014-09-30;1547940000;14320
28868053000;0;609367000;4858106000;4397432000;14320;16719664000;2041951000;305000;13447252000;165385000;2896272000;8178507000;28868053000;1656659000;5956973000;24009947000;7750957000;981366000;2014-12-31;1552122000;14320
29609010000;0;262256000;4961112000;4704035000;14320;16444558000;2045532000;16361000;13429853000;164811000;3212953000;8625276000;29609010000;1679416000;6590363000;24647898000;8460417000;1139613000;2015-03-31;1861569000;14320
28969443000;0;544006000;4943879000;4876908000;14320;15811445000;1866921000;292000;13373669000;174288000;3059737000;8036314000;28969443000;2247274000;6409053000;24025564000;8281090000;977810000;2015-06-30;1683240000;14320
28605915000;0;527459000;4641906000;4928856000;14320;14748434000;1854380000;301000;13245851000;176454000;2651014000;7716712000;28605915000;2512709000;7018052000;23964009000;8928625000;1068127000;2015-09-30;1439643000;14320
27006189000;0;319027000;4081775000;4971747000;14320;13408978000;1584879000;442000;12716177000;183741000;2264551000;6992230000;27006189000;2602746000;6662187000;22924414000;8625464000;1083199000;2015-12-31;1136524000;14320
25918141000;0;324955000;3546696000;5381260000;14320;13224987000;1586278000;1067000;12516767000;196818000;2030585000;6677861000;25918141000;3356846000;5469370000;22371445000;7311894000;822622000;2016-03-31;835303000;14320
25441038000;0;431771000;4185662000;5646793000;14320;13117292000;1592357000;822094000;12257982000;188137000;1882663000;5865744000;25441038000;3021734000;4921871000;21255376000;6676953000;788236000;2016-06-30;873532000;14320
