assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
6204404000;0;9724000;1072035000;816582000;14460;3852804000;252579000;1001976000;11306000;99065000;4495000;4423281000;6204404000;53126000;1459901000;5132369000;1535018000;47303000;2009-12-31;14781000;14460
6811649000;0;10925000;292211000;850612000;14460;4326480000;355457000;152024000;13120000;73057000;55425000;5893177000;6811649000;242747000;1626990000;6519438000;1634557000;66097000;2010-12-31;5911000;14460
6944852000;0;34880000;240417000;930663000;14460;4395026000;378784000;86308000;12887000;67687000;45218000;5992776000;6944852000;278553000;1613000000;6704435000;1619163000;50878000;2011-03-31;6870000;14460
7222689000;0;5586000;159092000;1332947000;14460;4482831000;362140000;29944000;12379000;66855000;47384000;6087181000;7222689000;543259000;1401997000;7063597000;1406911000;55503000;2011-06-30;6854000;14460
7443019000;0;34411000;272506000;1482313000;14460;4504168000;356181000;110110000;12289000;68382000;41007000;6098814000;7443019000;640758000;1450904000;7170513000;1456538000;67371000;2011-09-30;7211000;14460
7583511000;0;1990000;102812000;1395921000;14460;4544719000;378047000;59553000;19294000;66945000;135000;6305452000;7583511000;503481000;1634011000;7480699000;1642871000;20913000;2011-12-31;9567000;14460
7410289000;0;204416000;389297000;1431414000;14460;4669478000;354768000;149396000;18874000;64673000;287000;6299675000;7410289000;477701000;1304037000;7020992000;1309397000;18028000;2012-03-31;8043000;14460
7539695000;0;8905000;197032000;1180728000;14460;4826557000;343699000;160336000;17313000;63477000;389000;6401676000;7539695000;388151000;1525447000;7342663000;1532410000;11378000;2012-06-30;7117000;14460
7872427000;0;23871000;212039000;1098843000;14460;4983144000;375667000;160984000;16937000;63848000;388000;6800104000;7872427000;340876000;1782986000;7660388000;1790440000;12426000;2012-09-30;7979000;14460
8324365000;0;257489000;358051000;1277299000;14460;5062249000;566513000;59617000;15784000;64297000;387000;7138934000;8324365000;328737000;1977641000;7965983000;1984817000;21116000;2012-12-31;10716000;14460
8395647000;0;394847000;423732000;1165520000;14460;5246475000;950288000;0;14606000;62989000;639000;7158521000;8395647000;300433000;1975815000;7971915000;1983652000;11560000;2013-03-31;10621000;14460
8028263000;0;227485000;316530000;884189000;14460;5376670000;736486000;58812000;13807000;61857000;730000;6956125000;8028263000;332370000;1761764000;7711733000;1767404000;14010000;2013-06-30;1170000;14460
8123294000;0;244400000;299833000;978053000;14460;5554561000;767743000;18015000;12296000;71386000;582000;7062980000;8123294000;435405000;1574765000;7823461000;1590680000;21577000;2013-09-30;1364000;14460
7950007000;0;288718000;322728000;928728000;14460;5461622000;732426000;0;12257000;72355000;4617000;6679285000;7950007000;287250000;1552000000;7627279000;1559657000;4507000;2013-12-31;1039000;14460
8061933000;0;668554000;715876000;921115000;14460;5580385000;631772000;0;11358000;70228000;20430000;6270951000;8061933000;305554000;1552059000;7346057000;1560433000;7385000;2014-03-31;11198000;14460
7631528000;0;162201000;195628000;661999000;14460;5651696000;668627000;0;10509000;67782000;5096000;6122804000;7631528000;173981000;1315556000;7435900000;1317833000;2790000;2014-06-30;9878000;14460
7754422000;0;194689000;229606000;828991000;14460;5753468000;690581000;0;9665000;66947000;6201000;6175280000;7754422000;329525000;1165462000;7524816000;1171963000;3064000;2014-09-30;9881000;14460
7527367000;0;228255000;273701000;824181000;14460;5659091000;708754000;0;8946000;80293000;7470000;6185689000;7527367000;295978000;1035493000;7253666000;1044095000;13211000;2014-12-31;8833000;14460
7321759000;0;232244000;939358000;581247000;14460;5698877000;717727000;660619000;8161000;81437000;8003000;5785363000;7321759000;174942000;1035524000;6382401000;1041635000;2081000;2015-03-31;7070000;14460
7479420000;0;261670000;1152879000;587198000;14460;5794925000;839927000;836330000;7365000;86568000;9290000;5842216000;7479420000;256715000;1084684000;6326541000;1097297000;1845000;2015-06-30;6470000;14460
7633011000;0;335027000;1446729000;701614000;14460;5927716000;875051000;1032972000;6587000;93686000;10691000;5763755000;7633011000;372644000;989458000;6186282000;1003681000;5808000;2015-09-30;8660000;14460
7551230000;0;286585000;1247392000;759817000;14460;5887043000;791844000;890507000;6115000;92537000;11238000;5702882000;7551230000;310138000;891007000;6303838000;904370000;6723000;2015-12-31;4232000;14460
7494690000;0;305126000;1241291000;592771000;14460;5952499000;780584000;853104000;5403000;90656000;14139000;5606091000;7494690000;198004000;935707000;6253399000;949420000;10808000;2016-03-31;5068000;14460
7203687000;0;232908000;1003570000;402770000;14460;6000892000;758805000;694830000;7412000;88630000;14923000;5540925000;7203687000;170549000;784302000;6200117000;800025000;27466000;2016-06-30;9977000;14460
