assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
8615841000;0;29117000;2137425000;1300762000;15300;2166844000;"";1003520000;3417030000;2303000;64461000;88109000;8615841000;587603000;4043672000;6478416000;5148235000;366316000;2016-09-30;212628000;15300
9757028000;0;242437000;3060494000;1360568000;15300;2986615000;"";430098000;4324271000;2694000;53281000;87727000;9757028000;577204000;4334781000;6696534000;5409845000;229782000;2016-12-31;201871000;15300
9897002000;0;172041000;1030882000;1553695000;15300;3063284000;"";183156000;4367653000;2197000;46733000;82877000;9897002000;705908000;4295744000;8866120000;5280023000;201829000;2017-03-31;281855000;15300
12004038000;0;147801000;2686621000;1195800000;15300;3040304000;"";1895581000;4392606000;1699000;39653000;84071000;12004038000;430649000;6860022000;9317417000;7767934000;214165000;2017-06-30;227216000;15300
12124821000;0;163346000;2035575000;1333304000;15300;3222872000;"";1068231000;4435755000;1799000;35454000;83161000;12124821000;511086000;6717992000;10089246000;7568645000;596276000;2017-09-30;296587000;15300
11802012000;0;153368000;2419149000;1582209000;15300;3227655000;"";0;4657241000;1617000;34025000;82343000;11802012000;679970000;6239740000;9382863000;6992148000;200900000;2017-12-31;413795000;15300
11755170000;0;25090000;2360086000;1338921000;15300;3366308000;"";0;4696668000;1434000;33008000;82335000;11755170000;621609000;6440687000;9395084000;7049941000;182737000;2018-03-31;355831000;15300
12206091000;0;42100000;2053083000;1408844000;15300;3136006000;"";0;4720134000;2358000;27996000;80600000;12206091000;837479000;7094310000;10153008000;7661241000;194127000;2018-06-30;258630000;15300
12451019000;0;25593000;2193940000;1297154000;15300;3217501000;"";0;4786938000;2354000;30039000;83935000;12451019000;741515000;7368925000;10257079000;7936364000;219518000;2018-09-30;311182000;15300
12647609000;0;75996000;2810570000;1028363000;15300;3514574000;"";0;4768182000;2478000;21011000;85508000;12647609000;494125000;7514653000;9837039000;8104672000;253090000;2018-12-31;309859000;15300
12629464000;0;692729000;3290454000;1073174000;15300;3677890000;"";0;4221157000;2271000;24822000;80784000;12629464000;396918000;7109973000;9339010000;7878400000;285035000;2019-03-31;436681000;15300
12512536000;0;744193000;3130469000;920598000;15300;3474940000;"";0;4274663000;2070000;33949000;81318000;12512536000;309844000;7345349000;9382067000;8116998000;331315000;2019-06-30;374519000;15300
12980664000;0;842217000;3051080000;972530000;15300;3484768000;"";0;4316984000;2386000;25756000;87688000;12980664000;228055000;7787101000;9929584000;8523366000;325921000;2019-09-30;460105000;15300
12778704000;0;920972000;3460028000;959472000;15300;3779610000;"";0;4506850000;2180000;17009000;92529000;12778704000;483878000;7361569000;9318676000;8039622000;234485000;2019-12-31;190697000;15300
15539595000;0;1234323000;2478916000;1440676000;15300;3775281000;"";0;4705548000;2302000;22022000;89765000;15539595000;866024000;9702366000;13060679000;10323638000;378122000;2020-03-31;316284000;15300
16287805000;0;1301164000;2639108000;1706284000;15300;3497448000;"";0;4784798000;3810000;22685000;86717000;16287805000;1014677000;10515288000;13648697000;11084073000;404790000;2020-06-30;262306000;15300
17013347000;0;1810724000;3414859000;1952189000;15300;3821794000;"";0;4783001000;3524000;16664000;91198000;17013347000;917885000;10677709000;13598488000;11239364000;410855000;2020-09-30;625148000;15300
16061468000;0;2232565000;4191783000;1972341000;15300;3802947000;"";0;4835410000;3918000;17785000;91623000;16061468000;986875000;9702995000;11869685000;10286180000;364302000;2020-12-31;418174000;15300
12625177000;0;537981000;2288754000;2744058000;15300;4265484000;"";0;4953999000;3598000;17297000;91150000;12625177000;487041000;5196943000;10336423000;5615635000;572814000;2021-03-31;562410000;15300
10657842000;0;152258000;1891810000;1036791000;15300;4251111000;"";0;5014991000;8189000;19339000;91601000;10657842000;500379000;4802211000;8766032000;5369940000;351163000;2021-06-30;156673000;15300
10833465000;0;454903000;1753424000;1283879000;15300;4067596000;"";0;4988140000;10257000;16686000;97331000;10833465000;453857000;4928127000;9080041000;5481990000;396383000;2021-09-30;481616000;15300
9123394000;0;173625000;1468343000;1084042000;15300;4170094000;"";0;5013440000;10778000;19054000;97609000;9123394000;422941000;3416185000;7655051000;3869258000;166942000;2021-12-31;197003000;15300
9107384000;0;254250000;1691864000;1547416000;15300;4438206000;"";0;4988629000;21789000;18846000;103968000;9107384000;628622000;2696328000;7415520000;3121762000;302304000;2022-03-31;531030000;15300
8698792000;0;208895000;1360589000;1317440000;15300;4312941000;"";0;4962924000;22077000;25750000;110100000;8698792000;485166000;2657163000;7338203000;3068411000;233179000;2022-06-30;427898000;15300
8868231000;0;494507000;1552760000;1193611000;15300;4748987000;"";0;5018611000;20705000;18380000;118614000;8868231000;508244000;2537423000;7315471000;2925633000;243004000;2022-09-30;239788000;15300
