assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
2112552000;0;30177000;249710000;175942000;15369;-66875000;0;0;494621000;1239076000;63109000;0;2112552000;0;0;1862842000;2003485000;67002000;2009-12-31;35783000;15369
2285263000;0;30992000;224285000;243107000;15369;1711301000;0;0;474783000;1426682000;64623000;0;2285263000;0;0;2060978000;330855000;76924000;2010-12-31;51613000;15369
2320415000;0;15249000;214599000;266030000;15369;1654160000;0;0;453575000;1478535000;70331000;0;2320415000;0;0;2105816000;400225000;86363000;2011-03-31;53212000;15369
2417140000;0;33402000;238317000;320371000;15369;1615048000;0;0;458448000;1542049000;70785000;0;2417140000;0;0;2178823000;481721000;102007000;2011-06-30;82916000;15369
2519707000;0;53510000;271415000;299446000;15369;1565269000;0;0;459540000;1610736000;82010000;0;2519707000;0;0;2248292000;654992000;104763000;2011-09-30;60776000;15369
2672141000;0;50324000;310558000;228780000;15369;1536105000;0;0;470592000;1695364000;76063000;0;2672141000;0;0;2361583000;907256000;144075000;2011-12-31;41747000;15369
2736672000;0;28609000;292251000;214638000;15369;1458961000;0;0;468449000;1792179000;73434000;0;2736672000;0;0;2444421000;1063073000;137916000;2012-03-31;91238000;15369
2826704000;0;40773000;273919000;211873000;15369;1412015000;0;0;482696000;1888642000;76355000;0;2826704000;0;0;2552785000;1202816000;104735000;2012-06-30;73295000;15369
2966616000;0;16311000;264768000;255004000;15369;1363406000;0;0;564920000;1966213000;82360000;0;2966616000;0;0;2701848000;1348206000;111587000;2012-09-30;97108000;15369
3304103000;0;159817000;410234000;275627000;15369;1372955000;0;0;639537000;2068817000;60840000;0;3304103000;0;0;2893869000;1655521000;126379000;2012-12-31;94329000;15369
3492781000;0;14769000;415945000;424746000;15369;1266037000;0;0;783408000;2103105000;62327000;0;3492781000;0;0;3076836000;1801998000;272667000;2013-03-31;79825000;15369
3542417000;0;18655000;403075000;423981000;15369;1227565000;0;0;776973000;2167588000;57674000;0;3542417000;0;0;3139342000;1890871000;262940000;2013-06-30;97378000;15369
3681493000;0;9004000;454410000;324096000;15369;1228711000;0;0;787939000;2237983000;68140000;0;3681493000;0;0;3227083000;2128686000;299644000;2013-09-30;109031000;15369
4055177000;0;15619000;341221000;304804000;15369;1529173000;0;0;812588000;2324205000;63653000;0;4055177000;0;0;3713956000;2221200000;198628000;2013-12-31;114582000;15369
4253802000;0;18162000;491910000;383583000;15369;1497836000;0;0;829243000;2336657000;59434000;0;4253802000;0;0;3761892000;2372383000;322096000;2014-03-31;103887000;15369
4307313000;0;9693000;479684000;371137000;15369;1513723000;0;0;831213000;2388363000;57488000;0;4307313000;0;0;3827629000;2422453000;314080000;2014-06-30;125505000;15369
4345883000;0;54965000;499982000;314250000;15369;1529828000;0;0;758087000;2461355000;66907000;0;4345883000;0;0;3845901000;2501805000;268096000;2014-09-30;111769000;15369
4383432000;0;36103000;388960000;311948000;15369;1567147000;0;0;763415000;2509850000;56929000;0;4383432000;0;0;3994472000;2504337000;146204000;2014-12-31;130650000;15369
4640825000;0;29233000;567542000;368950000;15369;1563815000;0;0;804391000;2525965000;58339000;0;4640825000;0;0;4073283000;2708060000;326249000;2015-03-31;93799000;15369
4748491000;0;21052000;589904000;350239000;15369;1582944000;0;0;800475000;2604646000;60914000;0;4748491000;0;0;4158587000;2815308000;343162000;2015-06-30;111916000;15369
4791978000;0;38043000;606170000;328758000;15369;1608759000;0;0;799812000;2630502000;63029000;0;4791978000;0;0;4185808000;2854461000;330655000;2015-09-30;105671000;15369
4887010000;0;40203000;591759000;372656000;15369;1596301000;"";0;875587000;2605452000;55481000;0;4887010000;41246000;31671000;4295251000;2918053000;269369000;2015-12-31;127064000;15369
5040787000;0;19599000;608226000;527782000;15369;1564068000;"";0;876097000;2705255000;59815000;0;5040787000;40328000;22354000;4432561000;2948937000;270523000;2016-03-31;188585000;15369
5056236000;0;5633000;450238000;518008000;15369;1599845000;"";0;675579000;2994533000;62092000;0;5056236000;39671000;13224000;4605998000;2938383000;218069000;2016-06-30;174884000;15369
