assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
587000;0;0;577000;44000;15423;-8052000;"";0;0;0;0;10000;587000;0;0;10000;8595000;0;2016-09-30;0;15423
587000;0;0;577000;44000;15423;-8131000;0;0;0;0;0;10000;587000;0;0;10000;8674000;0;2016-12-31;0;15423
587000;0;0;577000;44000;15423;-8229000;"";0;0;0;0;10000;587000;0;0;10000;8772000;0;2017-03-31;0;15423
1836000;0;1826000;1826000;359000;15423;-7295000;0;0;0;0;0;10000;1836000;0;0;10000;8772000;0;2017-06-30;0;15423
3102000;0;1387000;1632000;220000;15423;-5890000;0;0;0;0;0;1470000;3102000;0;0;1470000;8772000;0;2017-09-30;0;15423
4950000;0;1514000;3719000;244000;15423;-4066000;0;0;0;0;0;990000;4950000;0;0;990000;8772000;0;2017-12-31;0;15423
6576000;0;0;1000;0;15423;-2616000;0;0;0;0;0;6575000;6576000;0;0;6575000;9192000;0;2018-03-31;0;15423
6576000;0;0;1000;0;15423;-1499000;0;0;0;0;0;6575000;6576000;0;0;6575000;8075000;0;2018-06-30;0;15423
9481000;0;0;1000;40000;15423;1366000;0;0;0;0;0;9480000;9481000;0;0;9480000;8075000;0;2018-09-30;0;15423
11145000;0;0;1000;22000;15423;3014000;0;0;0;0;0;11144000;11145000;0;0;11144000;8109000;0;2018-12-31;0;15423
12231000;0;0;1000;22000;15423;3987000;0;0;0;0;0;12230000;12231000;0;0;12230000;8222000;0;2019-03-31;0;15423
12787000;0;0;1000;22000;15423;4493000;0;0;0;0;0;12786000;12787000;0;0;12786000;8272000;0;2019-06-30;0;15423
12453000;0;0;1000;22000;15423;4356000;0;0;0;0;0;12452000;12453000;0;0;12452000;8075000;0;2019-09-30;0;15423
13259000;0;0;1000;57000;15423;5127000;0;0;0;0;0;13258000;13259000;0;0;13258000;8075000;0;2019-12-31;0;15423
16965000;0;0;1000;0;15423;8841000;0;0;0;0;0;16964000;16965000;0;0;16964000;8124000;0;2020-03-31;0;15423
20364000;0;0;1000;0;15423;12238000;0;0;0;0;0;20363000;20364000;0;0;20363000;8126000;0;2020-06-30;0;15423
24602000;0;0;1000;0;15423;16474000;0;0;0;0;0;24601000;24602000;0;0;24601000;8128000;0;2020-09-30;0;15423
25587000;0;0;6271000;2928000;15423;14529000;0;0;0;0;0;19316000;25587000;0;0;19316000;8130000;6270000;2020-12-31;0;15423
30032000;0;8000;6536000;6270000;15423;15501000;0;0;0;0;0;23496000;30032000;0;0;23496000;8261000;6527000;2021-03-31;0;15423
26022000;0;2000;210000;8000;15423;17763000;0;0;0;0;0;25812000;26022000;0;0;25812000;8251000;207000;2021-06-30;0;15423
26115000;0;2000;210000;8000;15423;17865000;0;0;0;0;0;25905000;26115000;0;0;25905000;8242000;207000;2021-09-30;0;15423
25498000;0;1000;1494000;1486000;15423;15816000;0;0;0;0;0;24004000;25498000;0;0;24004000;8196000;1492000;2021-12-31;0;15423
34139000;0;0;1493000;1486000;15423;24467000;0;0;0;0;0;32646000;34139000;0;0;32646000;8186000;1492000;2022-03-31;0;15423
33850000;0;0;53000;46000;15423;25629000;0;0;0;0;0;33797000;33850000;0;0;33797000;8175000;52000;2022-06-30;0;15423
34989000;0;0;53000;46000;15423;26777000;0;0;0;0;0;34936000;34989000;0;0;34936000;8166000;52000;2022-09-30;0;15423
