assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
18901403000;401804000;223434000;4165558000;3009300000;16292;12990938000;4721000;619895000;2891185000;1531933000;919798000;9106983000;18901403000;1024280000;1964978000;14735845000;2901165000;1490718000;2009-12-31;976430000;16292
18892303000;434212000;211159000;4093850000;3305635000;16292;13628967000;7551000;622130000;3134634000;1589288000;879841000;8674306000;18892303000;913517000;1314878000;14798453000;1957701000;1116458000;2010-12-31;1098375000;16292
19246231000;459497000;130699000;4153244000;3323717000;16292;14012917000;10650000;679088000;3175006000;1600216000;971105000;8984916000;19246231000;993220000;1302056000;15092987000;1909597000;1064724000;2011-03-31;1049476000;16292
20443851000;558515000;93887000;4959467000;3754568000;16292;14206482000;11308000;1170493000;3254673000;1613774000;955472000;9226143000;20443851000;1272377000;1344530000;15484384000;2482801000;1104996000;2011-06-30;1037394000;16292
21374411000;597634000;94006000;4929179000;4780815000;16292;14174205000;-1373000;857384000;3348566000;1627466000;1170316000;9718454000;21374411000;1592650000;1144133000;16445232000;2419391000;1253675000;2011-09-30;1066734000;16292
22055908000;554483000;68755000;4733378000;5064892000;16292;14070340000;39577000;763535000;3562727000;1658068000;1166150000;10133423000;22055908000;1445779000;1597342000;17322530000;2920676000;1452610000;2011-12-31;1270696000;16292
21852985000;561728000;82003000;4478596000;4695740000;16292;14322829000;43056000;308325000;3732428000;1653539000;1278168000;10153328000;21852985000;1624685000;1467360000;17374389000;2834416000;1319392000;2012-03-31;1295973000;16292
24555415000;648369000;1182766000;6236364000;5554253000;16292;14018987000;51177000;224851000;3682609000;1642718000;1184818000;10672053000;24555415000;1356954000;3026550000;18319051000;4982175000;1883286000;2012-06-30;1344932000;16292
24342972000;730544000;394259000;5517640000;5552993000;16292;14159312000;44592000;215282000;3795970000;1653131000;1408900000;10875938000;24342972000;1044039000;3086952000;18825332000;4630667000;1626616000;2012-09-30;1532714000;16292
30580753000;1358115000;907919000;9352151000;8575314000;16292;14538528000;37512000;269033000;10250576000;4096664000;2490329000;3171703000;30580753000;2111007000;4593942000;21228602000;7466911000;3029069000;2012-12-31;3135464000;16292
30523297000;1306539000;406329000;9091259000;8697852000;16292;14983458000;34068000;205076000;10486366000;4089249000;2639202000;3171693000;30523297000;2253941000;4162502000;21432038000;6841987000;3221376000;2013-03-31;2907177000;16292
31202645000;1268511000;587898000;9601913000;8686558000;16292;14546091000;35037000;199807000;10514134000;4087224000;2600056000;3158036000;31202645000;2177268000;5203350000;21600732000;7969996000;3425027000;2013-06-30;2926981000;16292
31104932000;1284058000;649534000;9553269000;8434700000;16292;14822624000;41623000;192785000;10574064000;4079283000;3075975000;3178463000;31104932000;2302051000;5104387000;21551663000;7847608000;2785300000;2013-09-30;3172956000;16292
31652197000;1198361000;905176000;10570290000;9395238000;16292;14655071000;41083000;178720000;10338897000;4084139000;2462818000;3204866000;31652197000;2469634000;5205667000;21081907000;7601888000;4069167000;2013-12-31;3378029000;16292
31336175000;1196362000;746608000;10295271000;8820400000;16292;15121535000;42482000;271040000;10301214000;4075996000;2403158000;3360489000;31336175000;2530724000;4993312000;21040904000;7394240000;3841214000;2014-03-31;3489317000;16292
33559348000;1185339000;2541106000;12762662000;9536436000;16292;15092785000;43122000;260423000;10231442000;4086378000;2455098000;3118875000;33559348000;2556080000;6454740000;20796686000;8930127000;4553760000;2014-06-30;3809878000;16292
33038689000;1112289000;1122173000;11913956000;8155081000;16292;15339760000;32789000;275980000;10151483000;4086287000;2746999000;3519576000;33038689000;2349401000;6958460000;21124733000;9543848000;5010498000;2014-09-30;3707417000;16292
34498283000;1122350000;1979357000;13853499000;8783209000;16292;15590477000;99466000;283623000;9424609000;3445090000;2204822000;3999729000;34498283000;2601022000;7429599000;20644784000;10124597000;4833222000;2014-12-31;3591980000;16292
34741551000;1192291000;978537000;12802607000;8449963000;16292;14807390000;117244000;308404000;9390166000;3460205000;2409111000;5119672000;34741551000;2166300000;8617658000;21938944000;11484198000;4148268000;2015-03-31;3942677000;16292
34121518000;1236058000;872793000;12230511000;8530615000;16292;14528411000;268844000;213854000;9566067000;3460605000;2443142000;5322248000;34121518000;1886657000;8140132000;21891007000;11062492000;3846056000;2015-06-30;4273843000;16292
37657821000;1261419000;1447338000;12914233000;9486135000;16292;13906096000;326949000;191387000;9819514000;3452345000;2870977000;7172947000;37657821000;1986696000;11192723000;24743588000;14265590000;5549045000;2015-09-30;4821619000;16292
38019602000;1322317000;845085000;12212817000;10350198000;16292;13516777000;319076000;197807000;10100986000;3451557000;2703330000;7210114000;38019602000;2525646000;11054455000;25806785000;14152627000;5230261000;2015-12-31;5199319000;16292
39287206000;1482719000;1905405000;13919853000;10351893000;16292;13479483000;364886000;402885000;10266665000;3470175000;2784975000;6634277000;39287206000;3297501000;12404163000;25367353000;15455830000;5089071000;2016-03-31;4886759000;16292
39952393000;1617440000;1927035000;15380530000;12015357000;16292;12558716000;302536000;297884000;10571346000;3472466000;3051837000;5358665000;39952393000;3069834000;12380085000;24571863000;15378320000;6107643000;2016-06-30;5215739000;16292
