assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
3380769000;0;443201000;1512573000;542602000;16306;1875646000;0;383742000;5838000;4446000;165376000;1071485000;3380769000;305126000;566887000;1868196000;962521000;468571000;2009-12-31;13008000;16306
4583865000;0;194289000;954060000;668452000;16306;1983704000;0;20717000;13591000;6928000;157745000;1635498000;4583865000;313414000;1167437000;3629805000;1931709000;462902000;2010-12-31;7350000;16306
4968702000;0;96302000;781620000;674877000;16306;2011729000;0;0;18197000;7910000;130369000;1777728000;4968702000;266541000;1169802000;4187082000;2282096000;420076000;2011-03-31;7615000;16306
6136712000;0;560924000;1347006000;716632000;16306;2044375000;0;0;25244000;9942000;217714000;2021484000;6136712000;359124000;1936667000;4789706000;3375705000;392495000;2011-06-30;12126000;16306
6066774000;0;493638000;1296062000;816753000;16306;2078972000;0;9327000;27310000;10411000;219870000;2171226000;6066774000;443184000;1955000000;4770712000;3171049000;317122000;2011-09-30;9133000;16306
5987185000;0;382968000;1222770000;841656000;16306;1984702000;0;256629000;29190000;13096000;172910000;2426326000;5987185000;341080000;1868333000;4764415000;3160827000;287911000;2011-12-31;9786000;16306
6178596000;0;420011000;1234451000;978199000;16306;2041455000;0;183740000;30719000;16630000;185553000;2527242000;6178596000;434135000;1900158000;4944145000;3158942000;223694000;2012-03-31;6713000;16306
6535893000;0;499054000;1443661000;1235803000;16306;2069681000;0;169457000;30304000;23327000;191131000;2722374000;6535893000;659304000;1907089000;5092232000;3230409000;237220000;2012-06-30;8460000;16306
6511339000;0;289351000;1181803000;1210581000;16306;2083642000;0;172501000;29353000;27559000;114484000;2840026000;6511339000;691046000;1725062000;5329536000;3217116000;225078000;2012-09-30;7131000;16306
6742740000;0;351820000;1470464000;2185154000;16306;2298112000;94131000;460065000;28262000;31259000;129170000;2772210000;6742740000;1171955000;1358927000;5272276000;2259474000;194750000;2012-12-31;30625000;16306
6758804000;0;120072000;1022919000;1796795000;16306;2328911000;70833000;140907000;28337000;34143000;93442000;2945937000;6758804000;701307000;1759299000;5735885000;2633098000;205751000;2013-03-31;9513000;16306
6913496000;0;260319000;1224972000;2476529000;16306;2379203000;73402000;111006000;29946000;37652000;101874000;3160675000;6913496000;1095406000;1170367000;5688524000;2057764000;184413000;2013-06-30;7287000;16306
7077257000;0;128323000;1171070000;2667409000;16306;2386747000;73717000;116524000;29077000;43000000;117947000;3472917000;7077257000;1054626000;1065661000;5906187000;2023101000;164675000;2013-09-30;11991000;16306
7430550000;0;123469000;1193055000;3227066000;16306;2392918000;71852000;93729000;28133000;46967000;12903000;3832783000;7430550000;1181181000;825592000;6237495000;1810566000;205227000;2013-12-31;20940000;16306
7792900000;0;326661000;1376244000;3131555000;16306;2403327000;76739000;25962000;26854000;52866000;20931000;3989651000;7792900000;742956000;1254968000;6416656000;2258018000;168693000;2014-03-31;19797000;16306
7796855000;0;226365000;1416002000;3430820000;16306;2394108000;73228000;53814000;25884000;55766000;17379000;4149532000;7796855000;805723000;948895000;6380853000;1971927000;126700000;2014-06-30;16940000;16306
7555786000;0;18669000;1067031000;3524385000;16306;2131892000;71877000;18780000;24923000;59866000;21057000;4171341000;7555786000;830657000;785506000;6488755000;1899509000;157949000;2014-09-30;10216000;16306
7436939000;0;20429000;330006000;3654751000;16306;1772867000;68902000;3094000;21422000;61345000;26038000;4198730000;7436939000;636479000;803596000;7106933000;2009321000;125544000;2014-12-31;8449000;16306
7545746000;0;11249000;320239000;4047270000;16306;1646384000;70061000;16330000;20551000;64199000;21044000;4238094000;7545746000;735298000;582641000;7225507000;1852092000;108336000;2015-03-31;3893000;16306
7774136000;0;18281000;336441000;4232239000;16306;1571916000;68655000;15060000;19669000;34492000;14412000;4470995000;7774136000;615344000;650979000;7437695000;1969981000;111825000;2015-06-30;2137000;16306
8019684000;0;6419000;361264000;4790345000;16306;1402433000;65807000;36579000;18809000;31813000;14818000;4568362000;8019684000;698679000;507304000;7658420000;1826906000;97035000;2015-09-30;2049000;16306
7252899000;0;13627000;324739000;4256631000;16306;1226071000;42724000;27703000;17871000;29613000;12083000;4061831000;7252899000;1044969000;129310000;6928160000;1770197000;98151000;2015-12-31;6056000;16306
7230295000;0;24947000;316155000;3919246000;16306;1085830000;38145000;13510000;16915000;72310000;12084000;4061188000;7230295000;752792000;443410000;6914140000;2225219000;94398000;2016-03-31;4029000;16306
7147246000;0;18803000;368392000;3458761000;16306;961115000;45518000;4173000;15990000;68894000;66866000;4030610000;7147246000;282744000;920337000;6778854000;2727370000;100449000;2016-06-30;9484000;16306
