assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
11814000;0;5625000;6182000;55000;16438;11759000;"";0;0;0;0;5632000;11814000;0;0;5632000;0;0;2016-09-30;9000;16438
11844000;0;5661000;6216000;6000;16438;11838000;"";0;0;0;0;5628000;11844000;0;0;5628000;0;0;2016-12-31;0;16438
11898000;0;5752000;6306000;44000;16438;11854000;"";0;0;0;0;5592000;11898000;0;0;5592000;0;0;2017-03-31;30000;16438
11876000;0;5728000;6333000;40000;16438;11836000;"";0;0;0;0;5543000;11876000;0;0;5543000;0;0;2017-06-30;20000;16438
11908000;0;5955000;6020000;40000;16438;11868000;"";0;0;0;0;5520000;11908000;0;0;5888000;0;0;2017-09-30;9000;16438
11886000;0;6045000;6120000;32000;16438;11854000;"";0;0;0;0;5501000;11886000;0;0;5766000;0;0;2017-12-31;30000;16438
11795000;0;6092000;6169000;3000;16438;11787000;"";0;0;0;0;5451000;11795000;0;0;5626000;5000;0;2018-03-31;0;16438
11696000;0;5987000;6093000;3000;16438;11676000;"";0;0;0;0;5432000;11696000;0;0;5603000;17000;0;2018-06-30;0;16438
11703000;0;6013000;6120000;8000;16438;11666000;"";0;0;0;0;5415000;11703000;0;0;5583000;29000;0;2018-09-30;5000;16438
11002000;0;5347000;5483000;6000;16438;10956000;0;0;0;0;0;5396000;11002000;0;0;5519000;41000;0;2018-12-31;0;16438
10922000;0;3917000;4058000;3000;16438;10861000;"";0;0;0;0;6747000;10922000;0;0;6864000;58000;0;2019-03-31;0;16438
9983000;0;2186000;2348000;3000;16438;9980000;3808000;0;0;0;0;7525000;9983000;0;0;7635000;0;0;2019-06-30;0;16438
8962000;0;2154000;2318000;2000;16438;8960000;3120000;0;0;0;0;6538000;8962000;0;0;6644000;0;0;2019-09-30;0;16438
8358000;0;1555000;1730000;29000;16438;8329000;3135000;0;0;0;0;6544000;8358000;0;0;6628000;0;0;2019-12-31;29000;16438
8310000;0;1446000;1623000;2000;16438;8308000;3190000;0;0;0;0;6632000;8310000;0;0;6687000;0;0;2020-03-31;0;16438
8015000;0;1156000;1337000;27000;16438;7988000;3191000;0;0;0;0;6633000;8015000;0;0;6678000;0;0;2020-06-30;21000;16438
7866000;0;1047000;1229000;47000;16438;7819000;3172000;0;0;0;0;6602000;7866000;0;0;6637000;0;0;2020-09-30;45000;16438
7741000;0;1002000;1039000;3000;16438;7738000;3152000;0;0;0;0;6556000;7741000;0;0;6702000;0;0;2020-12-31;2000;16438
7672000;0;994000;999000;4000;16438;7668000;3149000;0;0;0;0;4793000;7672000;0;0;6673000;0;0;2021-03-31;2000;16438
7379000;0;727000;817000;61000;16438;7318000;3093000;0;0;0;0;4710000;7379000;0;0;6562000;0;79000;2021-06-30;58000;16438
7351000;0;664000;754000;35000;16438;7316000;3112000;0;0;0;0;4737000;7351000;0;0;6597000;0;79000;2021-09-30;32000;16438
7332000;0;604000;620000;38000;16438;7294000;3129000;0;0;0;0;4762000;7332000;0;0;6712000;0;0;2021-12-31;35000;16438
7307000;0;506000;523000;34000;16438;7273000;3156000;0;0;0;0;4813000;7307000;0;0;6784000;0;0;2022-03-31;32000;16438
7201000;0;15000;368000;28000;16438;7173000;3184000;332000;0;0;0;4847000;7201000;0;0;6833000;0;0;2022-06-30;19000;16438
7224000;0;274000;296000;21000;16438;7203000;3231000;0;0;0;0;4919000;7224000;0;0;6928000;0;0;2022-09-30;18000;16438
