assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
2429211000;0;357467000;782128000;458904000;16608;709213000;"";0;0;1239266000;5520000;221000;2429211000;148327000;1068939000;1647083000;1261094000;373664000;2009-12-31;166755000;16608
2781505000;0;456836000;1028329000;578579000;16608;908053000;"";0;0;1369214000;5509000;221000;2807608000;194175000;1063717000;1779279000;1297583000;494379000;2010-12-31;168258000;16608
2773255000;0;418249000;1009990000;573920000;16608;960777000;"";0;0;1394800000;5556000;221000;2773255000;201393000;1001140000;1763265000;1238558000;424579000;2011-03-31;139294000;16608
2613606000;0;273383000;848928000;549476000;16608;884510000;"";0;0;1437262000;5085000;221000;2613606000;226421000;986060000;1764678000;1179620000;426489000;2011-06-30;171928000;16608
2800996000;0;189483000;804140000;578207000;16608;962593000;"";0;0;1535830000;5957000;221000;2800996000;231168000;946064000;1996856000;1260196000;457938000;2011-09-30;172291000;16608
2965340000;0;234141000;999353000;690979000;16608;964137000;"";190322000;0;1558250000;6101000;221000;2965340000;275831000;1088452000;1965987000;1310224000;516529000;2011-12-31;186188000;16608
2930071000;0;256376000;884087000;831437000;16608;996170000;"";0;0;1400822000;7828000;221000;2930071000;382075000;889261000;2045984000;1102464000;557728000;2012-03-31;185810000;16608
3309628000;0;518517000;1176897000;898795000;16608;1062398000;"";0;0;1470533000;13578000;221000;3309628000;401647000;1136814000;2132731000;1348435000;579079000;2012-06-30;215584000;16608
3390881000;0;477984000;1149405000;934427000;16608;1152511000;"";0;0;1521852000;15228000;221000;3390881000;396259000;1080857000;2241476000;1303943000;602245000;2012-09-30;247113000;16608
3610523000;0;59086000;1154663000;949673000;16608;1226364000;"";423551000;0;1530606000;16477000;221000;3610523000;418212000;1193429000;2455860000;1434486000;601534000;2012-12-31;254565000;16608
3404572000;0;37383000;914845000;749191000;16608;1244579000;"";190156000;0;1473190000;15867000;221000;3404572000;212553000;1167501000;2489727000;1410802000;617093000;2013-03-31;276722000;16608
3619705000;0;54664000;1084988000;681726000;16608;1324146000;"";409293000;0;1502387000;14265000;221000;3619705000;185698000;1383119000;2534717000;1613833000;557209000;2013-06-30;201439000;16608
3488054000;0;92747000;1162194000;599293000;16608;1380983000;"";492422000;0;1642423000;13658000;221000;3488054000;170298000;1397048000;2325860000;1507778000;512082000;2013-09-30;164211000;16608
3615568000;0;204702000;1292445000;591107000;16608;1381058000;"";526986000;0;1595930000;10314000;221000;3615568000;164525000;1526802000;2323123000;1643403000;493738000;2013-12-31;181620000;16608
3679457000;0;233851000;1322180000;665102000;16608;1410731000;"";442837000;0;1611393000;9263000;221000;3679457000;179688000;1494385000;2357277000;1603624000;585532000;2014-03-31;259809000;16608
3638413000;0;284606000;1231088000;920512000;16608;1389876000;"";345200000;0;1660254000;8252000;221000;3638413000;446597000;1219024000;2407325000;1328025000;526710000;2014-06-30;254869000;16608
3787630000;0;190299000;1315965000;1058243000;16608;1491899000;"";398436000;0;1770055000;7088000;221000;3787630000;515045000;1126122000;2471665000;1237488000;670980000;2014-09-30;303627000;16608
4529736000;0;161334000;1884611000;871940000;16608;1653551000;"";907948000;0;1708395000;4209000;0;4529736000;257140000;1867569000;2645125000;2004245000;757069000;2014-12-31;291198000;16608
4591371000;0;164778000;1884183000;844606000;16608;1712470000;"";898267000;0;1727143000;4455000;0;4591371000;263205000;1878057000;2707188000;2034295000;763533000;2015-03-31;271464000;16608
4718018000;0;223783000;2011252000;852582000;16608;1794843000;"";932583000;0;1739441000;4193000;0;4718018000;273774000;1910024000;2706766000;2070593000;791227000;2015-06-30;264917000;16608
4966240000;0;278640000;2217892000;887223000;16608;1893482000;"";1061289000;0;1736975000;3857000;0;4966240000;288988000;2001899000;2748348000;2185535000;812475000;2015-09-30;268182000;16608
5119339000;0;310893000;2274153000;965709000;16608;1948274000;"";1094340000;0;1758723000;3895000;0;5119339000;253910000;1997641000;2845186000;2205356000;771334000;2015-12-31;350552000;16608
5125680000;0;306671000;2158061000;945812000;16608;2024250000;"";966842000;0;1862575000;4244000;0;5125680000;270896000;1938166000;2967619000;2155618000;783788000;2016-03-31;306671000;16608
5169178000;0;321974000;2092702000;934304000;16608;2039655000;"";896607000;0;1960435000;10414000;0;5169178000;237780000;1909860000;3076476000;2195219000;754721000;2016-06-30;246266000;16608
