assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
1866256000;0;50175000;311970000;582638000;16616;618332000;"";4828000;0;1131378000;1273000;380000;1866256000;218730000;486385000;1554286000;665286000;248846000;2009-12-31;194346000;16616
2012553000;0;95483000;420579000;700929000;16616;750563000;"";2060000;0;1142937000;1289000;380000;2012553000;317210000;355437000;1591974000;561061000;308088000;2010-12-31;250087000;16616
1922497000;0;54932000;351189000;580603000;16616;789196000;"";2078000;0;1142652000;1633000;380000;1922497000;298878000;337494000;1571308000;552698000;281748000;2011-03-31;194695000;16616
1968532000;0;99143000;403982000;685336000;16616;793867000;"";2142000;0;1149040000;1676000;380000;1968532000;321574000;296220000;1564550000;489329000;289400000;2011-06-30;192430000;16616
1942039000;0;60763000;374822000;580409000;16616;870639000;"";0;0;1166962000;1920000;380000;1942039000;271499000;293261000;1567217000;490991000;296062000;2011-09-30;177877000;16616
1928016000;0;48807000;348663000;576952000;16616;867918000;"";0;0;1195635000;1581000;380000;1928016000;213374000;282681000;1579353000;483146000;286167000;2011-12-31;198799000;16616
1955528000;0;59633000;380449000;537401000;16616;917979000;"";0;0;1205251000;1938000;380000;1955528000;200255000;294163000;1575079000;500148000;303386000;2012-03-31;216302000;16616
2046615000;0;126893000;472487000;643968000;16616;812085000;"";0;0;1225261000;1741000;380000;2046615000;103694000;368858000;1574128000;590562000;330336000;2012-06-30;224810000;16616
2008212000;0;46046000;436110000;585234000;16616;896030000;"";0;0;1244989000;1690000;380000;2008212000;243051000;302096000;1572102000;526948000;374362000;2012-09-30;243249000;16616
2057090000;0;31865000;420776000;627190000;16616;885984000;"";0;0;1288640000;1763000;380000;2057090000;173939000;287572000;1636314000;543916000;379245000;2012-12-31;266131000;16616
2075317000;0;55819000;431773000;567025000;16616;957218000;"";0;0;1306115000;2379000;380000;2075317000;171484000;291992000;1643544000;551074000;364870000;2013-03-31;256708000;16616
2201499000;0;121559000;537036000;878707000;16616;828587000;"";0;0;1332722000;2350000;380000;2201499000;226671000;226574000;1664463000;494205000;404337000;2013-06-30;281003000;16616
2188906000;0;122947000;507421000;653386000;16616;922580000;"";0;0;1359317000;1773000;380000;2188906000;149383000;340021000;1681485000;612940000;363817000;2013-09-30;230196000;16616
2146314000;0;56791000;441164000;627543000;16616;951724000;"";0;0;1394868000;1254000;380000;2146314000;154361000;324333000;1705150000;567047000;364526000;2013-12-31;247807000;16616
2148004000;0;14431000;422613000;591435000;16616;1009773000;"";0;0;1412906000;1853000;380000;2148004000;155089000;308721000;1725391000;546796000;386095000;2014-03-31;286864000;16616
2355999000;0;215398000;623321000;783167000;16616;842964000;"";0;0;1433176000;2179000;380000;2355999000;106612000;498576000;1732678000;729868000;386508000;2014-06-30;254527000;16616
2320044000;0;71769000;542652000;695809000;16616;928704000;"";0;0;1478738000;1759000;380000;2320044000;122100000;467326000;1777392000;695531000;442436000;2014-09-30;297895000;16616
2515969000;0;50136000;537970000;714083000;16616;943805000;"";0;0;1705918000;1682000;380000;2515969000;129804000;604484000;1977999000;858081000;464083000;2014-12-31;381395000;16616
2518438000;0;48569000;533520000;671002000;16616;1003438000;"";0;0;1729490000;1598000;380000;2518438000;162042000;598199000;1984918000;843998000;452902000;2015-03-31;357970000;16616
2530225000;0;30651000;505732000;760038000;16616;989841000;"";15219000;0;1772772000;1884000;380000;2530225000;190214000;543608000;2024493000;780346000;424431000;2015-06-30;328901000;16616
2635866000;0;66565000;579152000;794829000;16616;1066876000;"";0;0;1804395000;2000000;380000;2635866000;281171000;538451000;2056714000;774161000;477196000;2015-09-30;363651000;16616
2659782000;0;48240000;543898000;862241000;16616;1073910000;"";0;0;1870892000;1846000;380000;2659782000;333834000;543744000;2115884000;723631000;452725000;2015-12-31;358590000;16616
2636379000;0;57085000;491726000;802075000;16616;1120232000;"";0;0;1896135000;2106000;380000;2636379000;382421000;540049000;2144653000;714072000;392993000;2016-03-31;234699000;16616
2715144000;0;124367000;535252000;901514000;16616;1171511000;"";0;0;1928423000;2339000;380000;2715144000;463218000;471053000;2179892000;642119000;386165000;2016-06-30;216124000;16616
