assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
212984000;0;128000;5275000;870000;16632;189143000;33326000;0;104000;1000;0;203286000;212984000;539000;15671000;207709000;22971000;42000;2009-12-31;71000;16632
219132000;0;138000;4539000;7511000;16632;160485000;48119000;0;87000;1000;0;179771000;219132000;2352000;43539000;214593000;51136000;27000;2010-12-31;47000;16632
216858000;0;153000;4864000;10797000;16632;155478000;36658000;0;83000;1000;0;175813000;216858000;3867000;42875000;211994000;50583000;32000;2011-03-31;72000;16632
223176000;0;148000;5124000;14346000;16632;159303000;36459000;0;79000;1000;0;180863000;223176000;5909000;41609000;218052000;49527000;32000;2011-06-30;55000;16632
266617000;0;111000;5438000;8003000;16632;202619000;33305000;0;77000;1000;0;168809000;266617000;7659000;48927000;261179000;55995000;61000;2011-09-30;54000;16632
247504000;0;111000;3804000;14870000;16632;181722000;26457000;0;254000;1000;0;151640000;247504000;14227000;42839000;243700000;50912000;46000;2011-12-31;98000;16632
242510000;0;113000;4194000;21295000;16632;175868000;24405000;0;314000;1000;0;146575000;242510000;20529000;34915000;238316000;45347000;47000;2012-03-31;196000;16632
235173000;0;2130000;6578000;24343000;16632;164275000;21969000;0;336000;1000;0;137403000;235173000;23649000;32929000;228595000;46555000;60000;2012-06-30;121000;16632
229547000;0;110000;5826000;22857000;16632;159319000;20905000;0;362000;1000;0;133350000;229547000;22255000;32480000;223721000;47371000;58000;2012-09-30;53000;16632
204640000;0;104000;3847000;27184000;16632;135006000;29330000;0;354000;1000;0;160354000;204640000;26558000;26511000;200793000;42450000;30000;2012-12-31;122000;16632
183924000;0;116000;3932000;27191000;16632;114624000;25633000;0;342000;1000;0;141482000;183924000;26305000;24889000;179992000;42109000;46000;2013-03-31;355000;16632
166896000;0;111000;4165000;31622000;16632;94389000;20262000;0;331000;1000;0;123361000;166896000;30592000;23762000;162731000;40885000;45000;2013-06-30;384000;16632
145868000;0;111000;4373000;34598000;16632;69900000;17465000;0;321000;1000;0;101211000;145868000;33249000;22650000;141495000;41370000;25000;2013-09-30;389000;16632
118514000;0;111000;3414000;38259000;16632;42093000;10664000;0;310000;1000;0;75998000;118514000;36811000;19033000;115100000;38162000;14000;2013-12-31;385000;16632
116206000;0;111000;3586000;40370000;16632;38670000;9081000;0;299000;1000;0;73266000;116206000;38604000;17166000;112620000;37166000;67000;2014-03-31;600000;16632
108265000;0;111000;3685000;42162000;16632;29815000;7923000;0;288000;1000;0;64970000;108265000;40498000;15345000;104580000;36288000;46000;2014-06-30;390000;16632
105887000;0;111000;3800000;53154000;16632;23786000;6689000;0;276000;1000;0;62192000;105887000;52108000;6814000;102087000;28947000;28000;2014-09-30;411000;16632
101269000;0;111000;3810000;59667000;16632;18365000;4471000;0;265000;1000;0;57511000;101269000;58580000;1000000;97459000;23237000;12000;2014-12-31;371000;16632
100353000;0;110000;3977000;65441000;16632;11325000;2792000;0;254000;1000;0;56775000;100353000;64273000;625000;96376000;23587000;42000;2015-03-31;373000;16632
95427000;0;135000;4147000;65200000;16632;5573000;-1501000;0;242000;1000;0;57190000;95427000;64112000;250000;91280000;24654000;32000;2015-06-30;424000;16632
88557000;0;135000;4311000;73783000;16632;-10946000;-7364000;0;231000;1000;0;54269000;88557000;72656000;0;84246000;25720000;20000;2015-09-30;462000;16632
78030000;0;135000;3987000;73690000;16632;-22469000;-10814000;0;220000;1000;0;51671000;78030000;72529000;0;74043000;26809000;8000;2015-12-31;420000;16632
78709000;0;135000;3964000;71065000;16632;-20515000;-12453000;0;209000;1000;0;54485000;78709000;69910000;0;74745000;28159000;5000;2016-03-31;399000;16632
79691000;0;135000;3851000;69909000;16632;-19857000;-13926000;0;197000;1000;0;57284000;79691000;68239000;0;75840000;29639000;3000;2016-06-30;391000;16632
