assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
108753216000;0;28000;7304291000;3177753000;16772;73354509000;"";3713537000;0;0;0;14231339000;108753216000;343406000;12488045000;101448925000;32220954000;3112056000;2009-12-31;0;16772
125172282000;0;1126479000;2928994000;3201313000;16772;86501945000;"";182221000;0;0;0;13641374000;125172282000;1178504000;19097221000;122243288000;35469024000;1355944000;2010-12-31;0;16772
129324467000;0;1932187000;6193370000;2159438000;16772;89063946000;"";2596176000;0;0;0;15270375000;129324467000;109095000;20698247000;123131097000;38101083000;1149080000;2011-03-31;0;16772
116872822000;0;450061000;4654813000;736033000;16772;79860461000;"";2533248000;0;0;0;15426854000;116872822000;140609000;22665350000;112218009000;36276328000;1063041000;2011-06-30;0;16772
105073235000;0;608323000;4874208000;485229000;16772;71838420000;"";2416167000;0;0;0;18763956000;105073235000;197144000;23022589000;100199027000;32749586000;1060627000;2011-09-30;0;16772
109942889000;0;217630000;2662137000;2402600000;16772;80770640000;"";282358000;0;0;0;19332192000;109942889000;1002003000;16410525000;107280752000;26769649000;1784401000;2011-12-31;0;16772
116516817000;0;281962000;3621655000;2801161000;16772;84433203000;"";903757000;0;0;0;19473535000;116516817000;1140757000;16479740000;112895162000;29282453000;1825627000;2012-03-31;0;16772
103124469000;0;260077000;4079214000;1825540000;16772;77598195000;"";1365830000;0;0;0;19567857000;103124469000;1351922000;14889497000;99045255000;23700734000;1718785000;2012-06-30;0;16772
108050890000;0;273769000;3960469000;3125419000;16772;81224202000;"";1525634000;0;0;0;19686433000;108050890000;2743680000;13296232000;104090421000;23701269000;1556922000;2012-09-30;0;16772
98642314000;0;1998774000;5746131000;3542989000;16772;79154142000;"";1352291000;0;0;0;16667573000;98642314000;2833663000;8192423000;92896183000;15945183000;1929726000;2012-12-31;0;16772
93575311000;0;638000000;3716816000;4077457000;16772;76207723000;"";1328437000;0;0;0;16232477000;93575311000;3738186000;6101755000;89858495000;13290131000;1546463000;2013-03-31;0;16772
87926301000;0;3267268000;5341803000;4970251000;16772;72485768000;"";280223000;0;0;0;16907744000;87926301000;3839624000;5953763000;82584498000;10470282000;0;2013-06-30;0;16772
93791535000;0;1265496000;6376234000;4014429000;16772;77619600000;"";3734762000;0;0;0;17814135000;93791535000;2756474000;5906541000;87415301000;12157506000;0;2013-09-30;0;16772
91330738000;0;1004172000;6239772000;3973231000;16772;76353042000;"";4520593000;0;0;0;18117983000;91330738000;2823208000;5831754000;85090966000;11004465000;0;2013-12-31;0;16772
86244941000;0;194859000;1822643000;3958918000;16772;72703722000;"";794390000;0;0;0;18069142000;86244941000;1920732000;5719499000;84422298000;9582301000;0;2014-03-31;0;16772
89197242000;0;52205000;2227188000;3255059000;16772;75023402000;"";965896000;0;0;0;18181398000;89197242000;2208753000;6725563000;86970054000;10918781000;0;2014-06-30;0;16772
89141003000;0;41925000;3070349000;3202459000;16772;75437224000;"";2007765000;0;0;0;18391592000;89141003000;2120098000;6028131000;86070654000;10501320000;0;2014-09-30;0;16772
77169188000;0;69311000;1867841000;3815105000;16772;66109275000;"";1103815000;0;0;0;18544628000;77169188000;2161658000;5743798000;75301347000;7244808000;0;2014-12-31;0;16772
75454992000;0;127737000;2691182000;2834907000;16772;64658899000;"";1557679000;0;0;0;18388172000;75454992000;1632659000;6493509000;72763810000;7961186000;0;2015-03-31;0;16772
77024886000;0;163830000;1666254000;2495840000;16772;67463688000;"";884397000;0;0;0;18125574000;77024886000;1330611000;5530378000;75358632000;7065358000;0;2015-06-30;0;16772
71723907000;0;67818000;1571071000;3165539000;16772;63484234000;"";843316000;0;0;0;18275978000;71723907000;2026135000;3599398000;70152836000;5074134000;0;2015-09-30;0;16772
67328198000;0;1589768000;3175953000;1451395000;16772;61433252000;"";105555000;0;0;0;16405548000;67328198000;1144752000;2910040000;64152245000;4443551000;0;2015-12-31;0;16772
69351362000;0;2690279000;6255535000;2214351000;16772;63354958000;"";1898489000;0;0;0;16100003000;69351362000;1937831000;2224754000;63095827000;3782053000;0;2016-03-31;0;16772
69529929000;0;4053202000;7248552000;2130860000;16772;63388146000;"";1780098000;0;0;0;14969692000;69529929000;1937054000;2257026000;62281377000;4010923000;0;2016-06-30;0;16772
