assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
101310301000;0;5365248000;17531054000;20061171000;17671;68663711000;0;0;30658685000;44539749000;453324000;1188799000;101310301000;3715680000;5128519000;83779247000;12585419000;8215291000;2016-09-30;7128441000;17671
101957505000;0;4675627000;17482265000;20280286000;17671;69244419000;0;0;31837549000;44270120000;368151000;1407155000;101957505000;4663479000;4560595000;84475240000;12432800000;8282685000;2016-12-31;7539395000;17671
103171536000;0;5543344000;18962757000;18704777000;17671;69781459000;0;0;31590326000;43868285000;359671000;1568427000;103171536000;4455085000;6367783000;84208779000;14685300000;8249786000;2017-03-31;6788816000;17671
104168320000;0;6564821000;20323772000;22096507000;17671;68657360000;0;0;31731198000;43569304000;359956000;1454815000;104168320000;5540174000;4881842000;83844548000;13414453000;8386679000;2017-06-30;7157834000;17671
102202759000;0;5131933000;17593165000;19565054000;17671;69512082000;0;0;32332125000;43183033000;350250000;2049572000;102202759000;3408246000;4648377000;84609594000;13125623000;8072174000;2017-09-30;7622860000;17671
102163153000;0;3681173000;16668039000;18819861000;17671;69461358000;0;0;33112532000;43103436000;324711000;1949276000;102163153000;3033441000;5428400000;85495114000;13881934000;8413403000;2017-12-31;8560844000;17671
102404392000;0;3857949000;17637738000;18023825000;17671;70422898000;0;0;33007854000;42754233000;486209000;1534127000;102404392000;2818829000;5210328000;84766654000;13957669000;8346384000;2018-03-31;8093626000;17671
105511344000;0;3866359000;17655390000;20595723000;17671;71081698000;0;0;33370060000;42492624000;464334000;2121278000;105511344000;1537271000;4968692000;87855954000;13833923000;8705375000;2018-06-30;9606050000;17671
104783351000;0;3349692000;17410063000;20346340000;17671;71461496000;0;0;34037280000;42183482000;421936000;2060945000;104783351000;1510147000;4795490000;87373288000;12975515000;8566785000;2018-09-30;9054673000;17671
102434276000;0;3275300000;18241374000;17164957000;17671;71607027000;0;0;34109139000;42220392000;460800000;484108000;102434276000;1464166000;4675271000;84192902000;13662292000;8246991000;2018-12-31;7746133000;17671
110977996000;0;3940134000;20049677000;18065872000;17671;72247696000;0;0;42202753000;41888967000;543335000;570291000;110977996000;2992211000;11200842000;90928319000;20664428000;8477585000;2019-03-31;7275534000;17671
112975627000;0;5557919000;22633985000;22335242000;17671;69666124000;0;0;42874791000;41694708000;578326000;497882000;112975627000;3149050000;11587770000;90341642000;20974261000;8777874000;2019-06-30;7404798000;17671
110517241000;0;4377594000;20485257000;19030310000;17671;70612262000;0;0;43044033000;41538981000;664797000;534127000;110517241000;2683039000;11026538000;90031984000;20874669000;8884704000;2019-09-30;7184152000;17671
108080378000;0;3106269000;18371347000;17698033000;17671;70455578000;0;0;42831369000;41270732000;573483000;516513000;108080378000;4125926000;9698041000;89709031000;19926767000;8675720000;2019-12-31;6917252000;17671
109648851000;0;5158032000;20859848000;19177315000;17671;71213577000;0;0;42031596000;41090841000;719929000;589055000;109648851000;4911893000;8470223000;88789003000;19257959000;8687689000;2020-03-31;6416590000;17671
110446887000;0;7713281000;22149035000;21748943000;17671;69242162000;0;0;41753733000;40789857000;614573000;414093000;110446887000;4858262000;8289636000;88297852000;19455782000;8315625000;2020-06-30;5753446000;17671
109027742000;0;7829915000;22059550000;20066055000;17671;69847293000;0;0;41713103000;40469512000;515992000;485881000;109027742000;4799618000;7831516000;86968192000;19114394000;8360145000;2020-09-30;6920573000;17671
108518379000;0;5517354000;18827625000;17828902000;17671;69556764000;0;0;44335795000;40575774000;626836000;478552000;108518379000;3680828000;9555003000;89690754000;21132713000;8174784000;2020-12-31;6636448000;17671
110977370000;0;6611813000;21610542000;20437601000;17671;70018589000;0;0;44293988000;40365450000;1005374000;486107000;110977370000;4036535000;8806611000;89366828000;20521180000;8131156000;2021-03-31;7748787000;17671
113465807000;0;8087662000;24079493000;23310492000;17671;68769695000;0;22275000;44315050000;40159304000;668207000;359180000;113465807000;4397549000;8544106000;89386314000;21385620000;7909698000;2021-06-30;7283439000;17671
112916316000;0;8285860000;23386758000;22137028000;17671;69350479000;44883000;39864000;44061273000;39809296000;588117000;659327000;112916316000;4408934000;8296073000;89529558000;21428809000;7946537000;2021-09-30;7420589000;17671
115266435000;0;6187360000;20655171000;22321331000;17671;69927196000;79000000;30109000;44387672000;44098066000;632514000;707008000;115266435000;6903208000;10021541000;94611264000;23017908000;8064097000;2021-12-31;7085058000;17671
115968048000;0;6104212000;21144873000;21452100000;17671;70102868000;72714000;30839000;44780447000;43830978000;791893000;673282000;115968048000;4936634000;10640156000;94823175000;24413080000;8080108000;2022-03-31;7920361000;17671
117155572000;0;2444230000;16407293000;24103328000;17671;68030041000;55672000;953000;44816261000;43791718000;797327000;6317682000;117155572000;4463237000;11179155000;100748279000;25022203000;8192497000;2022-06-30;8235851000;17671
119691818000;0;5098516000;19432872000;23375978000;17671;69092665000;52767000;984000;44933202000;43610617000;767404000;6379784000;119691818000;5859010000;13263390000;100258946000;27223175000;8300112000;2022-09-30;7459692000;17671
