assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
5192877000;0;0;255867000;2141509000;17930;238989000;"";775000;3044027000;36319000;34658000;44695000;5192877000;174351000;424514000;4937010000;2812379000;152224000;2016-09-30;1109058000;17930
5549435000;0;1552000;554313000;2831515000;17930;144400000;"";0;3023375000;34983000;51412000;44690000;5549435000;183620000;426654000;4995122000;2573520000;405546000;2016-12-31;280630000;17930
5682861000;0;527000;289967000;1133793000;17930;82946000;"";16583000;2976948000;33538000;31058000;44690000;5682861000;175198000;401531000;5392894000;4466122000;167566000;2017-03-31;305831000;17930
5673804000;0;339000;351358000;1111852000;17930;56408000;"";35793000;2981895000;32081000;35094000;44690000;5673804000;173987000;375866000;5322446000;4505544000;185790000;2017-06-30;297205000;17930
5743926000;0;19000;419265000;1173043000;17930;39389000;"";63670000;3060108000;3981000;48522000;44690000;5743926000;165424000;294427000;5324661000;4531494000;258810000;2017-09-30;410931000;17930
5532536000;0;63000;644670000;1114475000;17930;-19782000;"";0;3155511000;3792000;51653000;44690000;5532536000;165386000;267994000;4887866000;4437843000;189366000;2017-12-31;347991000;17930
5425916000;0;98000;482133000;1083668000;17930;-81439000;"";0;3225695000;3623000;57953000;44690000;5425916000;164220000;241756000;4943783000;4423687000;245735000;2018-03-31;356183000;17930
5511549000;0;103000;489989000;815823000;17930;-102430000;"";0;3327899000;3433000;95745000;44680000;5511549000;108758000;216272000;5021560000;4798156000;239981000;2018-06-30;406639000;17930
5585212000;0;231000;477792000;905992000;17930;-115796000;"";0;3389825000;3286000;86878000;44680000;5585212000;108706000;189581000;5107420000;4795016000;248916000;2018-09-30;481328000;17930
5593048000;0;175000;461763000;1140378000;17930;-154653000;"";0;3380921000;3188000;77739000;44672000;5593048000;108945000;162976000;5131285000;4607323000;237521000;2018-12-31;418831000;17930
6160112000;0;63585000;572742000;1145263000;17930;-267353000;"";0;3367109000;3201000;62587000;44672000;6160112000;115942000;180544000;5587370000;5282202000;306777000;2019-03-31;434819000;17930
6019804000;0;123922000;537639000;1098295000;17930;-278721000;"";0;3341945000;3042000;68318000;44672000;6019804000;115854000;154524000;5482165000;5200230000;282796000;2019-06-30;387561000;17930
6051522000;0;138973000;589011000;1098437000;17930;-251769000;"";0;3343561000;2913000;74581000;44672000;6051522000;110817000;130641000;5462511000;5204854000;297978000;2019-09-30;377549000;17930
5982712000;0;65130000;448383000;1267706000;17930;-265272000;"";0;3387866000;2782000;58796000;44665000;5982712000;106805000;115865000;5534329000;4980278000;200063000;2019-12-31;313329000;17930
6321630000;0;163750000;711045000;1192756000;17930;-358275000;"";0;3390357000;2650000;57818000;44665000;6321630000;103970000;103582000;5610585000;5487149000;401355000;2020-03-31;343959000;17930
11093594000;0;1561072000;2157355000;1876132000;17930;543583000;"";0;3517107000;3603000;72434000;44665000;11093594000;172664000;1009982000;8936239000;8673879000;342444000;2020-06-30;434468000;17930
11185138000;0;1121620000;2149537000;1668133000;17930;3426574000;"";0;3609219000;3908000;60872000;44665000;11185138000;211401000;991508000;9035601000;6090431000;751429000;2020-09-30;500598000;17930
10721943000;0;514764000;1354359000;1816697000;17930;3406661000;"";0;3809687000;3745000;54141000;44673000;10721943000;212559000;971412000;9367584000;5498585000;628194000;2020-12-31;507738000;17930
12920695000;0;932347000;3200342000;1808957000;17930;4539719000;"";0;3912930000;3582000;59594000;44673000;12920695000;190785000;2050209000;9720353000;6572019000;725485000;2021-03-31;499576000;17930
13363289000;0;2746911000;3436679000;1823417000;17930;4530087000;"";0;4161616000;3888000;71035000;44673000;13363289000;184060000;3403111000;9926610000;7009785000;322350000;2021-06-30;332721000;17930
13397556000;0;2463427000;3263323000;1831674000;17930;4470812000;"";0;4334907000;4542000;76855000;44673000;13397556000;195964000;3373716000;10134233000;7095070000;577466000;2021-09-30;388875000;17930
14085616000;0;2962066000;3553027000;1882159000;17930;4339138000;"";0;4637466000;1620000;46962000;44673000;14085616000;189751000;4599300000;10532589000;7864319000;236694000;2021-12-31;329900000;17930
14079880000;0;2644915000;3568792000;2061492000;17930;4254706000;"";0;4789920000;1518000;65968000;44687000;14079880000;223142000;4328154000;10511088000;7763682000;579521000;2022-03-31;521102000;17930
14197461000;0;2383729000;3290652000;2111828000;17930;4138172000;"";0;4991100000;1418000;77679000;44687000;14197461000;179896000;4320644000;10906809000;7947461000;395563000;2022-06-30;448658000;17930
14000565000;0;2203674000;2889165000;2214852000;17930;4032048000;"";0;5181323000;1661000;55774000;44687000;14000565000;240933000;4298340000;11111400000;7753665000;156991000;2022-09-30;448738000;17930
