assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
1776000;0;21000;1776000;1315000;18066;342000;"";0;0;0;0;0;1776000;0;0;0;119000;2000;2009-12-31;75000;18066
1919000;0;57000;1919000;1318000;18066;523000;"";0;0;0;0;0;1919000;0;0;0;78000;1000;2010-12-31;62000;18066
1919000;0;20000;1919000;1319000;18066;512000;"";0;0;0;0;0;1919000;0;0;0;88000;0;2011-03-31;61000;18066
1967000;0;24000;1967000;1327000;18066;560000;"";0;0;0;0;0;1967000;0;0;0;80000;0;2011-06-30;3000;18066
2007000;0;35000;2007000;1328000;18066;599000;"";0;0;0;0;0;2007000;0;0;0;80000;1000;2011-09-30;0;18066
2040000;0;28000;2040000;1330000;18066;620000;"";0;0;0;0;0;2040000;0;0;0;90000;0;2011-12-31;4000;18066
1433000;0;38000;1433000;763000;18066;580000;"";0;0;0;0;0;1433000;0;0;0;90000;0;2012-03-31;2000;18066
1468000;0;22000;1468000;771000;18066;677000;"";0;0;0;0;0;1468000;0;0;0;20000;0;2012-06-30;4000;18066
1491000;0;14000;1491000;775000;18066;686000;"";0;0;0;0;0;1491000;0;0;0;30000;0;2012-09-30;5000;18066
1044000;0;22000;1044000;315000;18066;729000;"";0;0;0;0;0;1044000;0;0;0;0;46000;2012-12-31;7000;18066
1017000;0;17000;1017000;290000;18066;727000;"";0;0;0;0;0;1017000;0;0;0;0;44000;2013-03-31;5000;18066
1026000;0;25000;1026000;291000;18066;735000;"";0;0;0;0;0;1026000;0;0;0;0;35000;2013-06-30;5000;18066
1022000;0;40000;1022000;287000;18066;735000;"";0;0;0;0;0;1022000;0;0;0;0;5000;2013-09-30;5000;18066
1017000;0;22000;1017000;2000;18066;1015000;"";0;0;0;0;0;1017000;0;0;0;0;0;2013-12-31;2000;18066
1025000;0;15000;1025000;1000;18066;1024000;"";0;0;0;0;0;1025000;0;0;0;0;6000;2014-03-31;1000;18066
1042000;0;4000;1042000;5000;18066;1037000;"";0;0;0;0;0;1042000;0;0;0;0;13000;2014-06-30;2000;18066
1069000;0;3000;1069000;12000;18066;1057000;"";0;0;0;0;0;1069000;0;0;0;0;0;2014-09-30;2000;18066
1100000;0;7000;1100000;15000;18066;1085000;"";0;0;0;0;0;1100000;0;0;0;0;0;2014-12-31;0;18066
1093000;0;6000;1093000;9000;18066;1084000;"";0;0;0;0;0;1093000;0;0;0;0;0;2015-03-31;0;18066
1092000;0;1000;1092000;2000;18066;1090000;"";0;0;0;0;0;1092000;0;0;0;0;0;2015-06-30;0;18066
1130000;0;7000;1130000;22000;18066;1108000;"";0;0;0;0;0;1130000;0;0;0;0;0;2015-09-30;0;18066
1085000;0;18000;1085000;36000;18066;1049000;"";0;0;0;0;0;1085000;0;0;0;0;0;2015-12-31;0;18066
1137000;0;16000;1137000;126000;18066;1011000;"";3000;0;0;0;0;1137000;0;0;0;0;0;2016-03-31;0;18066
1031000;0;12000;1031000;2000;18066;1029000;"";0;0;0;0;0;1031000;0;0;0;0;0;2016-06-30;1000;18066
