assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
70000;0;33000;70000;10000;18236;60000;"";0;0;0;0;0;70000;0;0;0;0;0;2009-12-31;0;18236
13000;0;5000;13000;1000;18236;12000;"";0;0;0;0;0;13000;0;0;0;0;0;2010-12-31;1000;18236
24000;0;4000;24000;1000;18236;23000;"";0;0;0;0;0;24000;0;0;0;0;0;2011-03-31;1000;18236
30000;0;9000;30000;8000;18236;22000;"";0;0;0;0;0;30000;0;0;0;0;0;2011-06-30;2000;18236
33000;0;11000;33000;1000;18236;32000;"";0;0;0;0;0;33000;0;0;0;0;0;2011-09-30;1000;18236
27000;0;6000;27000;0;18236;27000;"";0;0;0;0;0;27000;0;0;0;0;0;2011-12-31;0;18236
58000;0;35000;58000;27000;18236;31000;"";0;0;0;0;0;58000;0;0;0;0;0;2012-03-31;25000;18236
56000;0;21000;56000;2000;18236;54000;"";0;0;0;0;0;56000;0;0;0;0;11000;2012-06-30;0;18236
106000;0;54000;106000;45000;18236;61000;"";0;0;0;0;0;106000;0;0;0;0;19000;2012-09-30;0;18236
437000;0;392000;437000;369000;18236;68000;"";0;0;0;0;0;437000;0;0;0;0;9000;2012-12-31;0;18236
79000;0;45000;79000;3000;18236;76000;"";0;0;0;0;0;79000;0;0;0;0;9000;2013-03-31;0;18236
62000;0;24000;62000;3000;18236;59000;"";0;0;0;0;0;62000;0;0;0;0;9000;2013-06-30;0;18236
104000;0;67000;104000;42000;18236;62000;"";0;0;0;0;0;104000;0;0;0;0;9000;2013-09-30;1000;18236
53000;0;18000;53000;14000;18236;39000;"";0;0;0;0;0;53000;0;0;0;0;10000;2013-12-31;10000;18236
60000;0;25000;60000;12000;18236;48000;"";0;0;0;0;0;60000;0;0;0;0;10000;2014-03-31;8000;18236
41000;0;7000;41000;12000;18236;29000;"";0;0;0;0;0;41000;0;0;0;0;10000;2014-06-30;9000;18236
7678000;0;7641000;7678000;7664000;18236;14000;"";0;0;0;0;0;7678000;0;0;0;0;10000;2014-09-30;30000;18236
37000;0;3000;37000;6000;18236;31000;"";0;0;0;0;0;37000;0;0;0;0;10000;2014-12-31;5000;18236
40000;0;4000;40000;7000;18236;33000;"";0;0;0;0;0;40000;0;0;0;0;10000;2015-03-31;5000;18236
53000;0;9000;53000;7000;18236;46000;"";0;0;0;0;0;53000;0;0;0;0;17000;2015-06-30;6000;18236
60000;0;16000;60000;29000;18236;31000;"";0;0;0;0;0;60000;0;0;0;0;16000;2015-09-30;23000;18236
62000;0;19000;62000;49000;18236;13000;"";0;0;0;0;0;62000;0;0;0;0;14000;2015-12-31;36000;18236
21000;0;4000;21000;38000;18236;-17000;"";0;0;0;0;0;21000;0;0;0;0;17000;2016-03-31;29000;18236
30000;0;14000;30000;31000;18236;-1000;"";0;0;0;0;0;30000;0;0;0;0;15000;2016-06-30;23000;18236
