assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
60089;0;54852;60089;181;18333;59908;"";0;0;0;0;0;60089;0;0;0;0;0;2016-09-30;0;18333
38977;0;33039;38977;167;18333;38810;"";0;0;0;0;0;38977;0;0;0;0;0;2016-12-31;0;18333
8235;0;1915;8235;19;18333;8216;"";0;0;0;0;0;8235;0;0;0;0;0;2017-03-31;0;18333
93177;0;86746;93177;562;18333;82615;"";0;0;0;0;0;93177;0;0;0;10000;0;2017-06-30;0;18333
51362;0;47393;51362;18;18333;51344;"";0;0;0;0;0;51362;0;0;0;0;0;2017-09-30;0;18333
27202;0;24021;27202;22;18333;27180;"";0;0;0;0;0;27202;0;0;0;0;0;2017-12-31;0;18333
83020;0;79694;83020;15297;18333;67723;"";0;0;0;0;0;83020;0;0;0;0;0;2018-03-31;15246;18333
44628;0;41122;44628;210;18333;44418;"";0;0;0;0;0;44628;0;0;0;0;0;2018-06-30;0;18333
25740;0;21932;25740;217;18333;25523;"";0;0;0;0;0;25740;0;0;0;0;0;2018-09-30;0;18333
9796;0;5506;9796;221;18333;9575;"";0;0;0;0;0;9796;0;0;0;0;0;2018-12-31;0;18333
83047;0;80202;83047;223;18333;72824;"";0;0;0;0;0;83047;0;0;0;10000;0;2019-03-31;0;18333
43736;0;40639;43736;614;18333;43122;"";0;0;0;0;0;43736;0;0;0;0;0;2019-06-30;0;18333
25647;0;22366;25647;24;18333;25623;"";0;0;0;0;0;25647;0;0;0;0;0;2019-09-30;0;18333
209468;0;205943;209468;38;18333;209430;"";0;0;0;0;0;209468;0;0;0;0;0;2019-12-31;0;18333
133025;0;129288;133025;9159;18333;123866;"";0;0;0;0;0;133025;0;0;0;0;0;2020-03-31;9150;18333
112679;0;110118;112679;179;18333;112500;"";0;0;0;0;0;112679;0;0;0;0;0;2020-06-30;0;18333
97740;0;95146;97740;175;18333;97565;"";0;0;0;0;0;97740;0;0;0;0;0;2020-09-30;0;18333
83878;0;81095;83878;150;18333;83728;"";0;0;0;0;0;83878;0;0;0;0;0;2020-12-31;0;18333
9517;0;6628;9517;8930;18333;587;"";0;0;0;0;0;9517;0;0;0;0;0;2021-03-31;8784;18333
146631;0;143651;146631;182;18333;146449;"";0;0;0;0;0;146631;0;0;0;0;0;2021-06-30;0;18333
132697;0;129660;132697;187;18333;132510;"";0;0;0;0;0;132697;0;0;0;0;0;2021-09-30;0;18333
118890;0;115206;118890;201;18333;118689;"";0;0;0;0;0;118890;0;0;0;0;0;2021-12-31;0;18333
61250;0;57129;61250;174;18333;61076;"";0;0;0;0;0;61250;0;0;0;0;0;2022-03-31;0;18333
139800;0;134910;139800;231;18333;139569;"";0;0;0;0;0;139800;0;0;0;0;0;2022-06-30;0;18333
132060;0;127000;132060;231;18333;131829;"";0;0;0;0;0;132060;0;0;0;0;0;2022-09-30;0;18333
