assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
4358237000;0;759773000;919505000;979457000;18368;2063170000;0;0;3164223000;28491000;0;195258000;4358237000;491597000;1009274000;3438732000;1315610000;131867000;2016-09-30;292954000;18368
4381811000;0;798120000;956652000;1328613000;18368;1771988000;0;0;3129346000;28801000;0;215242000;4381811000;515611000;1012140000;3425159000;1281210000;133371000;2016-12-31;343844000;18368
4297911000;0;711366000;909930000;1112972000;18368;1900233000;0;0;3088670000;28034000;0;218442000;4297911000;448396000;1019214000;3387981000;1284706000;175611000;2017-03-31;361391000;18368
3948522000;0;404840000;592539000;758682000;18368;2009912000;0;0;3047421000;32951000;0;221888000;3948522000;199528000;944176000;3355983000;1179928000;164316000;2017-06-30;365244000;18368
4393149000;0;910907000;1080052000;1154023000;18368;1981628000;0;0;3005605000;32771000;0;220210000;4393149000;342436000;1119858000;3313097000;1257498000;136788000;2017-09-30;552458000;18368
4487436000;0;899463000;1080141000;1570535000;18368;1693669000;0;0;2970417000;31687000;0;235397000;4487436000;360173000;1127521000;3407295000;1223232000;146912000;2017-12-31;659902000;18368
4333381000;0;795713000;945371000;1318649000;18368;1779550000;0;0;2927813000;30725000;0;238274000;4333381000;362532000;1136924000;3388010000;1235182000;128060000;2018-03-31;719856000;18368
4673118000;0;1142262000;1296487000;1437897000;18368;1828462000;0;0;2884331000;29603000;0;239904000;4673118000;443226000;1303779000;3376631000;1406759000;131353000;2018-06-30;849849000;18368
4615473000;0;877673000;1097700000;1386583000;18368;1821542000;0;0;2845490000;28501000;0;239388000;4615473000;202324000;1293895000;3517773000;1407348000;183107000;2018-09-30;886953000;18368
4730372000;0;897818000;1121014000;1400174000;18368;1635421000;0;0;2814439000;28140000;0;242345000;4448998000;223708000;1300326000;3609358000;1413403000;193657000;2018-12-31;837096000;18368
4449621000;0;972554000;1158846000;1303887000;18368;1724633000;0;0;2768106000;27147000;0;243677000;4449621000;221767000;1311518000;3290775000;1421101000;160991000;2019-03-31;865278000;18368
4612755000;0;938316000;1091072000;1205852000;18368;1799806000;0;0;2720758000;27496000;0;244406000;4612755000;132787000;1226548000;3521683000;1607097000;134148000;2019-06-30;951912000;18368
4703275000;0;1130954000;1294077000;1469861000;18368;1853852000;0;0;2679837000;26167000;0;173494000;4703275000;334610000;1009697000;3409198000;1379562000;141039000;2019-09-30;992708000;18368
4386490000;0;1087193000;1253102000;1698372000;18368;1550797000;0;0;2653028000;23897000;0;170649000;4386490000;355375000;1017171000;3133388000;1137321000;144489000;2019-12-31;1033569000;18368
4491963000;0;1142145000;1390460000;1648964000;18368;1691831000;0;0;2603902000;26214000;0;172792000;4491963000;349939000;1030174000;3101503000;1151168000;229092000;2020-03-31;1044100000;18368
4504202000;0;1204664000;1432203000;1718980000;18368;1760331000;0;0;2555682000;25694000;0;172431000;4504202000;360094000;905393000;3071999000;1024891000;210420000;2020-06-30;1079136000;18368
4276219000;0;986826000;1208181000;1705095000;18368;1771912000;0;0;2516965000;25198000;0;170767000;4276219000;353183000;683166000;3068038000;799212000;196188000;2020-09-30;1169843000;18368
5681205000;0;1062848000;1928659000;2931004000;18368;1911744000;0;0;2477163000;863822000;0;220186000;5681205000;376967000;697834000;3752546000;838457000;840277000;2020-12-31;2037128000;18368
4351988000;0;519257000;673278000;1163190000;18368;1917289000;0;0;2423476000;844554000;0;221340000;4351988000;464676000;1129487000;3678710000;1271509000;122862000;2021-03-31;366412000;18368
4072530000;0;308020000;454496000;864533000;18368;1922644000;0;0;2381494000;825447000;0;221203000;4072530000;367104000;1140645000;3618034000;1285353000;114384000;2021-06-30;437947000;18368
3848637000;0;89380000;276867000;889303000;18368;1909893000;0;0;2337569000;822457000;0;216595000;3848637000;348925000;901214000;3571770000;1049441000;146006000;2021-09-30;476860000;18368
3954920000;0;162152000;387363000;990331000;18368;1907664000;0;0;2298651000;804297000;0;250968000;3954920000;381240000;911955000;3567557000;1056925000;184743000;2021-12-31;541873000;18368
3971931000;0;228713000;454286000;999323000;18368;1978412000;0;0;2258352000;786210000;0;253708000;3971931000;371607000;840639000;3517645000;994196000;174460000;2022-03-31;522678000;18368
4060199000;0;429300000;591627000;1044784000;18368;2006057000;0;0;2213148000;767644000;0;256031000;4060199000;408240000;850650000;3468572000;1009358000;126743000;2022-06-30;536632000;18368
3755356000;0;135770000;335299000;821021000;18368;2063527000;0;0;2175365000;750900000;0;257979000;3755356000;241244000;705212000;3420057000;870808000;165290000;2022-09-30;470106000;18368
