assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
6198812000;0;396000;1738088000;765959000;18376;4663011000;0;18168000;10086000;12882000;43328000;296737000;6198812000;518690000;419786000;4460724000;769842000;1442110000;2009-12-31;47497000;18376
6492509000;0;599000;1569296000;567149000;18376;4563835000;0;39735000;9044000;9944000;44791000;531314000;6492509000;135471000;1004216000;4923213000;1361525000;1436619000;2010-12-31;48856000;18376
6699846000;0;1144000;1606847000;842032000;18376;4523311000;0;117973000;9088000;9318000;44247000;631758000;6699846000;354317000;974946000;5092999000;1334503000;1382048000;2011-03-31;31182000;18376
6810053000;0;112310000;1546277000;850812000;18376;4499790000;0;0;8773000;10644000;47663000;664371000;6810053000;367695000;1099711000;5263776000;1459451000;1313432000;2011-06-30;41325000;18376
7309791000;0;179723000;1897332000;1223672000;18376;4611265000;0;0;8614000;9796000;48173000;844155000;7309791000;698232000;1081728000;5412459000;1474854000;1578561000;2011-09-30;54381000;18376
7273991000;0;151021000;1737605000;1341917000;18376;4539434000;0;0;8655000;8946000;50044000;883515000;7273991000;861689000;1042869000;5536386000;1392640000;1449016000;2011-12-31;48781000;18376
7413030000;0;173748000;1812888000;1437339000;18376;4630626000;0;0;8210000;8098000;51060000;977231000;7413030000;1075141000;998635000;5600142000;1345065000;1493973000;2012-03-31;30718000;18376
7449616000;0;153239000;1640183000;1605433000;18376;4639960000;0;0;8788000;7422000;46693000;1022791000;7449616000;1199211000;863354000;5809433000;1204223000;1312306000;2012-06-30;46539000;18376
7920250000;0;448452000;1929341000;1148637000;18376;4881668000;0;0;11434000;9254000;49027000;1173954000;7920250000;890677000;1541424000;5990909000;1889945000;1293399000;2012-09-30;41581000;18376
7994563000;0;296486000;2863935000;1363305000;18376;5078230000;0;0;8375000;10974000;47125000;1258200000;7994563000;1064230000;1183487000;5130628000;1553028000;2356600000;2012-12-31;53373000;18376
7437812000;0;855000;2314324000;767114000;18376;5149737000;0;1375812000;9761000;9837000;50777000;1303994000;7437812000;634208000;1159871000;5123488000;1520961000;713640000;2013-03-31;32228000;18376
7353656000;0;1370000;2169029000;648096000;18376;5197709000;0;1221816000;10309000;11520000;47691000;1432002000;7353656000;510338000;1137391000;5184627000;1507851000;741458000;2013-06-30;29196000;18376
7112772000;0;1391000;2128841000;1450052000;18376;4953037000;0;1218313000;10094000;10237000;46490000;1582622000;7112772000;1309975000;329399000;4983931000;709683000;716699000;2013-09-30;24339000;18376
6600561000;0;1257000;1471273000;679413000;18376;4912447000;0;578547000;10370000;14195000;50788000;1659227000;6600561000;338018000;628972000;5129288000;1008701000;677053000;2013-12-31;22631000;18376
6572278000;0;1080000;1407638000;510158000;18376;4968512000;0;486805000;13259000;19938000;51649000;1779440000;6572278000;343881000;727741000;5164640000;1093608000;695250000;2014-03-31;23551000;18376
6648248000;0;1024000;1504378000;526226000;18376;5059357000;0;518368000;12643000;18296000;49993000;1847291000;6648248000;348668000;701013000;5143870000;1062665000;748572000;2014-06-30;20508000;18376
6902361000;0;3220000;1606726000;529966000;18376;5297888000;20120000;739201000;14160000;26679000;45693000;1938644000;6902361000;336203000;698174000;5295635000;1074507000;640513000;2014-09-30;33055000;18376
6701946000;0;1390000;1225097000;377825000;18376;5165045000;63567000;398623000;24538000;26148000;43426000;1967284000;6701946000;177439000;769615000;5476849000;1159076000;647263000;2014-12-31;46481000;18376
6783026000;0;3217000;1201903000;367580000;18376;5250128000;91437000;315067000;24834000;25329000;41444000;2012804000;6783026000;165679000;765527000;5581123000;1165318000;679366000;2015-03-31;20163000;18376
6642994000;0;4689000;880851000;216604000;18376;5216411000;100056000;260743000;23470000;24323000;41340000;2125587000;6642994000;50912000;788864000;5762143000;1209979000;439719000;2015-06-30;31782000;18376
6984571000;0;3709000;873537000;274117000;18376;5488858000;102825000;408119000;23225000;23336000;38606000;2349186000;6984571000;71998000;783934000;6111034000;1221596000;295323000;2015-09-30;29984000;18376
6847228000;0;3120000;583659000;368580000;18376;5336205000;178796000;230855000;23163000;22649000;38787000;2394590000;6847228000;213312000;665649000;6263569000;1142443000;220566000;2015-12-31;31824000;18376
6971975000;0;2728000;600007000;396788000;18376;5430616000;96417000;271228000;22533000;21415000;36066000;2435891000;6971975000;233895000;659579000;6371968000;1144571000;187665000;2016-03-31;42305000;18376
7072387000;0;1795000;586443000;402982000;18376;5522229000;123055000;250201000;25639000;16487000;36619000;2485198000;7072387000;216011000;653869000;6485944000;1147176000;188033000;2016-06-30;28271000;18376
