assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
225126000;0;762000;36234000;19544000;18430;71000;"";0;0;0;0;0;225126000;0;0;188892000;205511000;35014000;2009-12-31;23000;18430
244623000;0;896000;41885000;22073000;18430;2569000;"";0;0;0;0;0;244623000;0;0;202738000;219981000;40876000;2010-12-31;113000;18430
250092000;0;1318000;44322000;24195000;18430;2970000;"";0;0;0;0;0;250092000;0;0;205770000;222927000;42850000;2011-03-31;11000;18430
247054000;0;58000;41629000;24203000;18430;643000;"";0;0;0;0;0;247054000;0;0;205425000;222208000;41371000;2011-06-30;25000;18430
248481000;0;446000;42988000;25319000;18430;1676000;"";0;0;0;0;0;248481000;0;0;205493000;221486000;42143000;2011-09-30;16000;18430
249218000;0;799000;43871000;25949000;18430;2365000;"";0;0;0;0;0;249218000;0;0;205347000;220904000;43036000;2011-12-31;13000;18430
249907000;0;14000;44078000;27428000;18430;3346000;"";0;0;0;0;0;249907000;0;0;205829000;219133000;43858000;2012-03-31;28000;18430
252355000;0;15000;46225000;28657000;18430;2224000;"";0;0;0;0;0;252355000;0;0;206130000;221474000;45640000;2012-06-30;24000;18430
260899000;0;168000;49347000;30658000;18430;3758000;"";0;0;0;0;0;260899000;0;0;211552000;226483000;48176000;2012-09-30;12000;18430
257939000;0;552000;49184000;31350000;18430;2059000;"";0;0;0;0;0;257939000;31341000;224530000;208755000;224530000;0;2012-12-31;8000;18430
259726000;0;599000;50600000;34306000;18430;2977000;"";0;0;0;0;0;259726000;33534000;222443000;209126000;222443000;0;2013-03-31;20000;18430
253950000;0;274000;39683000;33641000;18430;-116000;"";0;0;0;0;0;253950000;33594000;220425000;214267000;220425000;0;2013-06-30;5000;18430
255719000;0;1060000;41107000;29632000;18430;-1000;"";0;0;0;0;0;255719000;29468000;226088000;214612000;226088000;0;2013-09-30;2000;18430
258601000;0;1800000;42332000;25689000;18430;1277000;"";0;0;0;0;0;258601000;25571000;231635000;216269000;231635000;0;2013-12-31;0;18430
260379000;0;198000;42065000;22327000;18430;-76000;"";0;0;0;0;0;260379000;22313000;238128000;218314000;238128000;0;2014-03-31;4000;18430
259261000;0;1503000;42649000;18340000;18430;1490000;"";0;0;0;0;0;259261000;17762000;239431000;216612000;239431000;0;2014-06-30;0;18430
253476000;0;106000;40732000;18967000;18430;2449000;"";0;0;0;0;0;253476000;18071000;232060000;212744000;232060000;0;2014-09-30;0;18430
254922000;0;780000;42458000;20225000;18430;3405000;"";0;0;0;0;0;254922000;18623000;231292000;212464000;231292000;0;2014-12-31;0;18430
254837000;0;16000;41269000;19827000;18430;4411000;"";0;0;0;0;0;254837000;19372000;230599000;213568000;230599000;0;2015-03-31;42000;18430
254124000;0;127000;42736000;20961000;18430;2054000;"";0;0;0;0;0;254124000;20191000;231109000;211388000;231109000;0;2015-06-30;15000;18430
255327000;0;595000;44460000;22138000;18430;3037000;"";0;0;0;0;0;255327000;20947000;230152000;210867000;230152000;0;2015-09-30;0;18430
261196000;0;907000;46212000;22774000;18430;3997000;"";0;0;0;0;0;261196000;22558000;234425000;214984000;234425000;0;2015-12-31;0;18430
265480000;0;1187000;49070000;25152000;18430;4943000;"";0;0;0;0;0;265480000;24707000;235385000;216410000;235385000;0;2016-03-31;0;18430
261539000;0;1846000;49361000;25153000;18430;2096000;"";0;0;0;0;0;261539000;24337000;234290000;212178000;234290000;0;2016-06-30;0;18430
