assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
9382340000;0;129636000;195656000;25447000;18465;8394211000;31543000;10144000;0;246163000;0;8152895000;9382340000;4216000;799814000;9186684000;962682000;1007000;2016-09-30;205000;18465
9836465000;0;127944000;524748000;352946000;18465;8527623000;30935000;1052000;0;246163000;0;8235509000;9836465000;32479000;799904000;9311717000;955896000;358034000;2016-12-31;330000;18465
9771442000;0;51487000;138455000;818930000;18465;8787321000;33009000;51716000;0;246163000;0;8552129000;9771442000;803978000;0;9632987000;165191000;10932000;2017-03-31;209000;18465
10006680000;0;52550000;162737000;841143000;18465;8985626000;26700000;66356000;0;246163000;0;8741030000;10006680000;826266000;0;9843943000;179911000;16188000;2017-06-30;121000;18465
10122233000;0;59431000;113270000;816811000;18465;9128609000;27169000;19280000;0;246163000;0;8899252000;10122233000;802238000;0;10008963000;176813000;2429000;2017-09-30;207000;18465
10719776000;0;93174000;179832000;1162071000;18465;9381261000;339571000;21657000;0;246163000;0;9453228000;10719776000;817654000;0;10539944000;176444000;30334000;2017-12-31;461000;18465
11049448000;0;681401000;1032492000;19802000;18465;9130777000;334682000;301172000;0;246163000;0;8917739000;11049448000;5879000;1722258000;10016956000;1898869000;13077000;2018-03-31;111000;18465
11115304000;0;474503000;1104508000;54682000;18465;9234274000;333435000;579491000;0;246163000;0;8949278000;11115304000;34325000;1722427000;10010796000;1826348000;8929000;2018-06-30;85000;18465
11027273000;0;155640000;754038000;21700000;18465;9201089000;362621000;551104000;0;246163000;0;9205053000;11027273000;6468000;1722267000;10273235000;1804484000;1170000;2018-09-30;43000;18465
11641720000;0;172315000;1041922000;342114000;18465;9448105000;351924000;565930000;0;246163000;0;9529598000;11641720000;34504000;1722450000;10599798000;1851501000;262010000;2018-12-31;272000;18465
11427796000;0;174372000;746213000;21002000;18465;9572323000;357606000;532947000;0;246163000;0;9613695000;11427796000;6903000;1722634000;10681583000;1834471000;4399000;2019-03-31;214000;18465
11563185000;0;69883000;229966000;51656000;18465;9692101000;376029000;119249000;0;246163000;0;10271853000;11563185000;34921000;1722990000;11333219000;1819428000;3296000;2019-06-30;454000;18465
11522320000;0;71055000;193397000;23057000;18465;9687588000;385579000;78857000;641000;246163000;0;10275482000;11522320000;6045000;1723179000;11328923000;1811675000;3321000;2019-09-30;1038000;18465
11397320000;0;42580000;197626000;47069000;18465;9458255000;376920000;95829000;8331000;246163000;0;10077248000;11369823000;28857000;1729223000;11172197000;1864499000;7332000;2019-12-31;2173000;18465
10978820000;0;17456000;130491000;50560000;18465;9116678000;385015000;28471000;41147000;256992000;0;9724912000;10978820000;7961000;1758318000;10848329000;1811582000;31954000;2020-03-31;3738000;18465
12040037000;0;1015432000;1152945000;1085883000;18465;9116419000;391574000;53101000;48230000;251776000;0;9745342000;12040037000;1032011000;1758450000;10887092000;1837735000;28277000;2020-06-30;5928000;18465
12411451000;0;936880000;1133884000;1097215000;18465;9424335000;402965000;109888000;49229000;251516000;0;10132390000;12411451000;1030555000;1758222000;11277567000;1889901000;31109000;2020-09-30;4385000;18465
12992698000;0;948649000;1297101000;1566780000;18465;9533746000;376519000;88100000;49390000;254242000;0;10530177000;12992698000;1053183000;1757363000;11695597000;1892172000;208601000;2020-12-31;16870000;18465
12619554000;0;946757000;1473625000;1154190000;18465;9583461000;379180000;388031000;59878000;253781000;0;10327582000;12619554000;1059598000;1757349000;11145929000;1881903000;86483000;2021-03-31;29319000;18465
11627556000;0;3705000;351703000;106054000;18465;9664741000;384076000;214302000;58425000;253383000;0;10456648000;11627556000;21703000;1757002000;11275853000;1856761000;85137000;2021-06-30;25935000;18465
11739058000;0;4697000;335551000;98234000;18465;9795901000;389069000;139363000;54503000;252952000;0;10613431000;11739058000;11226000;1755864000;11403507000;1844923000;123159000;2021-09-30;21901000;18465
12236969000;0;21533000;3162240000;331330000;18465;10066921000;402319000;142065000;51310000;252585000;0;8266396000;12236969000;45462000;1757759000;9074729000;1838718000;252003000;2021-12-31;26882000;18465
12456911000;0;17277000;3371086000;1818894000;18465;10542239000;445080000;86786000;44295000;252167000;0;8286371000;12456911000;1744388000;31376000;9085825000;95778000;90492000;2022-03-31;25206000;18465
13488305000;0;1552841000;3360931000;2356659000;18465;10841210000;451151000;293043000;16290000;251785000;0;8823653000;13488305000;1793408000;5463000;10127374000;290436000;98978000;2022-06-30;21959000;18465
13624276000;0;585982000;1013246000;2424875000;18465;10911405000;459954000;319881000;15822000;252082000;0;11679535000;13624276000;1743163000;5804000;12611030000;287996000;60914000;2022-09-30;32539000;18465
