assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
11594000;0;139000;2244000;8416000;18597;-2121000;"";0;3844000;3123000;0;0;11594000;870000;1984000;9350000;5299000;974000;2009-12-31;1012000;18597
16764000;0;287000;2137000;5826000;18597;5871000;"";0;9155000;5119000;0;0;16764000;1611000;915000;14627000;5067000;903000;2010-12-31;563000;18597
16232000;0;99000;1745000;5899000;18597;5815000;"";0;8991000;5171000;0;0;16232000;1872000;545000;14487000;4518000;1019000;2011-03-31;746000;18597
16364000;0;102000;1944000;6261000;18597;5983000;"";0;8897000;5253000;0;0;16364000;1838000;356000;14420000;4120000;1190000;2011-06-30;702000;18597
15865000;0;47000;1627000;5918000;18597;5972000;"";0;8702000;5295000;0;0;15865000;1383000;267000;14238000;3975000;782000;2011-09-30;554000;18597
15861000;0;86000;1856000;5476000;18597;4651000;"";0;8517000;5276000;0;0;15861000;940000;792000;14005000;5734000;901000;2011-12-31;476000;18597
15868000;0;149000;1836000;5669000;18597;4722000;"";0;8589000;5260000;0;0;15868000;1025000;694000;14032000;5477000;897000;2012-03-31;628000;18597
15435000;0;109000;1743000;5615000;18597;4333000;"";0;8311000;5227000;0;0;15435000;1037000;552000;13692000;5487000;862000;2012-06-30;588000;18597
15369000;0;92000;1925000;6011000;18597;4098000;"";0;8143000;5177000;0;0;15369000;974000;480000;13444000;5260000;958000;2012-09-30;664000;18597
15702000;0;237000;2441000;5574000;18597;4828000;"";0;7947000;5219000;0;0;15702000;831000;405000;13261000;5300000;1224000;2012-12-31;496000;18597
15073000;0;75000;2021000;5753000;18597;4360000;"";0;7795000;5191000;0;0;15073000;734000;326000;13052000;4960000;1143000;2013-03-31;785000;18597
14757000;0;166000;1933000;5942000;18597;3931000;"";0;7649000;5121000;0;0;14757000;664000;244000;12824000;4884000;844000;2013-06-30;857000;18597
15334000;0;589000;2895000;6533000;18597;3294000;"";0;7165000;5223000;0;0;15334000;663000;1077000;12439000;5507000;1261000;2013-09-30;895000;18597
16187000;0;1134000;3796000;6813000;18597;3722000;"";0;7003000;5340000;0;0;16187000;1493000;1077000;12391000;5652000;1497000;2013-12-31;621000;18597
14856000;0;525000;2474000;6903000;18597;2902000;"";0;6921000;5415000;0;0;14856000;1595000;692000;12382000;5051000;898000;2014-03-31;808000;18597
14535000;0;17000;2090000;7172000;18597;2498000;"";0;6952000;5449000;0;0;14535000;1759000;417000;12445000;4865000;1039000;2014-06-30;1010000;18597
15528000;0;1249000;3240000;7183000;18597;3447000;"";0;6823000;5424000;0;0;15528000;2062000;1666000;12288000;4898000;916000;2014-09-30;1210000;18597
15348000;0;229000;3541000;6393000;18597;2786000;"";618000;6606000;5162000;0;0;15348000;1751000;2619000;11807000;6169000;1259000;2014-12-31;987000;18597
14868000;0;94000;2234000;6263000;18597;1754000;"";0;7373000;5224000;0;0;14868000;1834000;2633000;12634000;6851000;930000;2015-03-31;1217000;18597
16970000;0;70000;3720000;7438000;18597;1264000;"";1404000;7885000;5330000;0;0;16970000;2058000;4151000;13250000;8268000;1153000;2015-06-30;1494000;18597
16512000;0;427000;3251000;7730000;18597;608000;"";182000;7899000;5329000;0;0;16512000;2240000;3959000;13261000;8174000;1351000;2015-09-30;1241000;18597
18994000;0;101000;5789000;8705000;18597;2515000;"";0;7857000;5317000;0;0;18994000;2654000;3402000;13205000;7774000;4320000;2015-12-31;1562000;18597
18404000;0;80000;5486000;8635000;18597;2302000;"";0;7583000;5305000;0;0;18404000;2655000;3072000;12918000;7467000;4318000;2016-03-31;1442000;18597
18958000;0;488000;6182000;9195000;18597;1344000;"";0;7518000;5229000;0;0;18958000;2994000;2282000;12776000;8419000;4266000;2016-06-30;1822000;18597
