assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
6841525000;0;219126000;507356000;40149000;18660;6269348000;267431000;39253000;1000;420000;0;6006277000;6841525000;12788000;450000000;6334169000;532028000;0;2009-12-31;2658000;18660
7041917000;0;110958000;601635000;41246000;18660;6493708000;255948000;42533000;157000;255000;0;6167072000;7041917000;15529000;450000000;6440282000;506963000;0;2010-12-31;1768000;18660
7505400000;0;81004000;572137000;29535000;18660;6970046000;261893000;42929000;149000;218000;0;6653428000;7505400000;3701000;450000000;6933263000;505819000;0;2011-03-31;2157000;18660
7355849000;0;582944000;801950000;72961000;18660;6781442000;264642000;43744000;141000;182000;0;6291676000;7355849000;16923000;450000000;6553899000;501446000;0;2011-06-30;3172000;18660
7270570000;0;561373000;762572000;189413000;18660;6733856000;1363418000;44744000;133000;146000;0;6271333000;7270570000;153768000;300000000;6507998000;347301000;0;2011-09-30;1320000;18660
7607793000;0;549189000;764388000;200258000;18660;7067157000;1485352000;45668000;312000;118000;0;6614915000;7607793000;166403000;300000000;6843405000;340378000;0;2011-12-31;1618000;18660
8006674000;0;525756000;732637000;188118000;18660;7478342000;1497919000;37201000;304000;107000;0;7046793000;8006674000;153276000;300000000;7274037000;340214000;0;2012-03-31;2138000;18660
7540586000;0;43974000;828164000;229307000;18660;6971294000;1505542000;28060000;378000;96000;0;6494600000;7540586000;163258000;300000000;6712422000;339985000;0;2012-06-30;1648000;18660
7068852000;0;177054000;637155000;190398000;18660;6690662000;1509715000;16431000;597000;85000;0;6218565000;7068852000;151623000;150000000;6431697000;187792000;0;2012-09-30;990000;18660
6767769000;0;141835000;574911000;195159000;18660;6380728000;1510401000;3939000;687000;74000;0;5988616000;6767769000;157082000;150000000;6192858000;191882000;0;2012-12-31;1283000;18660
7168596000;0;97698000;527393000;190469000;18660;6786317000;1502929000;0;681000;63000;0;6400463000;7168596000;151548000;150000000;6641203000;191810000;0;2013-03-31;1171000;18660
8418239000;0;1650873000;2393722000;223114000;18660;6714620000;1485138000;0;949000;52000;0;5821670000;8418239000;167224000;1437174000;6024517000;1480505000;0;2013-06-30;742000;18660
8673033000;0;1617758000;2341990000;591798000;18660;6763473000;1755694000;0;1004000;41000;0;6133064000;8673033000;189827000;1287543000;6331043000;1317762000;0;2013-09-30;546000;18660
8389811000;0;990672000;1720232000;46245000;18660;7023899000;1774819000;0;1000000;32000;0;6419924000;8389811000;12438000;1287912000;6669579000;1319667000;0;2013-12-31;1127000;18660
8596077000;0;1002059000;1732095000;78436000;18660;7198246000;1759818000;0;963000;25000;0;6604245000;8596077000;44966000;1288280000;6863982000;1319395000;0;2014-03-31;1674000;18660
8164998000;0;1252336000;2012100000;1334800000;18660;6799633000;1736258000;0;926000;18000;0;5950623000;8164998000;1302359000;0;6152898000;30565000;0;2014-06-30;524000;18660
8297703000;0;1267593000;2634995000;1795632000;18660;6471944000;1734985000;0;889000;21000;0;5445493000;8297703000;1339652000;0;5662708000;30127000;0;2014-09-30;606000;18660
8318287000;0;799775000;1792189000;1338488000;18660;6943535000;2440978000;0;843000;18000;0;6290998000;8318287000;1304406000;0;6526098000;36264000;0;2014-12-31;790000;18660
7722107000;0;28599000;1014654000;573954000;18660;7112504000;2414019000;0;1074000;12000;0;6482274000;7722107000;541046000;0;6707453000;35649000;0;2015-03-31;2089000;18660
7859196000;0;563205000;1610867000;584222000;18660;7239819000;2382439000;0;1037000;19000;0;6055152000;7859196000;543949000;0;6248329000;35155000;0;2015-06-30;579000;18660
8677880000;0;856736000;1981315000;1013703000;18660;7628852000;2407245000;0;1261000;23000;0;6447431000;8677880000;985202000;0;6696565000;35325000;0;2015-09-30;457000;18660
8948469000;0;424192000;1795763000;1206708000;18660;7674196000;2455942000;0;1215000;23000;0;6940036000;8948469000;973252000;0;7152706000;67565000;0;2015-12-31;1157000;18660
8617957000;0;27890000;1030572000;600407000;18660;7944217000;2413663000;0;1168000;24000;0;7227470000;8617957000;326477000;0;7587385000;73333000;0;2016-03-31;1045000;18660
8316075000;0;872166000;1164073000;454616000;18660;7802748000;2381218000;0;1265000;24000;0;6850886000;8316075000;166787000;0;7152002000;58711000;0;2016-06-30;674000;18660
