assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
7463970000;0;1554015000;1615322000;1584536000;18821;4514634000;225274000;0;20686000;22722000;0;5711574000;7463970000;1452063000;1328636000;5848648000;1364800000;9804000;2016-09-30;1509000;18821
6799093000;0;1592307000;1682838000;1523457000;18821;3916497000;240294000;0;17181000;28898000;0;4976716000;6799093000;1390896000;1333087000;5116255000;1359139000;11977000;2016-12-31;2974000;18821
10405389000;0;3948610000;4069359000;1267018000;18821;8217643000;219635000;17165000;18635000;26530000;0;5673063000;10405389000;1117632000;912792000;6336030000;920728000;14109000;2017-03-31;1837000;18821
10599715000;0;1961204000;2077820000;557852000;18821;8552171000;351484000;17495000;14632000;27938000;0;6573070000;10599715000;500079000;1309365000;8521895000;1489692000;16006000;2017-06-30;1575000;18821
11292006000;0;2180433000;2307333000;557825000;18821;8971216000;361631000;17826000;15713000;26751000;0;7337831000;11292006000;483397000;1589833000;8984673000;1762965000;17089000;2017-09-30;1928000;18821
11660096000;0;2341502000;3732963000;823549000;18821;8165831000;332763000;1183878000;19454000;25344000;0;6587619000;11660096000;436804000;2480682000;7927133000;2670716000;17755000;2017-12-31;4260000;18821
11186821000;0;836681000;2857479000;407754000;18821;8613843000;331705000;1859588000;21362000;23708000;0;6821632000;11186821000;40240000;1995906000;8329342000;2165224000;19211000;2018-03-31;1770000;18821
11217531000;0;841502000;2096435000;69427000;18821;8984629000;384099000;1129976000;23421000;22298000;0;7710803000;11217531000;13802000;1997818000;9121096000;2163475000;18511000;2018-06-30;2152000;18821
11669506000;0;888083000;2097539000;119487000;18821;9395071000;370150000;1068346000;24697000;21265000;0;8201890000;11669506000;49898000;2000563000;9571967000;2154948000;20539000;2018-09-30;3399000;18821
11057208000;0;436799000;1652204000;150314000;18821;8231494000;201240000;926552000;53429000;20032000;0;8167728000;11057208000;12752000;2002356000;9405004000;2675400000;22144000;2018-12-31;5356000;18821
11514032000;0;504925000;1465872000;294786000;18821;8590831000;224629000;707991000;50575000;23042000;0;8748573000;11514032000;47255000;2005164000;10048160000;2628415000;24164000;2019-03-31;2846000;18821
10971007000;0;151578000;852574000;510605000;18821;8310504000;210829000;533702000;45027000;27863000;0;9453890000;10971007000;313174000;1708177000;10118433000;2149898000;27340000;2019-06-30;3922000;18821
11343210000;0;115000;1085514000;496318000;18821;8742878000;218773000;586550000;39841000;30989000;0;9910987000;11343210000;348934000;1709248000;10257696000;2104014000;366312000;2019-09-30;7890000;18821
11523435000;0;106836000;1504304000;900980000;18821;8138788000;300906000;1215185000;35772000;40742000;0;9442013000;11523435000;779907000;2036038000;10019131000;2483667000;31689000;2019-12-31;7370000;18821
12457893000;0;133000;1539944000;1113610000;18821;8870518000;219652000;1373797000;37847000;55231000;0;10288285000;12457893000;1017270000;2039392000;10917949000;2473765000;34763000;2020-03-31;18951000;18821
13332007000;0;74516000;2207317000;1464670000;18821;8233369000;194881000;1986058000;38111000;55434000;0;10522398000;13332007000;1389071000;3192148000;11124690000;3633968000;15630000;2020-06-30;14562000;18821
13567395000;0;428323000;2142484000;1910292000;18821;7999700000;204381000;1560760000;43877000;56209000;0;10802309000;13567395000;1442228000;3196271000;11424911000;3657403000;17531000;2020-09-30;13679000;18821
13277776000;0;1402994000;3195981000;1413082000;18821;7741163000;198599000;1379282000;44329000;53784000;0;9736714000;13277776000;1275418000;3822830000;10081795000;4123531000;259221000;2020-12-31;15118000;18821
13636892000;0;976955000;1949398000;946944000;18821;8576584000;366685000;597591000;44102000;52968000;0;11300397000;13636892000;817831000;3712588000;11687494000;4113364000;260226000;2021-03-31;9125000;18821
13159632000;0;1607811000;1713587000;1168356000;18821;8207169000;344303000;7088000;43484000;51585000;0;11044912000;13159632000;1076084000;3538003000;11446045000;3784107000;19923000;2021-06-30;8597000;18821
14408535000;0;1175247000;1276817000;1355537000;18821;8522987000;370118000;2162000;43102000;50564000;0;12575091000;14408535000;1181764000;4386556000;13131718000;4530011000;20686000;2021-09-30;9306000;18821
16306975000;0;851759000;1207857000;1495259000;18821;8264762000;301038000;16430000;47720000;65021000;0;13871266000;16306975000;1158947000;6343888000;15099118000;6546954000;74820000;2021-12-31;21864000;18821
19954715000;0;959275000;1715687000;554969000;18821;11478863000;236369000;10383000;46955000;63844000;0;17726546000;19954715000;193970000;7697028000;18239028000;7920883000;489169000;2022-03-31;8006000;18821
20304342000;0;587523000;2068513000;602833000;18821;11692256000;312993000;538663000;51632000;62684000;0;17584486000;20304342000;272738000;7768178000;18235829000;8009253000;661235000;2022-06-30;10855000;18821
21093687000;0;1622141000;3026252000;1354152000;18821;12334278000;337456000;401287000;55286000;61160000;0;17374923000;21093687000;976007000;7213932000;18067435000;7405257000;719022000;2022-09-30;13602000;18821
