assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
3592786000;0;43598000;168034000;338820000;18953;1913899000;171014000;0;1810307000;228208000;0;1231942000;3592786000;277420000;1043402000;3424752000;1340067000;56796000;2009-12-31;16267000;18953
3982957000;0;295240000;407891000;756939000;18953;1908875000;179523000;0;1748680000;212174000;0;1570847000;3982957000;616212000;1028694000;3575066000;1317143000;56260000;2010-12-31;9429000;18953
4068825000;0;351917000;467689000;677075000;18953;1987361000;184130000;0;1732001000;207071000;0;1613428000;4068825000;537433000;1117966000;3601136000;1404389000;66208000;2011-03-31;10427000;18953
4658471000;0;979486000;1074545000;636111000;18953;1953331000;188239000;0;1714584000;203049000;0;1631727000;4658471000;544888000;1785085000;3583926000;2069029000;62554000;2011-06-30;10909000;18953
4461027000;0;237036000;336873000;197091000;18953;2312943000;190903000;0;1463987000;198571000;0;2432935000;4461027000;137919000;1698283000;4124154000;1950993000;52991000;2011-09-30;10616000;18953
4568025000;0;238695000;352959000;145016000;18953;2483750000;191222000;0;1450855000;193959000;0;2527694000;4568025000;84662000;1687711000;4215066000;1939259000;54443000;2011-12-31;15445000;18953
4665397000;0;320343000;417176000;176918000;18953;2561396000;197798000;0;1433845000;190043000;0;2580001000;4665397000;119991000;1680445000;4248221000;1927083000;56267000;2012-03-31;15728000;18953
4587469000;0;247289000;348717000;160287000;18953;2495483000;202227000;0;1417022000;186598000;0;2577716000;4587469000;64194000;1687879000;4238752000;1931699000;55942000;2012-06-30;12861000;18953
4537563000;0;203996000;291484000;150621000;18953;2461009000;207100000;0;1402536000;181975000;0;2604418000;4537563000;83233000;1686404000;4246079000;1925933000;55921000;2012-09-30;9620000;18953
4564216000;0;233549000;369586000;101131000;18953;2534388000;205091000;0;1386900000;177406000;0;2570891000;4564216000;32213000;1690964000;4194630000;1928697000;57628000;2012-12-31;10634000;18953
5520831000;0;320892000;454877000;135816000;18953;2374663000;1424383000;0;1370809000;173192000;0;3467033000;5520831000;81333000;2776913000;5065954000;3010352000;61552000;2013-03-31;12563000;18953
5546266000;0;379461000;498422000;576824000;18953;1956301000;1409931000;0;1354775000;169105000;0;3454124000;5546266000;487287000;2787791000;5047844000;3013141000;60227000;2013-06-30;15302000;18953
5659765000;0;418452000;543978000;163244000;18953;2021858000;1681291000;0;1338545000;165144000;0;3534190000;5659765000;95067000;3251874000;5115787000;3474663000;79893000;2013-09-30;16105000;18953
5717271000;0;416785000;613245000;124865000;18953;2116833000;1697195000;0;1319720000;160975000;0;3531967000;5717271000;50198000;3256344000;5104026000;3475573000;116791000;2013-12-31;32506000;18953
5878639000;0;594487000;736215000;122618000;18953;2197205000;1678850000;0;1303938000;156526000;0;3623913000;5878639000;83766000;3339630000;5142424000;3558816000;63606000;2014-03-31;13265000;18953
6475738000;0;1156569000;1346765000;432773000;18953;2048571000;1660970000;0;1289883000;152252000;0;3640914000;6475738000;335545000;3771732000;5128973000;3994394000;106987000;2014-06-30;69136000;18953
5839325000;0;485273000;706498000;587386000;18953;1924448000;1663985000;0;1275610000;148255000;0;3630633000;5839325000;363652000;3118018000;5132827000;3327491000;165386000;2014-09-30;79471000;18953
5861890000;0;361467000;640469000;482667000;18953;2035287000;2373551000;0;1260318000;144564000;0;3695332000;5861890000;339219000;3131919000;5221421000;3343936000;192905000;2014-12-31;118339000;18953
5851945000;0;413910000;588932000;414258000;18953;2036759000;2346871000;0;1244739000;140197000;0;3683619000;5851945000;371668000;3193356000;5263013000;3400928000;88666000;2015-03-31;16315000;18953
5598207000;0;161192000;327867000;146341000;18953;2062243000;2312450000;0;1228914000;135916000;0;3780270000;5598207000;71786000;3185048000;5270340000;3389623000;86689000;2015-06-30;49798000;18953
5807109000;0;197852000;401837000;211823000;18953;2122956000;2337207000;0;1218153000;131692000;0;3839255000;5807109000;102682000;3263881000;5405272000;3472330000;121105000;2015-09-30;81637000;18953
5984692000;0;195367000;533372000;324940000;18953;2169922000;2382761000;0;1205447000;127689000;0;3918595000;5984692000;81716000;3258116000;5451320000;3489830000;168873000;2015-12-31;112908000;18953
5945963000;0;241604000;596162000;620037000;18953;2216386000;2340429000;0;1192009000;124975000;0;3955224000;5945963000;461739000;2882802000;5349801000;3109540000;69505000;2016-03-31;19181000;18953
6079262000;0;407766000;666395000;1114076000;18953;2291462000;2307730000;0;1175883000;122565000;0;4021481000;6079262000;947200000;2440536000;5412867000;2673724000;75901000;2016-06-30;18523000;18953
