assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
1552940000;0;2475000;298352000;64782000;19330;1353335000;37625000;22554000;8901000;37176000;0;1140042000;1552940000;52906000;99281000;1254588000;134823000;33856000;2009-12-31;780000;19330
1685994000;0;2952000;297020000;120386000;19330;1370819000;37077000;25130000;8503000;44518000;0;1221029000;1685994000;77877000;194771000;1388974000;194789000;5557000;2010-12-31;668000;19330
1656981000;0;806000;277793000;103894000;19330;1379625000;35064000;6366000;9697000;46458000;0;1261657000;1656981000;57935000;173459000;1379188000;173462000;5407000;2011-03-31;1766000;19330
1890726000;0;180789000;466618000;149051000;19330;1379441000;32730000;12851000;10533000;63774000;0;1288228000;1890726000;80009000;351734000;1424108000;362234000;6456000;2011-06-30;2356000;19330
1859002000;0;56575000;356165000;138380000;19330;1353086000;2037000;19445000;10618000;63722000;0;1352639000;1859002000;33614000;357036000;1502837000;367536000;10629000;2011-09-30;802000;19330
1856014000;0;14241000;333759000;108477000;19330;1360542000;0;26523000;10704000;65456000;0;1374556000;1856014000;39928000;369974000;1522255000;386995000;26264000;2011-12-31;568000;19330
1832155000;0;27574000;318342000;100099000;19330;1376169000;-50000;6647000;10614000;68145000;0;1361207000;1832155000;53505000;330143000;1513813000;355887000;13107000;2012-03-31;701000;19330
2016347000;0;886000;305588000;413986000;19330;1366372000;-39000;13409000;10522000;73333000;0;1537403000;2016347000;73370000;196889000;1710759000;235989000;30037000;2012-06-30;991000;19330
1988747000;0;207000;321518000;396595000;19330;1342609000;-20000;20710000;10606000;149731000;0;1424811000;1988747000;48638000;206901000;1667229000;249543000;33909000;2012-09-30;1060000;19330
2662315000;0;39553000;697700000;85448000;19330;1843722000;25000;28389000;10701000;150926000;0;1717087000;2662315000;44565000;672882000;1964615000;733145000;45991000;2012-12-31;883000;19330
2718757000;0;9452000;673311000;93945000;19330;1862413000;116052000;0;10593000;151753000;0;1762131000;2718757000;55861000;686213000;2045446000;762399000;34070000;2013-03-31;285000;19330
2864025000;0;112017000;855835000;61548000;19330;2015117000;75978000;0;10581000;155323000;0;1713857000;2864025000;22019000;694033000;2008190000;787360000;88117000;2013-06-30;1998000;19330
3009667000;0;112455000;826033000;76863000;19330;2109303000;82675000;0;10491000;160339000;0;1855214000;3009667000;36435000;696954000;2183634000;823501000;60970000;2013-09-30;2390000;19330
2894288000;0;36108000;802173000;221729000;19330;1961844000;139491000;0;10386000;152883000;0;1839241000;2894288000;81708000;707016000;2092115000;710715000;95394000;2013-12-31;1466000;19330
3246350000;0;38736000;884694000;406350000;19330;2118503000;140657000;0;10312000;143231000;0;2116365000;3246350000;32199000;717702000;2361656000;721497000;95453000;2014-03-31;1822000;19330
3189807000;0;114798000;932112000;375513000;19330;2078118000;118575000;0;10263000;148930000;0;2070683000;3189807000;46505000;731699000;2257695000;736176000;67147000;2014-06-30;2030000;19330
3081597000;0;2163000;794289000;621906000;19330;1774230000;139587000;0;10166000;154441000;0;2096957000;3081597000;160938000;680616000;2287308000;685461000;67718000;2014-09-30;1326000;19330
2622689000;0;92144000;866683000;424332000;19330;1315140000;118676000;0;10110000;150129000;0;1558313000;2622689000;358128000;664016000;1756006000;883217000;101407000;2014-12-31;733000;19330
2806255000;0;14387000;674897000;492914000;19330;1403205000;159723000;0;10025000;147910000;0;1849876000;2806255000;248184000;686774000;2131358000;910136000;45209000;2015-03-31;1006000;19330
2735911000;0;2115000;660621000;469153000;19330;1301546000;138294000;0;9915000;150014000;0;1766281000;2735911000;227312000;743038000;2075290000;965212000;60249000;2015-06-30;646000;19330
2893206000;0;112274000;881758000;1367732000;19330;1291785000;119314000;0;10128000;151735000;0;1739445000;2893206000;1192666000;5935000;2011448000;233689000;2251000;2015-09-30;802000;19330
2221498000;0;109488000;192091000;479509000;19330;1342144000;124991000;0;10227000;125182000;0;1715341000;2221498000;399323000;192295000;2029407000;399845000;75453000;2015-12-31;4974000;19330
2171056000;0;50886000;76366000;418890000;19330;1311909000;133907000;12576000;10093000;127204000;0;1741253000;2171056000;350463000;232311000;2094690000;440257000;7710000;2016-03-31;4913000;19330
2124049000;0;8393000;38738000;487682000;19330;1223066000;140102000;0;9998000;122236000;0;1698735000;2124049000;343172000;199269000;2085311000;413301000;27351000;2016-06-30;4967000;19330
