assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
5890708000;0;42631000;2356015000;3048674000;19550;910994000;46722000;1112687000;563584000;483370000;211576000;1959801000;5890708000;1552959000;1663182000;3534693000;1931040000;707385000;2016-09-30;224108000;19550
6336826000;0;61431000;2571365000;2981740000;19550;996385000;0;1169909000;576494000;508549000;203358000;2104217000;6336826000;1437203000;2025484000;3765461000;2358701000;828221000;2016-12-31;268080000;19550
6117643000;0;46022000;1918212000;3221654000;19550;1201392000;0;728806000;716856000;499543000;202852000;2369161000;6117643000;1728456000;1305688000;4199431000;1694597000;745769000;2017-03-31;205639000;19550
5937942000;0;37815000;1660990000;3254858000;19550;1357635000;0;406936000;701094000;502744000;200579000;2463521000;5937942000;1836436000;930993000;4276952000;1325449000;721775000;2017-06-30;241956000;19550
11621459000;0;37379000;3617635000;2547178000;19550;1412555000;0;2322649000;703538000;491038000;235990000;6252662000;11621459000;1224081000;7260002000;8003824000;7661726000;799816000;2017-09-30;284380000;19550
11799904000;0;75704000;3544427000;4803307000;19550;1634746000;0;1948078000;706296000;474342000;192388000;6602469000;11799904000;3523061000;4932662000;8255477000;5361851000;994967000;2017-12-31;408849000;19550
11084996000;0;39539000;2629013000;2014317000;19550;1731629000;0;1128566000;689941000;456461000;261565000;6795327000;11084996000;933481000;6907340000;8455983000;7339050000;836536000;2018-03-31;282754000;19550
11505749000;0;43883000;2539206000;1596645000;19550;2253055000;0;713060000;675213000;447347000;220644000;7320133000;11505749000;667374000;7261523000;8966543000;7656049000;889172000;2018-06-30;272497000;19550
11889269000;0;47979000;2814078000;1952720000;19550;2502177000;0;714596000;662150000;445812000;234680000;7384013000;11889269000;941112000;7120577000;9075191000;7434372000;981765000;2018-09-30;297322000;19550
12488272000;0;95555000;2854117000;2461218000;19550;2574102000;0;923973000;667947000;452172000;199403000;7453362000;12488272000;1053680000;7080919000;9634155000;7452952000;1213999000;2018-12-31;412388000;19550
11676155000;0;42991000;2106370000;1747161000;19550;2733853000;0;428746000;682196000;445294000;278269000;7355014000;11676155000;621910000;6583099000;9569785000;7195141000;903797000;2019-03-31;316579000;19550
12024262000;0;64979000;2731268000;1955856000;19550;2699139000;0;800014000;676122000;455728000;261064000;7053814000;12024262000;744240000;6741171000;9292994000;7369267000;1068813000;2019-06-30;330735000;19550
12561897000;0;69607000;2666234975;1446570000;19550;3057944000;0;800448000;671880000;452770000;243338000;7366972000;12561897000;248238000;7419060000;9895662025;8057383000;997013000;2019-09-30;344177000;19550
13123536000;0;102141000;2615697000;1794140000;19550;3392677000;0;957433000;705576000;464911000;151274000;7826601000;13123536000;389198000;7315499000;10507839000;7936719000;1148328000;2019-12-31;470394000;19550
14890877000;0;78089000;2237291000;1332276000;19550;4757910000;0;513330000;698539000;445763000;243618000;9051469000;14890877000;188027000;8220471000;12653586000;8800691000;897898000;2020-03-31;348182000;19550
16546219000;0;336042000;3233545000;1784889000;19550;5740749000;0;1251756000;682960000;429181000;195064000;9556578000;16546219000;534319000;8436124000;13312674000;9020581000;1064784000;2020-06-30;365981000;19550
18234129000;0;317095000;4013764000;4328451000;19550;6864260000;0;1271620000;732144000;430095000;624422000;10094638000;18234129000;2458681000;6426075000;14220365000;7041418000;1336216000;2020-09-30;407296000;19550
18282684000;0;292202000;4173768000;4701347000;19550;6760462000;0;1479963000;727789000;482661000;493161000;10171363000;18282684000;2542433000;6065276000;14108916000;6820875000;1405856000;2020-12-31;559842000;19550
19134741000;0;275731000;3561542000;4076440000;19550;7805625000;0;1165303000;796602000;465780000;646709000;11212344000;19134741000;2466515000;6460934000;15573199000;7252676000;1017348000;2021-03-31;428232000;19550
18457467000;0;116874000;6325340000;4581857000;19550;6401485000;500000;3381298000;775668000;495483000;648439000;9847473000;18457467000;2483160000;6819046000;12132127000;7474125000;1093484000;2021-06-30;451636000;19550
17153992000;0;191302000;3736147000;2327612000;19550;7187699000;500000;1040302000;748175000;515703000;825175000;10602556000;17153992000;740927000;6950670000;13417845000;7638681000;888781000;2021-09-30;434507000;19550
18343998000;0;12595000;3665688000;2768767000;19550;7816896000;500000;1158112000;767909000;616947000;537519000;11456773000;18343998000;681437000;7088203000;14678310000;7758335000;1144483000;2021-12-31;589347000;19550
15653139000;0;41206000;3112066000;2504010000;19550;5765479000;508000;650326000;831446000;617722000;585762000;9739180000;15653139000;649912000;6242541000;12541073000;7383650000;927470000;2022-03-31;465166000;19550
16268176000;0;49502000;3412031000;2945387000;19550;5863145000;521000;669629000;815058000;623340000;579733000;9983288000;16268176000;426441000;6739780000;12856145000;7459644000;1133216000;2022-06-30;444781000;19550
16765447000;0;121543000;3729975000;2885528000;19550;5571165000;531000;884480000;792796000;626934000;615374000;9775496000;16765447000;134951000;7573221000;13035472000;8308754000;1180519000;2022-09-30;512049000;19550
