assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
3061635000;0;6314000;2236550000;231800000;19615;2772930000;-201000;1234952000;373602000;27369000;248139000;42854000;3061635000;41764000;56321000;825085000;56905000;683283000;2016-09-30;31150000;19615
3233823000;0;8184000;2443536000;256657000;19615;2921998000;72000;1288070000;376140000;27474000;236470000;45563000;3233823000;62920000;54638000;790287000;55168000;840944000;2016-12-31;39965000;19615
3468401000;0;5987000;2655368000;451487000;19615;2964309000;48000;1568022000;379643000;26845000;241058000;45517000;3468401000;137570000;52130000;813033000;52605000;774608000;2017-03-31;27762000;19615
3254297000;0;6455000;2477857000;239295000;19615;2964978000;0;1468249000;391373000;25946000;282075000;45437000;3254297000;70911000;49559000;776440000;50024000;643772000;2017-06-30;32914000;19615
3374630000;0;201142000;2675257000;270842000;19615;3056467000;0;1318987000;397384000;27839000;282830000;42485000;3374630000;59567000;47029000;699373000;47321000;797367000;2017-09-30;38596000;19615
3572444000;0;18240000;2815397000;320602000;19615;3217609000;0;1537477000;406950000;27040000;258317000;47181000;3572444000;89666000;33961000;757047000;34233000;934684000;2017-12-31;35387000;19615
3781466000;0;7383000;2838571000;517243000;19615;3232160000;0;1631236000;409506000;27672000;264789000;46617000;3781466000;171869000;31655000;942895000;32063000;860996000;2018-03-31;30749000;19615
3542078000;0;7125000;2627717000;312109000;19615;3198233000;0;1502586000;409242000;28512000;316319000;49762000;3542078000;112561000;30768000;914361000;31736000;682073000;2018-06-30;34165000;19615
3607175000;0;7245000;2697913000;298469000;19615;3279854000;0;1471206000;408769000;28238000;311502000;45228000;3607175000;69923000;28564000;909262000;28852000;829614000;2018-09-30;48011000;19615
3851070000;0;3081000;2896583000;359063000;19615;3465042000;0;1548914000;408515000;28253000;263934000;48253000;3851070000;126313000;26614000;954487000;26965000;1014909000;2018-12-31;41006000;19615
3974735000;0;1305000;3016377000;524013000;19615;3425862000;0;1900588000;405938000;28733000;254957000;44327000;3974735000;212981000;24418000;958358000;24860000;787778000;2019-03-31;31704000;19615
3713019000;0;3359000;2981048000;259528000;19615;3430816000;0;1907617000;402325000;28585000;295685000;42924000;3713019000;100249000;22183000;731971000;22675000;671309000;2019-06-30;29649000;19615
3866719000;0;1721000;2868755000;261259000;19615;3584887000;0;1703032000;396677000;28929000;285974000;50635000;3866719000;56100000;20089000;997964000;20573000;748317000;2019-09-30;35701000;19615
4437268000;0;5984000;2619833000;397506000;19615;4006699000;0;1314338000;391641000;29695000;258263000;73861000;4437268000;77110000;18082000;1737665000;33063000;931162000;2019-12-31;30296000;19615
4558719000;0;1353000;2660500000;602651000;19615;3925443000;0;1366805000;385810000;30146000;265999000;44762000;4558719000;213482000;15724000;1898219000;30625000;804617000;2020-03-31;22805000;19615
4252068000;0;2726000;2223497000;340854000;19615;3883040000;0;1253090000;381133000;31147000;266871000;44063000;4252068000;105548000;13197000;2028571000;28174000;452394000;2020-06-30;20362000;19615
4375933000;0;4746000;2689854000;357739000;19615;3994941000;0;1422994000;380176000;30970000;243077000;55664000;4375933000;5601000;8398000;1686079000;23253000;803892000;2020-09-30;53153000;19615
4571727000;0;5248000;3167485000;319012000;19615;4230168000;0;1483706000;386766000;33044000;295919000;60401000;4571727000;577000;9244000;1404242000;22547000;1182305000;2020-12-31;78163000;19615
4658555000;0;2339000;3251951000;682123000;19615;3957841000;0;1676902000;390332000;35280000;428464000;88769000;4658555000;4716000;5084000;1406604000;18591000;961767000;2021-03-31;78804000;19615
4128203000;0;2894000;2700163000;193102000;19615;3903244000;0;1419874000;390902000;35113000;444685000;97738000;4128203000;4849000;5583000;1428040000;31857000;622621000;2021-06-30;48066000;19615
4345764000;0;1517000;3090151000;243125000;19615;4080982000;0;1558468000;391681000;36799000;467240000;140811000;4345764000;5032000;6161000;1255613000;21657000;866387000;2021-09-30;54955000;19615
4461541000;0;5353000;2998991000;348361000;19615;4094330000;0;1299827000;404275000;38570000;449949000;351767000;4461541000;117479000;6806000;1462550000;18850000;1056801000;2021-12-31;49348000;19615
4522937000;0;6685000;2788849000;378804000;19615;4124614000;0;1301416000;413261000;50216000;459151000;350278000;4522937000;102932000;6910000;1734088000;19519000;837852000;2022-03-31;47334000;19615
4415852000;0;1111000;2618253000;275450000;19615;4121051000;0;1160663000;432838000;51421000;497408000;405040000;4415852000;54278000;7235000;1797599000;19351000;754548000;2022-06-30;53033000;19615
4663131000;0;1548000;2872978000;376815000;19615;4269370000;0;1146340000;453374000;53075000;479312000;429833000;4663131000;88942000;7620000;1790153000;16946000;1011691000;2022-09-30;66647000;19615
