assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
4792959000;0;286066000;1296984000;653121000;19623;2875820000;929000;237293000;737459000;342517000;54499000;2246932000;4792959000;222894000;970578000;3495975000;1264018000;511662000;2016-09-30;130937000;19623
5061050000;0;230876000;1333229000;899993000;19623;2860034000;1010000;370619000;775028000;2198557000;72460000;597945000;5061050000;369590000;968951000;3727821000;1301023000;463209000;2016-12-31;252863000;19623
4937569000;0;235918000;1269573000;784448000;19623;2938889000;1127000;179708000;756716000;2187405000;87099000;567437000;4937569000;354998000;888183000;3667996000;1214232000;612353000;2017-03-31;186863000;19623
4997991000;0;233171000;1309656000;854109000;19623;2945414000;963000;219263000;801734000;2198864000;94032000;576083000;4997991000;374899000;840385000;3688335000;1198468000;589954000;2017-06-30;220962000;19623
5755368000;0;158422000;1321181000;1016802000;19623;3016957000;1125000;283563000;819844000;2199902000;82893000;1258959000;5755368000;383947000;1241677000;4434187000;1721609000;627909000;2017-09-30;202516000;19623
5981410000;0;321723000;1152813000;1281403000;19623;3335463000;-15515000;80964000;844969000;2204588000;66724000;1492442000;5981410000;569643000;1119953000;4828597000;1364544000;517533000;2017-12-31;264552000;19623
6362349000;0;269362000;1513631000;1053619000;19623;3418354000;-15281000;362266000;867173000;2242503000;62634000;1461802000;6362349000;531488000;1647927000;4848718000;1890376000;631279000;2018-03-31;249486000;19623
6390908000;0;224647000;1557944000;1289744000;19623;3465527000;-14206000;344398000;876868000;2227261000;71182000;1509022000;6390908000;751861000;1411635000;4832964000;1635637000;685130000;2018-06-30;220049000;19623
6528495000;0;156790000;1417079000;1331444000;19623;3541308000;-14991000;195137000;873685000;2262986000;68348000;1754964000;6528495000;747146000;1413202000;5111416000;1655743000;758778000;2018-09-30;233455000;19623
7115629000;0;237201000;1742978000;1323842000;19623;3336637000;-15220000;535711000;910295000;2500183000;70925000;1630437000;7115629000;446674000;2093257000;5372651000;2455150000;642720000;2018-12-31;313715000;19623
8189689000;0;278926000;1514233000;1246932000;19623;3486279000;-13312000;127639000;945930000;3711309000;76464000;1691964000;8189689000;448762000;2016255000;6675456000;3456478000;764809000;2019-03-31;282868000;19623
8010000000;0;144806000;1293923000;1108708000;19623;3527266000;-11305000;56106000;984263000;3653499000;81234000;1766479000;8010000000;226637000;2015420000;6716077000;3374026000;773532000;2019-06-30;286896000;19623
8704428000;0;169302000;1769857000;1329641000;19623;3569134000;-9931000;449153000;1023812000;3626827000;78681000;2013995000;8704428000;366891000;2280519000;6934571000;3805653000;822179000;2019-09-30;293769000;19623
8619309000;0;413069000;1762524000;1398321000;19623;3272228000;-8846000;293855000;1957094000;2520589000;81647000;1980124000;8619309000;216434000;2590111000;6856785000;3948760000;772298000;2019-12-31;323173000;19623
9126505000;0;80996000;1443245000;1295073000;19623;4018654000;-9589000;245753000;1890359000;2530332000;93147000;2796301000;9126505000;221746000;2588054000;7683260000;3812778000;788796000;2020-03-31;266945000;19623
9803438000;0;553568000;2047587000;1232532000;19623;3872414000;-5781000;556924000;1858669000;2543368000;152483000;2856476000;9803438000;252914000;3565688000;7755851000;4698492000;523221000;2020-06-30;279014000;19623
9897598000;0;117665000;2139482000;1522288000;19623;3896015000;-4843000;711296000;1820714000;2586131000;150373000;2814505000;9897598000;254854000;3433164000;7758116000;4479295000;818668000;2020-09-30;363314000;19623
10549532000;0;143045000;2180166000;1856960000;19623;3536231000;297000;740916000;1880551000;2616003000;169841000;3408761000;10549532000;191344000;4021256000;8369366000;5156341000;903728000;2020-12-31;535942000;19623
11106390000;0;229640000;2324596000;2783745000;19623;3527319000;1735000;796627000;1886747000;2635454000;200191000;3699071000;11106390000;1008060000;3726750000;8781794000;4795326000;825339000;2021-03-31;486109000;19623
14570465000;0;351896000;5103962000;3312519000;19623;7265197000;31443000;3244745000;1863460000;2672930000;175069000;4215707000;14570465000;1730596000;2990346000;9466503000;3992749000;1047389000;2021-06-30;454206000;19623
14218131000;0;54618000;2947670000;3086317000;19623;7418662000;33613000;1302062000;2055884000;2665594000;162252000;5843113000;14218131000;1270060000;2856382000;11270461000;3713152000;1146385000;2021-09-30;483077000;19623
16609595000;0;193762000;3834477000;3623297000;19623;7542288000;6230000;2434350000;2117501000;2749472000;140935000;7129930000;16609595000;1453888000;4673681000;12775118000;5444010000;708971000;2021-12-31;601993000;19623
18166830000;0;36877000;3205834000;3564854000;19623;7573556000;4856000;1837565000;2111787000;2747658000;153541000;9181580000;18166830000;1615021000;6370499000;14960996000;7028420000;861004000;2022-03-31;476358000;19623
18983707000;0;55884000;3284751000;2629939000;19623;7471901000;13278000;1741686000;2056157000;2793875000;154664000;9813272000;18983707000;531623000;8249411000;15698956000;8881867000;909167000;2022-06-30;478138000;19623
19159043000;0;149418000;2807290000;2842672000;19623;7352804000;28419000;1138943000;2276905000;2833772000;152573000;10096392000;19159043000;720857000;8238255000;16351753000;8963567000;943996000;2022-09-30;524551000;19623
