assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
53670342000;"";"";11305005000;2219977000;19640;3350150000;"";"";"";"";"";"";53670342000;"";"";"";"";"";2009-12-31;"";19640
64211836000;"";"";15712182000;5619536000;19640;8793225000;"";"";"";"";"";"";64211836000;"";"";"";"";"";2010-12-31;"";19640
65905208000;"";"";28374992000;5664872000;19640;8985864000;"";"";"";"";"";"";65905208000;"";"";"";"";"";2011-03-31;"";19640
74013359000;"";"";26360816000;6718256000;19640;9092725000;"";"";"";"";"";"";74013359000;"";"";"";"";"";2011-06-30;"";19640
76221166000;"";"";27249084000;7108769000;19640;9090993000;"";"";"";"";"";"";76221166000;"";"";"";"";"";2011-09-30;"";19640
77763491000;"";"";28327025000;6848486000;19640;9378120000;"";"";"";"";"";"";77763491000;"";"";"";"";"";2011-12-31;"";19640
79494091000;"";"";51295619000;6932351000;19640;9555653000;"";"";"";"";"";"";79494091000;"";"";"";"";"";2012-03-31;"";19640
75973166000;"";"";52572571000;2107765000;19640;9633220000;"";"";"";"";"";"";75973166000;"";"";"";"";"";2012-06-30;"";19640
77229670000;"";"";63923688000;1931725000;19640;9774620000;"";"";"";"";"";"";77229670000;"";"";"";"";"";2012-09-30;"";19640
76952997000;"";"";62302281000;2014659000;19640;4321857000;"";"";"";"";"";"";76952997000;"";"";"";"";"";2012-12-31;"";19640
73248041000;"";"";63505886000;1991964000;19640;4407489000;"";"";"";"";"";"";73248041000;"";"";"";"";"";2013-03-31;"";19640
75715904000;"";"";63162505000;2016835000;19640;4459149000;"";"";"";"";"";"";75715904000;"";"";"";"";"";2013-06-30;"";19640
75364202000;"";"";64861509000;1925533000;19640;4553162000;"";"";"";"";"";"";75364202000;"";"";"";"";"";2013-09-30;"";19640
83135787000;"";"";73372525000;1759152000;19640;4563677000;"";"";"";"";"";"";83135787000;"";"";"";"";"";2013-12-31;"";19640
84782807000;"";"";75587980000;1487135000;19640;4652859000;"";"";"";"";"";"";84782807000;"";"";"";"";"";2014-03-31;"";19640
84940919000;"";"";76034338000;1559044000;19640;2899051000;"";"";"";"";"";"";84940919000;"";"";"";"";"";2014-06-30;"";19640
85739077000;"";"";77702287000;1557132000;19640;2922799000;"";"";"";"";"";"";85739077000;"";"";"";"";"";2014-09-30;"";19640
89917512000;"";"";82221713000;1128300000;19640;2983225000;"";"";"";"";"";"";89917512000;"";"";"";"";"";2014-12-31;"";19640
84027613000;"";"";76643330000;1083953000;19640;2987878000;"";"";"";"";"";"";84027613000;"";"";"";"";"";2015-03-31;"";19640
84677202000;"";"";77725183000;6862050000;19640;3041438000;"";"";"";"";"";"";84677202000;"";"";"";"";"";2015-06-30;"";19640
85208037000;"";"";78498287000;5628338000;19640;3103487000;"";"";"";"";"";"";85208037000;"";"";"";"";"";2015-09-30;"";19640
97688085000;"";"";91361903000;7574669000;19640;3097832000;"";"";"";"";"";"";97688085000;"";"";"";"";"";2015-12-31;"";19640
103192295000;"";"";97312700000;7170414000;19640;3151836000;"";"";"";"";"";"";103192295000;"";"";"";"";"";2016-03-31;"";19640
102402806000;"";"";96729083000;755365000;19640;3168215000;"";"";"";"";"";"";102402806000;"";"";"";"";"";2016-06-30;"";19640
