assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
75791000;0;20000;24780000;67929000;19658;-3163000;0;0;6734000;46000;10913000;40339000;75791000;28002000;134000;51011000;11025000;4284000;2016-09-30;13088000;19658
51589000;0;62000;22872000;49966000;19658;-41681000;0;0;5799000;45000;9214000;17584000;51589000;4754000;15920000;28717000;43304000;560000;2016-12-31;15128000;19658
64958000;0;82000;36295000;62724000;19658;-42092000;0;0;5644000;44000;18530000;17593000;64958000;10764000;16455000;28663000;44326000;6621000;2017-03-31;20547000;19658
53006000;0;25000;24417000;56762000;19658;-45659000;0;0;5519000;43000;12524000;17593000;53006000;8907000;16906000;28589000;41903000;4115000;2017-06-30;20504000;19658
34737;0;72;10629;48699;19658;-56062;0;0;2244;42;6115;17593;34737;5802;17370;24108;42100;603;2017-09-30;10465;19658
30191000;0;59000;6366000;48906000;19658;-61733000;0;0;2020000;41000;5422000;17593000;30191000;4729000;17841000;23825000;43018000;69000;2017-12-31;6060000;19658
30132000;0;0;6586000;68820000;19658;-63130000;0;0;1914000;41000;5504000;17589000;30132000;22432000;0;23546000;24442000;565000;2018-03-31;4936000;19658
8766000;0;30000;2911000;49534000;19658;-67288000;0;0;1680000;39000;1896000;142000;8766000;4610000;0;5855000;26520000;540000;2018-06-30;4327000;19658
7123000;0;7000;1944000;38231000;19658;-65189000;0;0;1390000;39000;1335000;1000;7123000;501000;4643000;5179000;34081000;171000;2018-09-30;84000;19658
6162000;0;3000;2836000;50932000;19658;-68564000;0;0;1342000;38000;2369000;1000;6162000;6425000;6671000;3326000;23794000;113000;2018-12-31;3696000;19658
7275000;0;44000;3971000;63524000;19658;-68246000;0;0;1345000;37000;3319000;1000;7275000;11925000;2404000;3304000;11997000;246000;2019-03-31;4124000;19658
4787000;0;32000;1518000;61367000;19658;-69329000;0;0;1297000;37000;1016000;1000;4787000;10238000;2302000;3269000;12749000;100000;2019-06-30;3651000;19658
6409000;0;801000;2870000;63620000;19658;-68253000;0;0;1269000;37000;1369000;1000;6409000;9418000;2542000;3539000;11042000;0;2019-09-30;3979000;19658
6057000;0;78000;2782000;63781000;19658;-67972000;0;0;1217000;1000;2284000;1000;6057000;8494000;2355000;3275000;10248000;0;2019-12-31;4499000;19658
5987000;0;120000;2784000;65004000;19658;-67585000;0;0;1148000;0;2223000;0;5987000;8482000;2912000;3203000;8568000;35000;2020-03-31;3891000;19658
5843000;0;14000;2768000;64560000;19658;-66169000;0;0;1076000;0;2155000;1000;5843000;6960000;1490000;3075000;7452000;0;2020-06-30;3672000;19658
7327000;0;8000;2790000;65693000;19658;-64884000;0;0;951000;0;2182000;1222000;7327000;6959000;1448000;4537000;6518000;43000;2020-09-30;3647000;19658
8671000;0;49000;3230000;68560000;19658;-65813000;0;0;920000;0;2688000;2511000;8671000;7822000;894000;5441000;5924000;0;2020-12-31;3968000;19658
10403000;0;54000;3716000;70365000;19658;-66288000;0;0;873000;0;3052000;3057000;10403000;7900000;1627000;6687000;6326000;140000;2021-03-31;3832000;19658
11831000;0;19000;3325000;71532000;19658;-65710000;0;0;830000;0;2506000;4849000;11831000;7822000;1325000;8506000;6009000;182000;2021-06-30;3818000;19658
14014000;0;78000;3344000;74024000;19658;-64752000;0;0;749000;0;2453000;7184000;14014000;9500000;288000;10670000;4742000;257000;2021-09-30;3948000;19658
15005000;0;5000;4236000;75893000;19658;-65240000;0;0;708000;0;2989000;8032000;15005000;9023000;392000;10769000;4352000;0;2021-12-31;4040000;19658
16704000;0;23000;4232000;75767000;19658;-63392000;0;0;670000;0;1935000;9818000;16704000;8779000;392000;12472000;4329000;1805000;2022-03-31;4011000;19658
14346000;0;4000;1058000;75396000;19658;-65360000;0;0;609000;0;572000;10747000;14346000;8740000;392000;13288000;4310000;0;2022-06-30;3851000;19658
14141000;0;1000;1505000;78393000;19658;-68217000;0;0;568000;0;1105000;10264000;14141000;8740000;392000;12636000;3965000;0;2022-09-30;4319000;19658
