assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
2182053000;0;198985000;387036000;516072000;19852;593936000;"";47000;849726000;23000;1209000;741159000;2182053000;341937000;1057554000;1795017000;1072045000;155378000;2016-09-30;166246000;19852
2176595000;0;256187000;390139000;725830000;19852;636515000;"";24376000;851392000;23000;1209000;770570000;2176595000;534116000;804956000;1786456000;814250000;30391000;2016-12-31;115798000;19852
2195520000;0;173000;370467000;703284000;19852;674569000;"";118769000;862840000;23000;1209000;801053000;2195520000;573352000;806403000;1825053000;817667000;157634000;2017-03-31;80449000;19852
2491241000;0;160000;680735000;603844000;19852;702184000;"";409002000;844122000;23000;1208000;744876000;2491241000;473446000;1173077000;1810506000;1185213000;181651000;2017-06-30;72410000;19852
2532309000;0;399262000;837079000;703929000;19852;670043000;"";0;837690000;23000;1208000;690661000;2532309000;505657000;1142084000;1695230000;1158337000;263707000;2017-09-30;118662000;19852
2452511000;0;282571000;744583000;581720000;19852;724253000;"";0;864448000;23000;0;688976000;2452511000;408265000;1128271000;1707928000;1146538000;302435000;2017-12-31;130012000;19852
2561030000;0;395393000;856104000;640840000;19852;807019000;"";0;862511000;23000;0;696461000;2561030000;425911000;1100643000;1704926000;1113171000;229480000;2018-03-31;159791000;19852
2479154000;0;358321000;781756000;570006000;19852;821155000;"";0;864352000;23000;0;694860000;2479154000;406391000;1074213000;1697398000;1087993000;165770000;2018-06-30;124637000;19852
2508345000;0;362193000;799910000;392525000;19852;821241000;"";0;876223000;23000;0;697257000;2508345000;214651000;1279141000;1708435000;1294579000;179091000;2018-09-30;133691000;19852
2265329000;0;247348000;580017000;355094000;19852;783660000;"";0;870238000;23000;0;671199000;2265329000;238123000;1105187000;1685312000;1126575000;149971000;2018-12-31;73397000;19852
2338782000;0;256570000;601988000;377296000;19852;822613000;"";0;916216000;23000;0;667105000;2338782000;251291000;1107124000;1736794000;1138873000;174265000;2019-03-31;89051000;19852
2430501000;0;312417000;685230000;392854000;19852;827993000;"";0;925658000;28000;0;660230000;2430501000;249005000;1176568000;1745271000;1209654000;188314000;2019-06-30;87646000;19852
2462730000;0;290849000;688558000;359021000;19852;872772000;"";0;946884000;441000;0;656600000;2462730000;218496000;1196691000;1774172000;1230937000;206490000;2019-09-30;106664000;19852
2260028000;0;221384000;540917000;248419000;19852;868360000;"";0;930936000;317000;0;644171000;2260028000;96811000;1107485000;1719111000;1143249000;223986000;2019-12-31;105255000;19852
2417120000;0;264992000;654745000;282495000;19852;972099000;"";0;938171000;316000;0;647194000;2417120000;155189000;1125988000;1762375000;1162526000;203033000;2020-03-31;94666000;19852
2448876000;0;218291000;663921000;326636000;19852;941385000;"";0;963137000;313000;0;636396000;2448876000;148624000;1141676000;1784955000;1180855000;211890000;2020-06-30;113960000;19852
2472797000;0;246012000;681813000;347175000;19852;984301000;"";0;974175000;10000;0;626708000;2472797000;205902000;1102749000;1790984000;1141321000;211890000;2020-09-30;116143000;19852
2353002000;0;234196000;627011000;452638000;19852;966954000;"";0;975592000;8000;0;620868000;2353002000;291819000;894184000;1725991000;933410000;249518000;2020-12-31;106682000;19852
2409118000;0;279331000;668741000;434854000;19852;1068262000;"";0;972629000;6000;0;640116000;2409118000;309853000;863723000;1740377000;906002000;217276000;2021-03-31;75846000;19852
2430968000;0;56445000;529989000;635774000;19852;947640000;"";0;982729000;4000;0;607195000;2430968000;392694000;742731000;1900979000;847554000;278214000;2021-06-30;119339000;19852
2538783000;0;195232000;783763000;611716000;19852;1142139000;"";0;984581000;7000;0;626690000;2538783000;422780000;701466000;1755020000;784928000;322084000;2021-09-30;124267000;19852
2201379000;0;74804000;488710000;489522000;19852;1091040000;"";0;998542000;139000;0;612154000;2201379000;328052000;598511000;1712669000;620817000;271980000;2021-12-31;84508000;19852
2324783000;0;223004000;622822000;503151000;19852;1244198000;"";0;987407000;123000;0;614335000;2324783000;307908000;548861000;1701961000;577434000;264877000;2022-03-31;58789000;19852
2420867000;0;321549000;790872000;604564918;19852;1242767000;"";0;980661000;176000;0;558342000;2420866918;221353000;549176000;1629995000;573535000;306018000;2022-06-30;88128000;19852
2411410000;0;401423000;789565000;416848000;19852;1466997059;"";0;971636000;192000;0;557708000;2411410059;239397000;499462000;1621845000;527565000;273365000;2022-09-30;72976000;19852
