assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
3822111000;0;129882000;283357000;911177000;20192;950954000;"";0;90426000;2132783000;0;0;3822111000;566832000;1500426000;3538754000;1959980000;134001000;2016-09-30;31232000;20192
3971797000;0;252493000;409480000;882885000;20192;487384000;"";0;91874000;2121283000;0;0;3971797000;602805000;2140198000;3562317000;2601528000;124461000;2016-12-31;33854000;20192
4029493000;0;263768000;416311000;1559056000;20192;636798000;"";0;88159000;2120096000;0;0;4029493000;1322832000;1363279000;3613182000;1833639000;123455000;2017-03-31;30083000;20192
3916940000;0;108438000;266424000;1568952000;20192;664744000;"";0;80558000;2116139000;0;0;3916940000;1384912000;1206761000;3650516000;1683244000;124675000;2017-06-30;24293000;20192
3938848000;0;67513000;239409000;646893000;20192;860767000;"";0;75629000;2113198000;0;0;3938848000;407375000;1954778000;3699439000;2431188000;134739000;2017-09-30;30251000;20192
4071649000;0;10732000;523107000;1029597000;20192;484836000;"";178386000;73954000;2099422000;0;0;4071649000;806435000;2082193000;3548542000;2557216000;128933000;2017-12-31;25683000;20192
4103541000;0;11845000;554316000;1005701000;20192;496658000;"";167088000;69937000;2092830000;0;0;4103541000;830805000;2116962000;3549225000;2601182000;134916000;2018-03-31;25967000;20192
4089375000;0;105084000;600559000;841018000;20192;631609000;"";99851000;67711000;2063332000;0;0;4089375000;675649000;2127739000;3488816000;2616748000;128736000;2018-06-30;28346000;20192
4628008000;0;29876000;1207401000;864342000;20192;805066000;"";771747000;65964000;2031700000;0;0;4628008000;658604000;2467341000;3420607000;2958600000;136450000;2018-09-30;24340000;20192
3668683000;0;12240000;440271000;1202337000;20192;474668000;"";20883000;64495000;1986251000;0;0;3668683000;724618000;1803819000;3228412000;1991678000;130165000;2018-12-31;24676000;20192
3619286000;0;10079000;480607000;1133720000;20192;466242000;"";57862000;61131000;1939788000;0;0;3619286000;731223000;1831173000;3138679000;2019324000;134165000;2019-03-31;19949000;20192
3844729000;0;11915000;795302000;1159194000;20192;638263000;"";369330000;59891000;1891594000;0;0;3844729000;735502000;1859944000;3049427000;2047272000;137210000;2019-06-30;22803000;20192
4127675000;0;485438000;1177752000;1221008000;20192;841081000;"";255324000;55936000;1836208000;0;0;4127675000;736351000;1881527000;2949923000;2065586000;152463000;2019-09-30;23703000;20192
3562571000;0;13509000;705711000;1151484000;20192;499485000;"";368837000;53464000;1785774000;0;0;3562571000;923193000;1772096000;2856860000;1911602000;152215000;2019-12-31;23160000;20192
3673542000;0;79409000;903596000;1058383000;20192;690590000;"";521073000;51556000;1740612000;0;0;3673542000;931311000;1788195000;2769946000;1924569000;136106000;2020-03-31;19852000;20192
3585092000;0;6708000;909042000;1103625000;20192;619095000;"";608963000;49073000;1689146000;0;0;3585092000;942536000;1726517000;2676050000;1862372000;126606000;2020-06-30;19920000;20192
4222923000;0;1019482000;1644137000;1490998000;20192;808153000;"";300308000;46004000;1634978000;0;0;4222923000;1280560000;1790156000;2578786000;1923772000;152678000;2020-09-30;23384000;20192
3098277000;0;254892000;612624000;711922000;20192;500221000;"";40547000;45834000;1582308000;0;0;3098277000;479913000;1755474000;2485653000;1886134000;147256000;2020-12-31;24000000;20192
3192106000;0;363059000;795136000;606563000;20192;680138000;"";111524000;42402000;1537072000;0;0;3192106000;479973000;1776899000;2396970000;1905405000;155063000;2021-03-31;25568000;20192
3429000000;0;390645000;884457000;981656000;20192;584157000;"";167287000;39831000;1727156000;0;0;3429000000;496241000;1737305000;2544543000;1863187000;162043000;2021-06-30;29205000;20192
3006739000;0;208681000;563785000;1204656000;20192;792750000;"";0;38643000;1666887000;0;0;3006739000;1016131000;884344000;2442954000;1009333000;183870000;2021-09-30;26502000;20192
2830490000;0;119778000;486882000;360779000;20192;494844000;"";19751000;38908000;1607455000;0;0;2830490000;143828000;1834321000;2343608000;1974867000;175730000;2021-12-31;24936000;20192
8297434000;0;384635000;688630000;361555000;20192;4166733000;"";49981000;36464000;6806897000;0;0;8297434000;198263000;1834569000;7608804000;3769146000;194474000;2022-03-31;35598000;20192
8273418000;0;453834000;756798000;376413000;20192;4180158000;"";47243000;35816000;6727359000;0;0;8273418000;153511000;1780974000;7516620000;3716847000;195545000;2022-06-30;28171000;20192
7968770000;0;232222000;542360000;553465000;20192;3364519000;"";5793000;39217000;6646060000;0;0;7968770000;225561000;2110624000;7426410000;4050786000;235405000;2022-09-30;25150000;20192
