assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
8662723000;0;216948000;2009044000;538636000;20257;4312764000;0;0;21045000;20961000;0;2400733000;8662723000;410332000;3216512000;6653679000;3811323000;175369000;2016-09-30;13929000;20257
8287662000;0;100299000;1791786000;1053274000;20257;4307588000;0;0;21519000;25166000;0;2397872000;8287662000;906909000;2368854000;6495876000;2926800000;164516000;2016-12-31;28399000;20257
8558106000;0;202170000;2156732000;1113172000;20257;4508955000;0;0;21015000;25330000;0;2432126000;8558106000;961179000;2377197000;6401374000;2935979000;167267000;2017-03-31;16957000;20257
8285984000;0;69150000;2099082000;1184302000;20257;4228113000;0;0;20048000;25615000;0;2404821000;8285984000;998348000;2400810000;6186902000;2873569000;162517000;2017-06-30;12075000;20257
8325233000;0;41665000;2305270000;1260568000;20257;4255551000;0;0;21783000;26820000;0;2357703000;8325233000;1048143000;2393169000;6019963000;2809114000;153546000;2017-09-30;14199000;20257
7923541000;0;56578000;1744660000;616295000;20257;4347552000;0;0;23277000;35732000;0;2542867000;7923541000;399319000;2593595000;6178881000;2959694000;162093000;2017-12-31;26077000;20257
8128807000;0;77043000;1835738000;599133000;20257;4564829000;0;0;22936000;38480000;0;2658456000;8128807000;426924000;2610947000;6293069000;2964845000;163739000;2018-03-31;15360000;20257
8062662000;0;96123000;1807235000;655390000;20257;4410910000;0;0;22778000;42663000;0;2713852000;8062662000;467757000;2673102000;6255427000;2996362000;152919000;2018-06-30;16872000;20257
8767721000;0;209234000;2395655000;670922000;20257;4514280000;0;0;22639000;50161000;0;2752100000;8767721000;491601000;3222971000;6372066000;3582519000;142564000;2018-09-30;20570000;20257
8429581000;0;19480000;1679363000;606003000;20257;4572052000;0;0;23218000;65828000;0;3062649000;8429581000;425823000;2864336000;6750218000;3251526000;148314000;2018-12-31;35262000;20257
8798326000;0;19602000;2030794000;767818000;20257;4731634000;0;0;59445000;65475000;0;3105784000;8798326000;465932000;2921639000;6767532000;3298874000;136061000;2019-03-31;15843000;20257
9950847000;0;19962000;2871606000;680600000;20257;4884021000;22024000;0;52911000;71924000;0;3376470000;9950847000;514583000;3981068000;7079241000;4386226000;136436000;2019-06-30;28527000;20257
10270189000;0;18764000;2830231000;1069049000;20257;4997130000;0;0;55883000;71963000;0;3567606000;10270189000;808124000;3726284000;7439958000;4204010000;122453000;2019-09-30;34613000;20257
10155646000;0;75395000;2736401000;925980000;20257;4926795000;0;0;54657000;78648000;0;3659377000;10155646000;739821000;3827499000;7419245000;4302871000;117747000;2019-12-31;48026000;20257
11037314000;0;188682000;2309808000;947218000;20257;5304289000;0;0;53855000;80596000;0;4816264000;11037314000;789714000;4255484000;8727506000;4785807000;119404000;2020-03-31;25882000;20257
12099522000;0;1315937000;3118031000;1069788000;20257;5412412000;0;0;53512000;82825000;0;5048666000;12099522000;920109000;5055301000;8981491000;5617322000;116596000;2020-06-30;22766000;20257
12315079000;0;1441440000;2722313000;793961000;20257;5768370000;0;0;52480000;85465000;0;5469557000;12315079000;644873000;5102251000;9592766000;5752748000;151631000;2020-09-30;15908000;20257
12441479000;0;664932000;1973694000;719643000;20257;6025904000;0;0;72453000;89547000;0;5952339000;12441479000;440712000;4898601000;10467785000;5695932000;157782000;2020-12-31;36858000;20257
13285016000;0;647996000;2063518000;746737000;20257;6598211000;0;0;76505000;89492000;0;6417347000;13285016000;491577000;5019163000;11221498000;5940068000;167480000;2021-03-31;24356000;20257
13428559000;0;587234000;2167311000;991345000;20257;6378766000;0;0;80310000;89851000;0;6224496000;13428559000;844084000;4985027000;11261248000;6058448000;125552000;2021-06-30;24157000;20257
14147279000;0;753409000;2298659000;1031413000;20257;6925829000;0;0;86097000;94825000;0;6752697000;14147279000;875857000;5115383000;11848620000;6190037000;154954000;2021-09-30;19311000;20257
13830180000;0;179771000;1763950000;1150286000;20257;6684756000;0;0;84203000;98782000;0;7009221000;13830180000;821065000;4931061000;12066230000;5995138000;148628000;2021-12-31;43702000;20257
15333709000;0;1232515000;2921684000;1226834000;20257;7244803000;0;0;90131000;98819000;0;7310850000;15333709000;936368000;5715325000;12412025000;6862072000;142724000;2022-03-31;21803000;20257
16076413000;0;1556261000;3165387000;1142036000;20257;7154162000;0;0;94545000;101301000;0;7835945000;16076413000;998042000;6559350000;12911026000;7780215000;159061000;2022-06-30;26364000;20257
15736339000;0;1178095000;2708794000;848079000;20257;6950930000;0;0;127310000;109680000;0;7967371000;15736339000;682429000;6730741000;13027545000;7937330000;162673000;2022-09-30;27204000;20257
