assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
8655254000;0;246201000;2789985000;3791617000;20303;2094605000;"";0;0;2582128000;20047000;5726000;8655254000;1751463000;864956000;5865269000;2769032000;1794500000;2009-12-31;608903000;20303
9599562000;0;503409000;3117861000;2404528000;20303;2376899000;"";0;0;2652214000;21318000;5717000;9599562000;410743000;2636252000;6481701000;4818135000;1770557000;2010-12-31;770139000;20303
9880858000;0;464450000;3195732000;2388271000;20303;2520498000;"";0;0;2772309000;22985000;5715000;9880858000;477916000;2637118000;6685126000;4972089000;1849778000;2011-03-31;768362000;20303
10508859000;0;681488000;3437715000;3700579000;20303;2690366000;"";0;0;3094145000;27407000;0;10508859000;1689268000;1670989000;7071144000;4117914000;1836858000;2011-06-30;751482000;20303
11074880000;0;951885000;3825428000;2709506000;20303;2804938000;"";0;0;3151117000;26254000;0;11074880000;521930000;2973596000;7249452000;5560436000;1887225000;2011-09-30;806843000;20303
10734530000;0;527296000;2933139000;2604761000;20303;2656463000;"";5000000;0;2703687000;26671000;0;10457953000;626000000;2885222000;7801391000;5473306000;1849340000;2011-12-31;753131000;20303
11047310000;0;559457000;3087082000;2882626000;20303;2809660000;"";11146000;0;2303695000;32172000;0;11047310000;753365000;2840869000;7960228000;5355024000;1825223000;2012-03-31;697338000;20303
10950232000;0;306574000;2926085000;3906167000;20303;2695184000;"";19724000;0;2222835000;33576000;0;10950232000;1566649000;2094314000;8024147000;4348881000;1875475000;2012-06-30;862146000;20303
11818850000;0;713770000;3404473000;4692618000;20303;2822209000;"";90674000;0;1979129000;40887000;0;11818850000;2282917000;2043779000;8414377000;4304023000;1883509000;2012-09-30;926097000;20303
11640874000;0;190233000;2803308000;6249548000;20303;2463149000;"";78626000;0;1778817000;35988000;0;11640874000;3885657000;723973000;8837566000;2928177000;1657236000;2012-12-31;1116600000;20303
13018599000;0;905475000;4037839000;7234631000;20303;2447857000;"";102717000;0;1739988000;34263000;0;13018599000;4993824000;688399000;8980760000;3336111000;1395971000;2013-03-31;1054687000;20303
12411430000;0;611077000;3293660000;3020188000;20303;2585959000;"";479384000;0;1792739000;34038000;0;12411430000;1105198000;4141744000;9117770000;6805283000;1373789000;2013-06-30;866597000;20303
12543353000;0;632464000;3311649000;3023713000;20303;2649412000;"";443325000;0;1869780000;30303000;0;12543353000;1149931000;4150161000;9231704000;6870228000;1389043000;2013-09-30;804163000;20303
12497936000;0;685969000;3148574000;3300005000;20303;2492858000;"";79642000;0;1920898000;32140000;0;12497936000;1131368000;4116551000;9349362000;6705073000;1438389000;2013-12-31;853825000;20303
13110657000;0;374940000;3610833000;4060844000;20303;2491078000;"";282385000;0;1775514000;32449000;0;13110657000;1297696000;3968512000;9499824000;6558735000;1436039000;2014-03-31;1499439000;20303
13230895000;0;535070000;3675868000;4255320000;20303;2425963000;"";416936000;0;1657847000;32174000;0;13230895000;1998982000;3930756000;9555027000;6549612000;1609906000;2014-06-30;1194008000;20303
13327336000;0;531459000;3612436000;4395900000;20303;2329263000;"";332727000;0;1562927000;28544000;0;13327336000;2099915000;3943797000;9714900000;6602173000;1523788000;2014-09-30;1187398000;20303
13864840000;0;313799000;3887664000;4646379000;20303;2482227000;"";100819000;0;1484231000;28950000;0;13864840000;2236817000;3811433000;9977176000;6736234000;1590896000;2014-12-31;1119485000;20303
14384499000;0;310713000;10059751000;4852443000;20303;2587523000;"";2038000;0;1388822000;27646000;0;14384499000;1973928000;4095507000;4324748000;6944533000;1953342000;2015-03-31;1122677000;20303
15327246000;0;436042000;11192877000;5877558000;20303;2690499000;"";82569000;0;1275483000;30422000;0;15327246000;3019120000;3858479000;4134369000;6759189000;2442678000;2015-06-30;1068205000;20303
16029906000;0;676978000;5214507000;6443248000;20303;2750563000;"";122113000;0;1231120000;32310000;0;16029906000;3232697000;3863672000;10815399000;6836095000;2555891000;2015-09-30;1290483000;20303
16191234000;0;318834000;5042467000;6639959000;20303;2695848000;"";253191000;0;8413168000;27664000;0;16191234000;3346475000;3673567000;11148767000;6855427000;2652290000;2015-12-31;1307893000;20303
16272718000;0;595146000;5282072000;4274635000;20303;3078707000;"";334091000;0;8474673000;27337000;0;16272718000;1400277000;5645932000;10990646000;8919376000;2679459000;2016-03-31;994149000;20303
16578724000;0;759370000;5624151000;3607683000;20303;3125746000;"";371860000;0;8649472000;31207000;0;16578724000;943363000;6108530000;10954573000;9845295000;2523406000;2016-06-30;955902000;20303
