assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
2221310000;188253000;21361000;472425000;1018456000;20354;1076303000;"";5179000;288882000;1748000;172451000;1192365000;2221310000;740394000;102230000;1748885000;126551000;65419000;2016-03-31;174340000;20354
2070545000;194180000;3551000;328476000;876773000;20354;1092260000;"";5271000;283860000;1641000;89931000;1213355000;2070545000;661057000;76119000;1742069000;101512000;17714000;2016-06-30;142612000;20354
2052677000;41812000;452000;347546000;861369000;20354;997144000;"";0;268964000;1501000;141250000;1212294000;2052677000;566169000;162413000;1705131000;194164000;147099000;2016-09-30;156136000;20354
2050668000;195161000;1768000;382340000;422130000;20354;977636000;"";0;259906000;1364000;160712000;1206046000;2050668000;131897000;619273000;1668328000;650902000;3812000;2016-12-31;174163000;20354
2034049000;171256000;4432000;361613000;367571000;20354;1021246000;"";0;252970000;1239000;161625000;1222892000;2034049000;112232000;614798000;1672436000;645232000;8347000;2017-03-31;171584000;20354
2069345000;234274000;2840000;346749000;394676000;20354;1025010000;"";0;252144000;1112000;86732000;1205249000;2069345000;110269000;619885000;1722596000;649659000;8735000;2017-06-30;155031000;20354
2126154000;36376000;14726000;430902000;489958000;20354;982223000;"";0;248063000;1078000;348538000;1209586000;2126154000;197328000;594433000;1695252000;653973000;17494000;2017-09-30;122458000;20354
2211001000;202684000;10514000;508673000;628217000;20354;991920000;"";466000;242225000;1243000;259057000;1209439000;2211001000;227673000;561607000;1702328000;590864000;20362000;2017-12-31;150940000;20354
2179275000;171146000;3485000;420931000;566130000;20354;1027375000;"";473000;234518000;1157000;155991000;1226409000;2179275000;240324000;557223000;1758344000;585770000;74553000;2018-03-31;173070000;20354
2191708000;349221000;9583000;484202000;536336000;20354;946912000;"";480000;228499000;1141000;91885000;1226443000;2191708000;247794000;600042000;1707506000;708460000;11463000;2018-06-30;172544000;20354
2278901000;39682000;9916000;585825000;639118000;20354;892668000;"";488000;221092000;1077000;494158000;1230946000;2278901000;300160000;641487000;1693076000;747115000;20409000;2018-09-30;155178000;20354
2336807000;225252000;23061000;627714000;703485000;20354;940005000;"";0;208937000;998000;337275000;1225963000;2336807000;318694000;559912000;1709093000;693317000;21790000;2018-12-31;192460000;20354
2455022000;203409000;35884000;543829000;658656000;20354;956644000;"";0;374351000;921000;186266000;1247647000;2455022000;312355000;543275000;1911193000;839722000;93692000;2019-03-31;231262000;20354
2395832000;306987000;3150000;510033000;543462000;20354;1030876000;"";0;359457000;857000;145815000;1249891000;2395832000;224112000;503236000;1885799000;821494000;22956000;2019-06-30;233302000;20354
2586031000;49541000;14976000;683225000;710609000;20354;962097000;"";7102000;383694000;825000;550649000;1253132000;2586031000;396727000;524987000;1902806000;913325000;38471000;2019-09-30;151232000;20354
2582770000;213573000;49931000;714734000;783849000;20354;943019000;"";0;361078000;960000;395652000;1237540000;2582770000;355347000;474391000;1868036000;855902000;14595000;2019-12-31;159306000;20354
2490410000;236489000;24468000;717727000;866087000;20354;785162000;"";0;373626000;955000;319483000;1125113000;2490410000;419159000;603618000;1772683000;839161000;96455000;2020-03-31;307624000;20354
2421345000;412320000;5886000;663852000;698280000;20354;769534000;"";0;373422000;1233000;204155000;1132555000;2421345000;289517000;673182000;1757493000;953531000;13390000;2020-06-30;297377000;20354
2759121000;41509000;15034000;894000000;978995000;20354;728543000;"";0;479568000;1331000;779437000;1136717000;2759121000;451973000;644770000;1865121000;1051583000;23125000;2020-09-30;276813000;20354
2869304000;209843000;48606000;967675000;1098688000;20354;784726000;"";0;456210000;1429000;608415000;1138096000;2869304000;482035000;615900000;1901629000;985890000;24662000;2020-12-31;290436000;20354
2494242000;275195000;6437000;788717000;1503628000;20354;688967000;"";0;443547000;863000;323728000;958736000;2494242000;951451000;0;1705525000;301647000;128228000;2021-03-31;319666000;20354
2427439000;416221000;6703000;736280000;811957000;20354;858223000;"";0;389405000;936000;232157000;953476000;2427439000;287521000;494636000;1691159000;757259000;20831000;2021-06-30;322104000;20354
