assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
1758568000;0;451446000;1385181000;1023661000;20362;565593000;0;0;54463000;41626000;439104000;64427000;1758568000;482276000;119133000;373387000;169314000;305895000;2016-09-30;333725000;20362
1778019000;0;459175000;1387086000;1027722000;20362;559245000;0;0;51638000;44877000;468391000;62957000;1778019000;514592000;140718000;390933000;191052000;286878000;2016-12-31;333604000;20362
1657063000;0;332807000;1261050000;941421000;20362;550340000;0;0;49696000;43466000;406566000;81332000;1657063000;452777000;117564000;396013000;165302000;343486000;2017-03-31;282329000;20362
1832922000;0;409053000;1443654000;1126379000;20362;555979000;0;0;48297000;44562000;480776000;81007000;1832922000;541280000;104902000;389268000;150564000;376739000;2017-06-30;425773000;20362
1752089000;0;384662000;1372619000;1045522000;20362;555542000;0;0;50160000;43835000;466499000;80243000;1752089000;497945000;107704000;379470000;151025000;326950000;2017-09-30;385559000;20362
1696385000;0;377863000;1358774000;1053310000;20362;506375000;0;0;49403000;47928000;467577000;90729000;1696385000;439705000;91602000;337611000;136700000;267891000;2017-12-31;450086000;20362
1658678000;0;271448000;1329779000;1016838000;20362;507947000;0;0;47967000;47087000;535892000;84449000;1658678000;438566000;87570000;328899000;133893000;243139000;2018-03-31;447716000;20362
1773516000;0;292376000;1445799000;1142603000;20362;494449000;0;0;46772000;46720000;551309000;84878000;1773516000;463740000;87163000;327717000;136464000;245352000;2018-06-30;463779000;20362
1797392000;0;265866000;1433291000;1125150000;20362;520068000;0;0;44872000;45170000;576329000;89417000;1797392000;492935000;100502000;364101000;152174000;244518000;2018-09-30;464222000;20362
1680824000;0;356892000;1300728000;1027261000;20362;508990000;918000;0;42983000;42441000;472809000;103584000;1680824000;519434000;90801000;380096000;144573000;192456000;2018-12-31;380121000;20362
1729316000;0;385938000;1305154000;1045442000;20362;508002000;1217000;0;85363000;39911000;486711000;102902000;1729316000;549513000;82793000;424162000;175872000;137160000;2019-03-31;316011000;20362
1655133000;0;313605000;1209632000;946169000;20362;516523000;2452000;0;82557000;37658000;463391000;129314000;1655133000;494088000;104111000;445501000;192441000;179699000;2019-06-30;288986000;20362
1730021000;0;320529000;1279772000;1019294000;20362;524611000;3969000;0;79825000;38150000;472889000;135566000;1730021000;533062000;95321000;450249000;186116000;196334000;2019-09-30;325448000;20362
1769361000;0;390817000;1282557000;1046124000;20362;527024000;7868000;0;76538000;47485000;438306000;155531000;1769361000;553500000;110396000;486804000;196213000;204769000;2019-12-31;323182000;20362
2226093000;0;440297000;1709992000;1131032000;20362;876494000;8833000;0;80469000;45332000;481405000;183041000;2226093000;647552000;122514000;516101000;218567000;370863000;2020-03-31;322570000;20362
2232589000;0;512737000;1710509000;1141456000;20362;878421000;7704000;0;77662000;43375000;449080000;193213000;2232589000;685857000;114613000;522080000;212712000;314205000;2020-06-30;255827000;20362
2419692000;0;502100000;1883706000;1188789000;20362;931221000;8794000;0;74756000;39336000;560351000;201489000;2419692000;590022000;189770000;535986000;299682000;333918000;2020-09-30;404414000;20362
2618213000;0;500734000;1949293000;1232554000;20362;1021914000;11224000;0;73590000;40336000;558483000;218630000;2618213000;437298000;279061000;668920000;363745000;540810000;2020-12-31;484963000;20362
2712827000;0;435613000;2027550000;1138379000;20362;1085753000;12099000;0;72989000;37400000;661917000;238254000;2712827000;345122000;399841000;685277000;488695000;552930000;2021-03-31;514240000;20362
2891936000;0;453625000;2197454000;1318878000;20362;1098108000;8390000;0;72971000;31035000;838296000;250921000;2891936000;391687000;387326000;694482000;474950000;546696000;2021-06-30;588934000;20362
3007446000;0;305923000;2290870000;1388593000;20362;1187044000;8540000;0;73767000;29555000;1084981000;275619000;3007446000;366643000;335089000;716576000;431809000;454654000;2021-09-30;748114000;20362
3330751000;0;287152000;2561956000;1561442000;20362;1171831000;9830000;0;72456000;27780000;1201256000;329669000;3330751000;390072000;481729000;768795000;597478000;624475000;2021-12-31;870647000;20362
3724654000;0;566850000;2861508000;1700389000;20362;1101316000;10286000;0;80753000;25648000;1470905000;418544000;3724654000;447768000;805016000;863146000;922949000;410974000;2022-03-31;786428000;20362
4020814000;0;334079000;3085838000;1860933000;20362;1276468000;7970000;0;80599000;33789000;1371076000;479278000;4020814000;630776000;750456000;934976000;883413000;861046000;2022-06-30;759994000;20362
3941134000;0;386902000;3003231000;1787461000;20362;1326577000;9704000;0;80574000;34449000;1396206000;500028000;3941134000;724228000;702114000;937903000;827096000;605357000;2022-09-30;661815000;20362
