assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
4148651000;0;10645000;153090000;2276188000;20478;-932681000;94235000;0;1649000;31957000;41926000;3951584000;4148651000;1531199000;421597000;3995561000;2805144000;69249000;2016-09-30;27238000;20478
2278195000;0;5931000;80943000;3207235000;20478;-3372201000;-42301000;0;1818000;31460000;36543000;2140807000;2278195000;1591755000;420010000;2197252000;2443161000;17775000;2016-12-31;22952000;20478
2215280000;0;9303000;99951000;4253836000;20478;-3647909000;-21692000;0;1941000;29741000;35913000;2072078000;2215280000;2120429000;0;2115329000;1609353000;21141000;2017-03-31;24278000;20478
2195902000;0;5774000;88184000;4559832000;20478;-4180308000;-4013000;4611000;1837000;27926000;34834000;2069584000;2195902000;2310790000;0;2107718000;1816378000;19938000;2017-06-30;25355000;20478
2133845000;0;4317000;83682000;4720345000;20478;-4479456000;-6885000;2347000;1310000;26092000;30148000;2014386000;2133845000;2424920000;0;2050163000;1892956000;22194000;2017-09-30;23646000;20478
3162765000;0;1199000;71246000;2056546000;20478;-3198942000;-29417000;2396000;1260000;24291000;41056000;1554347000;3162765000;805840000;0;3091519000;4305161000;2990000;2017-12-31;185270000;20478
3069505000;0;989000;68725000;2099457000;20478;-3459254000;-33415000;2256000;0;5778000;37115000;1484409000;3069505000;833246000;0;3000780000;4429302000;2676000;2018-03-31;186672000;20478
2939281000;0;775000;38847000;2031590000;20478;-3724868000;-37828000;2207000;0;5397000;20733000;1428078000;2939281000;842984000;0;2900434000;4632559000;542000;2018-06-30;104565000;20478
2976708000;0;662000;31202000;2002406000;20478;-3833736000;-44003000;2536000;0;5397000;15121000;1476531000;2976708000;857409000;0;2945506000;4808038000;3099000;2018-09-30;58014000;20478
3107875000;0;755000;41197000;1995822000;20478;-3963662000;-35818000;97000;0;4069000;13332000;1560039000;3107875000;827011000;0;3066678000;5075715000;7515000;2018-12-31;69761000;20478
3058118000;0;1496000;36827000;2037486000;20478;-4203917000;-45093000;99000;0;3498000;12738000;1520087000;3058118000;844353000;0;3021291000;5224549000;4362000;2019-03-31;61061000;20478
3032547000;0;672000;36466000;2080608000;20478;-4452894000;-50141000;109000;44000;2928000;12745000;1501525000;3032547000;866948000;0;2996081000;5404833000;3656000;2019-06-30;49177000;20478
2804223000;0;842000;37295000;2133978000;20478;-4576271000;-46140000;92000;41000;2404000;12691000;1281946000;2804223000;894282000;0;2766928000;5246516000;3646000;2019-09-30;34477000;20478
2771518000;0;745000;39807000;2203789000;20478;-4863708000;-59679000;93000;70000;1971000;13149000;1242372000;2771518000;923592000;0;2731711000;5431437000;3674000;2019-12-31;34930000;20478
2738900000;0;951000;40884000;2275521000;20478;-5038724000;-60671000;94000;65000;1538000;13149000;1225161000;2738900000;956219000;0;2698016000;5502103000;3194000;2020-03-31;34888000;20478
2688295000;0;628000;41078000;2342410000;20478;-5225502000;-63061000;94000;59000;1112000;13149000;1175706000;2688295000;979952000;0;2647217000;5571387000;3653000;2020-06-30;33815000;20478
2680647000;0;608000;41317000;2469410000;20478;-5388617000;-65124000;95000;53000;700000;13149000;1084502000;2680647000;1060162000;0;2639330000;5599854000;3684000;2020-09-30;30336000;20478
2667292000;0;593000;28979000;2127089000;20478;-5318323000;-66213000;95000;301000;0;9686000;1091426000;2667292000;644032000;0;2638313000;5858526000;2959000;2020-12-31;48773000;20478
2633255000;0;527000;29166000;2189429000;20478;-5538608000;-67758000;22000;282000;0;9686000;1058366000;2633255000;651475000;0;2604089000;5982434000;2132000;2021-03-31;46209000;20478
2589731000;0;498000;30583000;2261719000;20478;-5528108000;-66608000;24000;264000;0;7648000;1014683000;2589731000;659312000;0;2559148000;5856120000;4094000;2021-06-30;46331000;20478
2814019000;0;390000;25644000;2403343000;20478;-5499089000;-59332000;63000;245000;0;3631000;998015000;2814019000;669115000;0;2788375000;5909765000;2678000;2021-09-30;118494000;20478
2816885000;0;374000;28687000;1794151000;20478;-5150439000;-61409000;63000;226000;0;4090000;954829000;2816885000;679808000;0;2788198000;6173173000;2208000;2021-12-31;108281000;20478
2783034000;0;1659000;27581000;1862464000;20478;-5104055000;-62507000;65000;207000;0;4091000;925507000;2783034000;689150000;0;2755453000;6024625000;1699000;2022-03-31;112580000;20478
2731690000;0;249000;26864000;1919664000;20478;-4751962000;-64150000;66000;227000;0;4091000;873509000;2731690000;701154000;0;2704826000;5563988000;1684000;2022-06-30;96135000;20478
2748234000;0;238000;25344000;2016397000;20478;-4867482000;-64999000;68000;209000;0;3050000;870091000;2748234000;716147000;0;2722890000;5599319000;1919000;2022-09-30;107606000;20478
