assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
7667402000;433531000;228730000;2269363000;1417616000;20516;3020877000;0;468800000;2299488000;394876000;706481000;2374476000;7667402000;907865000;2524911000;5398039000;3228909000;176949000;2016-12-31;207027000;20516
7775119000;437656000;142020000;1739108000;1578095000;20516;3403320000;0;548611000;2534563000;394877000;189917000;2772664000;7775119000;1175682000;1998712000;6036011000;2793704000;135972000;2017-03-31;103122000;20516
8126344000;429864000;77769000;2409042000;1450028000;20516;3214610000;0;1009767000;2419961000;394345000;416409000;2550680000;8126344000;935694000;2668960000;5717302000;3461706000;214192000;2017-06-30;202874000;20516
8276680000;389815000;327277000;2618153000;1300266000;20516;3331032000;0;710514000;2315010000;393269000;880237000;2588596000;8276680000;870437000;2821944000;5658527000;3645382000;96071000;2017-09-30;240941000;20516
8194189000;415854000;369540000;2426750000;1498289000;20516;3375083000;0;502719000;2412271000;392458000;817113000;2611511000;8194189000;1112608000;2552997000;5767439000;3320817000;163470000;2017-12-31;149561000;20516
8124951000;419732000;139622000;1956083000;1016213000;20516;3289775000;0;953900000;2679114000;399008000;260209000;2704518000;8124951000;574569000;3045999000;6168868000;3818963000;66813000;2018-03-31;111893000;20516
8984002000;572720000;312576000;3095869000;1102844000;20516;3233527000;0;1157507000;3651328000;397770000;733261000;1388487000;8984002000;402733000;3801841000;5888133000;4647631000;186009000;2018-06-30;245740000;20516
9058381000;504130000;196746000;3524921000;1325473000;20516;3257083000;0;998988000;3425784000;396950000;1381083000;1385966000;9058381000;740327000;3631747000;5533460000;4475825000;203011000;2018-09-30;286310000;20516
8941557000;563871000;151978000;3313410000;1183755000;20516;3344615000;0;980185000;3586026000;395847000;1141704000;1338275000;8941557000;694751000;3570843000;5628147000;4413187000;258618000;2018-12-31;221724000;20516
9231985000;657057000;197170000;3176538000;1247713000;20516;3391010000;0;1790855000;3979304000;417845000;224170000;1345290000;9231985000;754999000;3697601000;6055447000;4593262000;145134000;2019-03-31;155492000;20516
11926608000;654035000;76102000;3705125000;1933478000;20516;3518535000;0;1979023000;6015202000;416578000;651964000;1381105000;11926608000;1328439000;5550970000;8221483000;6474595000;143362000;2019-06-30;270345000;20516
11025827000;614450000;47416000;3535819000;1462647000;20516;3426766000;0;1219435000;5416545000;414816000;1247059000;1387101000;11025827000;883052000;5257338000;7490008000;6136414000;208833000;2019-09-30;315935000;20516
10973396000;657952000;17212000;3714873000;1375122000;20516;3695000000;0;1287758000;5059132000;413578000;1049690000;1430795000;10973396000;930145000;4896162000;7258523000;5903274000;335202000;2019-12-31;86355000;20516
11566875000;713547000;91998000;3381382000;1722310000;20516;3346676000;0;1775640000;5777937000;413075000;357890000;1462223000;11566875000;835027000;5655328000;8185493000;6497889000;125531000;2020-03-31;176848000;20516
11380782000;689676000;234452000;3372734000;1909647000;20516;3392609000;0;1307651000;5532980000;412209000;724778000;1500581000;11380782000;974289000;5265579000;8008048000;6078526000;223832000;2020-06-30;275051000;20516
11833282000;606500000;120013000;4097439000;1892656000;20516;3655110000;0;1629375000;5213553000;410479000;1353097000;1500636000;11833282000;1006315000;5305851000;7735843000;6285516000;228927000;2020-09-30;341383000;20516
11749657000;658953000;236747000;3612123000;1788731000;20516;4037269000;0;1113078000;5406985000;409385000;1107555000;1437138000;11749657000;1066887000;4786536000;8137534000;5923657000;253505000;2020-12-31;224011000;20516
11872090000;989540000;287652000;3044408000;1825085000;20516;3986589000;0;952142000;4172796000;409093000;441257000;0;11872090000;1026076000;4937521000;8827682000;6060416000;170554000;2021-03-31;229644000;20516
12567164000;945161000;44530000;3541713000;1782231000;20516;4476401000;0;1108998000;6001570000;416550000;952412000;1553124000;12567164000;747106000;4895666000;9025451000;6308532000;191048000;2021-06-30;432058000;20516
13298648000;859534000;244752000;4588117000;2197618000;20516;4485743000;0;935882000;5752611000;418177000;1883942000;1600894000;13298648000;1025467000;5365594000;8710531000;6615287000;434319000;2021-09-30;619055000;20516
14053191000;1008013000;322845000;4492377000;2117439000;20516;4842159000;0;1076104000;6093909000;419218000;1578536000;1714103000;14053191000;1021412000;5576933000;9560814000;7093593000;305943000;2021-12-31;558556000;20516
16944390000;1219281000;114874000;5309033000;2148409000;20516;5318425000;0;2663681000;8040947000;423888000;758732000;1751559000;16944390000;1164358000;7710808000;11635357000;9477556000;181878000;2022-03-31;412656000;20516
17537121000;1123103000;174963000;5473847000;3021308000;20516;5382589000;0;2412960000;8281613000;429709000;1115226000;1801765000;17537121000;1743538000;7420469000;12063274000;9133224000;369414000;2022-06-30;565069000;20516
17671072000;1028173000;127939000;5704830000;3167817000;20516;5452022000;0;1548657000;8184612000;429511000;2231317000;1750400000;17671072000;1912091000;7353037000;11966242000;9051233000;408244000;2022-09-30;661220000;20516
