assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
2974444000;0;94412000;1547515000;2621653000;20621;236760000;"";0;560333000;7001000;607012000;0;2974444000;1115061000;102257000;1426929000;116031000;541573000;2016-09-30;799091000;20621
2855544000;0;64550000;1575793000;2344201000;20621;289207000;"";0;549158000;6904000;703380000;0;2855544000;858662000;194606000;1279751000;222136000;466987000;2016-12-31;978545000;20621
2718760000;0;62437000;1445945000;2213312000;20621;296197000;"";0;540676000;6813000;591488000;0;2718760000;929490000;179729000;1272815000;209251000;474542000;2017-03-31;852356000;20621
2914920000;0;86859000;1606566000;2599976000;20621;196655000;"";0;531396000;6740000;793637000;0;2914920000;1037484000;93900000;1308354000;118289000;390664000;2017-06-30;885587000;20621
2955026000;0;93481000;1644241000;2635782000;20621;186779000;"";0;528786000;6695000;696956000;0;2955026000;1080015000;106848000;1310785000;132465000;496190000;2017-09-30;897892000;20621
2945048000;0;66850000;1621346000;2651298000;20621;163603000;"";0;507566000;6639000;770025000;0;2945048000;1127117000;103310000;1323702000;130147000;437688000;2017-12-31;1029836000;20621
2720435000;0;80397000;1396552000;2481992000;20621;111025000;"";0;500368000;6628000;528584000;0;2720435000;1145750000;88394000;1323883000;127418000;440332000;2018-03-31;908272000;20621
2896736000;0;59327000;1732093000;2973029000;20621;-166292000;"";0;492266000;6580000;748971000;0;2896736000;1118578000;48514000;1164643000;89999000;393867000;2018-06-30;953403000;20621
2624443000;0;32375000;1468258000;2833685000;20621;-283677000;"";0;482369000;6784000;576845000;0;2624443000;1052301000;46287000;1156185000;74435000;332864000;2018-09-30;1153559000;20621
1825722000;0;19999000;951502000;2378923000;20621;-621836000;"";0;470619000;6705000;293422000;0;1825722000;959469000;42748000;874220000;68635000;157669000;2018-12-31;1042675000;20621
1538813000;0;10361000;678783000;2227993000;20621;-713389000;"";0;460822000;6635000;244245000;0;1538813000;853838000;131000;860030000;24209000;119982000;2019-03-31;1070481000;20621
1588154000;0;42442000;737677000;2296186000;20621;-732408000;"";0;452124000;7563000;349221000;0;1588154000;867559000;59000;850477000;24376000;132967000;2019-06-30;1117708000;20621
1692285000;0;28170000;849734000;2534910000;20621;-868315000;"";0;444595000;7452000;442949000;0;1692285000;1054638000;48000;842551000;25690000;156901000;2019-09-30;1154698000;20621
1599613000;0;20034000;762333000;505430000;20621;31385000;"";0;436752000;7343000;344761000;0;1599613000;162601000;37000;826168000;1043118000;172293000;2019-12-31;230067000;20621
1551899000;0;24252000;715772000;529818000;20621;-173608000;"";0;431114000;7259000;306038000;0;1551899000;142918000;26000;836127000;1195689000;185589000;2020-03-31;276815000;20621
1603037000;0;36914000;808450000;593833000;20621;-220710000;"";0;432599000;7177000;422610000;0;1603037000;127548000;35739000;794587000;1229914000;153954000;2020-06-30;356424000;20621
1843248000;0;25624000;974111000;790060000;20621;-205057000;"";0;434659000;7098000;621203000;0;1843248000;281912000;35728000;869137000;1258245000;200527000;2020-09-30;349363000;20621
1810913000;0;39970000;936917000;692454000;20621;-148119000;"";0;418239000;7019000;587931000;0;1810913000;267536000;40281000;873996000;1266578000;186650000;2020-12-31;317836000;20621
1703032000;0;52981000;823814000;534082000;20621;-155575000;"";0;421513000;6942000;466951000;0;1703032000;60687000;16955000;879218000;1324525000;203155000;2021-03-31;354841000;20621
1949242000;0;27804000;1061906000;682026000;20621;-10847000;"";0;439146000;6872000;723002000;0;1949242000;189643000;17136000;887336000;1278063000;184192000;2021-06-30;347103000;20621
2444082000;0;10934000;1566169000;1018742000;20621;90470000;"";0;459822000;6801000;1178068000;0;2444082000;502811000;3774000;877913000;1334870000;262724000;2021-09-30;305144000;20621
2881373000;0;30647000;2046288000;1193115000;20621;519091000;"";0;463900000;6731000;1509187000;0;2881373000;482783000;18094000;835085000;1169167000;316763000;2021-12-31;422837000;20621
2643673000;0;19829000;1820046000;909966000;20621;647455000;"";0;469181000;6661000;1243285000;0;2643673000;351082000;1333000;823627000;1086252000;353218000;2022-03-31;274347000;20621
3270191000;0;22046000;2428390000;1568077000;20621;552787000;"";0;484081000;6590000;1941897000;0;3270191000;740711000;833000;841801000;1149327000;288032000;2022-06-30;514524000;20621
3059685000;0;29103000;2316459000;1473963000;20621;442020000;"";0;493535000;6521000;1480022000;0;3059685000;220989000;297000;743226000;1143702000;507400000;2022-09-30;938515000;20621
