assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
5958985000;"";"";3101834000;3051383000;20729;1439989000;"";"";"";"";"";"";5958985000;"";"";"";"";"";2016-09-30;"";20729
5708746000;"";"";2879876000;2798325000;20729;1195030000;"";"";"";"";"";"";5708746000;"";"";"";"";"";2016-12-31;"";20729
5625927000;"";"";2772632000;2650005000;20729;1228343000;"";"";"";"";"";"";5625927000;"";"";"";"";"";2017-03-31;"";20729
5363247000;"";"";2528652000;2312631000;20729;1262188000;"";"";"";"";"";"";5363247000;"";"";"";"";"";2017-06-30;"";20729
5479330000;"";"";2599447000;2512942000;20729;1272887000;"";"";"";"";"";"";5479330000;"";"";"";"";"";2017-09-30;"";20729
5459097000;"";"";2549084000;2467620000;20729;1285501000;"";"";"";"";"";"";5459097000;"";"";"";"";"";2017-12-31;"";20729
5342288000;"";"";2400843000;2193123000;20729;1323504000;"";"";"";"";"";"";5342288000;"";"";"";"";"";2018-03-31;"";20729
5719022000;"";"";2828504000;2261015000;20729;1346669000;"";"";"";"";"";"";5719022000;"";"";"";"";"";2018-06-30;"";20729
5599814000;"";"";2733057000;2211806000;20729;1383032000;"";"";"";"";"";"";5599814000;"";"";"";"";"";2018-09-30;"";20729
5591362000;"";"";2720407000;2277204000;20729;1384588000;"";"";"";"";"";"";5591362000;"";"";"";"";"";2018-12-31;"";20729
5734020000;"";"";2962104000;2346234000;20729;1421232000;"";"";"";"";"";"";5734020000;"";"";"";"";"";2019-03-31;"";20729
6237811000;"";"";3428010000;2808202000;20729;1448021000;"";"";"";"";"";"";6237811000;"";"";"";"";"";2019-06-30;"";20729
5725820000;"";"";2822162000;2640805000;20729;1279390000;"";"";"";"";"";"";5725820000;"";"";"";"";"";2019-09-30;"";20729
5820197000;"";"";2613655000;2706621000;20729;1221768000;"";"";"";"";"";"";5820197000;"";"";"";"";"";2019-12-31;"";20729
5914716000;"";"";2335401000;2705093000;20729;1206396000;"";"";"";"";"";"";5914716000;"";"";"";"";"";2020-03-31;"";20729
6869036000;"";"";3014131000;3646856000;20729;1165813000;"";"";"";"";"";"";6869036000;"";"";"";"";"";2020-06-30;"";20729
8286977000;"";"";4061424000;4028575000;20729;1180172000;"";"";"";"";"";"";8286977000;"";"";"";"";"";2020-09-30;"";20729
9179757000;"";"";4571206000;3805197000;20729;1210879000;0;"";"";"";"";"";9179757000;"";"";"";"";"";2020-12-31;"";20729
9080871000;"";"";"";"";20729;1290847000;"";"";"";"";"";"";9080871000;"";"";"";"";"";2021-03-31;"";20729
8871591000;"";"";"";"";20729;1325119000;0;"";"";"";"";"";8871591000;"";"";"";"";"";2021-06-30;"";20729
9151761000;"";"";"";"";20729;1352779000;"";"";"";"";"";"";9151761000;"";"";"";"";"";2021-09-30;"";20729
8805991000;"";"";3214633000;4190375000;20729;1288347000;"";"";"";"";"";"";8805991000;"";"";"";"";"";2021-12-31;"";20729
9095931000;"";"";"";"";20729;1294127000;"";"";"";"";"";"";9095931000;"";"";"";"";"";2022-03-31;"";20729
9035057000;"";"";"";"";20729;1277280000;"";"";"";"";"";"";9035057000;"";"";"";"";"";2022-06-30;"";20729
9372533000;"";"";"";"";20729;1254221000;"";"";"";"";"";"";9372533000;"";"";"";"";"";2022-09-30;"";20729
