assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
974761000;0;84617000;111389000;61141000;20770;912673000;12227000;0;1660000;1671000;0;818002000;974761000;0;0;863372000;947000;0;2009-12-31;1237000;20770
1184796000;0;94542000;182238000;85831000;20770;1098520000;18122000;23574000;5900000;2421000;0;968472000;1184796000;0;0;1002558000;445000;0;2010-12-31;1095000;20770
1304510000;0;158746000;252835000;102185000;20770;1201880000;18620000;29342000;6110000;2603000;0;1017529000;1304510000;0;0;1051675000;445000;0;2011-03-31;1205000;20770
1375347000;0;159390000;270274000;70339000;20770;1304563000;19098000;46567000;5915000;2674000;0;1074212000;1375347000;0;0;1105073000;445000;0;2011-06-30;279000;20770
1483674000;0;177022000;294166000;102318000;20770;1380911000;18590000;52826000;5701000;2614000;0;1157650000;1483674000;0;0;1189508000;445000;0;2011-09-30;307000;20770
1591497000;0;144621000;253246000;192717000;20770;1398335000;19026000;60447000;5422000;2949000;0;1295659000;1591497000;0;0;1338251000;445000;0;2011-12-31;610000;20770
1700432000;0;90013000;208544000;223389000;20770;1476598000;26976000;104188000;5927000;3853000;0;1453337000;1700432000;0;0;1491888000;445000;0;2012-03-31;1492000;20770
1774742000;0;40247000;152473000;217757000;20770;1556540000;27412000;97902000;5790000;4905000;0;1543979000;1774742000;0;0;1622269000;445000;0;2012-06-30;629000;20770
1788206000;0;2242000;71787000;137420000;20770;1650341000;20294000;52142000;5651000;4943000;0;1635050000;1788206000;0;0;1716419000;445000;0;2012-09-30;637000;20770
1879719000;0;625000;93393000;221284000;20770;1654661000;8088000;62013000;5778000;5012000;0;1700676000;1879719000;0;0;1786326000;3774000;0;2012-12-31;1211000;20770
2031988000;0;4197000;116507000;222826000;20770;1805389000;8596000;81525000;5712000;5471000;0;1816852000;2031988000;0;0;1915481000;3773000;0;2013-03-31;1896000;20770
2185375000;0;13424000;156581000;239852000;20770;1941749000;9053000;112664000;5842000;5102000;0;1932606000;2185375000;0;0;2028794000;3774000;0;2013-06-30;1095000;20770
2332089000;0;1382000;239746000;247157000;20770;2081158000;9548000;197611000;5696000;5197000;0;2059008000;2332089000;0;0;2092343000;3774000;0;2013-09-30;1300000;20770
2439243000;0;2925000;116238000;333993000;20770;2101476000;8990000;109503000;5335000;5971000;0;2255500000;2439243000;0;0;2323005000;3774000;0;2013-12-31;12981000;20770
2576100000;0;2341000;169865000;375393000;20770;2196933000;6777000;163716000;5108000;6030000;0;2344676000;2576100000;0;0;2406235000;3774000;0;2014-03-31;1695000;20770
2704275000;0;11002000;272718000;381176000;20770;2319325000;4097000;258080000;4671000;6566000;0;2369951000;2704275000;0;0;2431557000;3774000;0;2014-06-30;1611000;20770
2823367000;0;14987000;304519000;375404000;20770;2444189000;3303000;285969000;4455000;6328000;0;2461723000;2823367000;0;0;2518848000;3774000;0;2014-09-30;1029000;20770
2812872000;0;18627000;161165000;395364000;20770;2413734000;3075000;86932000;3971000;6494000;0;2607748000;2812872000;0;0;2651707000;3774000;0;2014-12-31;1662000;20770
2968245000;0;14176000;210538000;417631000;20770;2546840000;3032000;169803000;3499000;5968000;0;2692511000;2968245000;0;0;2757707000;3774000;0;2015-03-31;1311000;20770
3092284000;0;13218000;406417000;489598000;20770;2598912000;3100000;381863000;3095000;5449000;0;2641180000;3092284000;0;0;2685867000;3774000;0;2015-06-30;1226000;20770
3055759000;0;8150000;297882000;348330000;20770;2703655000;3239000;289276000;2808000;4945000;0;2706656000;3055759000;0;0;2757877000;3774000;0;2015-09-30;1296000;20770
3172164000;0;3151000;335538000;459595000;20770;2702292000;3262000;299168000;2535000;5264000;0;2792235000;3172164000;0;0;2836626000;10277000;0;2015-12-31;1332000;20770
3285953000;0;20216000;413743000;501881000;20770;2775903000;3122000;359831000;2261000;4907000;0;2827944000;3285953000;0;0;2872210000;8169000;0;2016-03-31;566000;20770
3218134000;0;37946000;418004000;444280000;20770;2764685000;3220000;346628000;2003000;4567000;0;2756065000;3218134000;0;0;2800130000;9169000;0;2016-06-30;1251000;20770
